rhoc,M,R,Lambda
2.077002565554080000e+14,2.972566302994680276e-01,1.664001151077560792e+01,1.964843656265748432e+06
2.146631670014592500e+14,3.220706071246158819e-01,1.625473805685056661e+01,1.383289767215292901e+06
2.213572704337884375e+14,3.468845839497637362e-01,1.595849564003244758e+01,9.994999944937026594e+05
2.278005543408544375e+14,3.716985607749115905e-01,1.572668017847571065e+01,7.386013573728105985e+05
2.340340634842632500e+14,3.965125376000593893e-01,1.554280380355076119e+01,5.561289876848713029e+05
2.400863485133831875e+14,4.213265144252072436e-01,1.539543257847375379e+01,4.258068371184061398e+05
2.459771396364962188e+14,4.461404912503550979e-01,1.527639679978683063e+01,3.307031561877025524e+05
2.517237656325525938e+14,4.709544680755028967e-01,1.517970077067830026e+01,2.602077852254348691e+05
2.573415761757428125e+14,4.957684449006507510e-01,1.510086162589716352e+01,2.071124285795049218e+05
2.628442390857165000e+14,5.205824217257986053e-01,1.503646271887326336e+01,1.665262299169016769e+05
2.682438766234180938e+14,5.453963985509464596e-01,1.498384831910579429e+01,1.351469169590619858e+05
2.735513710994267188e+14,5.702103753760943139e-01,1.494095014840172553e+01,1.106049689566087327e+05
2.787716066071025938e+14,5.950243522012421682e-01,1.490610328271911911e+01,9.122315013807619107e+04
2.839091542328046875e+14,6.198383290263900225e-01,1.487797973119741357e+01,7.575887176776897104e+04
2.889800183903821250e+14,6.446523058515378768e-01,1.485549808200262589e+01,6.332678813776551397e+04
2.939916371463403125e+14,6.694662826766857311e-01,1.483777235802424244e+01,5.324779236114564264e+04
2.989481194494444375e+14,6.942802595018335854e-01,1.482407050416045280e+01,4.501891540861644899e+04
3.038416517364773750e+14,7.190942363269814397e-01,1.481378065145468881e+01,3.825309665086738096e+04
3.086940509020954375e+14,7.439082131521292940e-01,1.480639121206316133e+01,3.265814235713521703e+04
3.135104059417963750e+14,7.687221899772770373e-01,1.480147247802201171e+01,2.800165615196915314e+04
3.182756635352185625e+14,7.935361668024248916e-01,1.479865492754517575e+01,2.411126547061705787e+04
3.230127379494463750e+14,8.183501436275727459e-01,1.479763313871905872e+01,2.083821514686132286e+04
3.277237340789632500e+14,8.431641204527206002e-01,1.479813117629038111e+01,1.807558927678697728e+04
3.323962344711547500e+14,8.679780972778684545e-01,1.479992226000337219e+01,1.573144736049097992e+04
3.370536721613596250e+14,8.927920741030163088e-01,1.480280709445970189e+01,1.373386527385821501e+04
3.416851388859695625e+14,9.176060509281641631e-01,1.480661164581686862e+01,1.202656083866426525e+04
3.462985271330200000e+14,9.424200277533120174e-01,1.481118426195214433e+01,1.056112891767292604e+04
