rhoc,M,R,Lambda
2.308065824345457500e+14,2.974353038137118599e-01,1.572678697589797103e+01,1.892856718559785048e+06
2.400322834093003125e+14,3.169770379819701334e-01,1.545006233859735545e+01,1.405717016976265470e+06
2.490321141347750625e+14,3.365187721502283513e-01,1.522012247671711016e+01,1.061765289814830292e+06
2.578224476175317812e+14,3.560605063184866248e-01,1.502672939860390322e+01,8.141002264130273834e+05
2.664247804522324062e+14,3.756022404867448428e-01,1.486238919125015734e+01,6.325136906178055797e+05
2.748525296331316875e+14,3.951439746550031162e-01,1.472148917387364264e+01,4.974226641761143692e+05
2.831143663511125625e+14,4.146857088232613897e-01,1.459974356737438939e+01,3.953977238701313036e+05
2.912348897851964375e+14,4.342274429915196077e-01,1.449382302867874905e+01,3.172349571887035854e+05
2.992217987889920000e+14,4.537691771597778256e-01,1.440109711180595298e+01,2.569968567603758420e+05
3.070808154084501250e+14,4.733109113280360991e-01,1.431947934432048797e+01,2.098175206864001229e+05
3.148346462290288125e+14,4.928526454962943726e-01,1.424727007335057216e+01,1.725898836233569018e+05
3.224910128728253750e+14,5.123943796645525905e-01,1.418308954638455077e+01,1.429643449797280482e+05
3.300438391612033125e+14,5.319361138328109195e-01,1.412579577837209222e+01,1.191257984927305079e+05
3.375158723329023750e+14,5.514778480010691375e-01,1.407444562049235692e+01,9.984516748357837787e+04
3.449146740648837500e+14,5.710195821693273555e-01,1.402824141822591208e+01,8.417838698503395426e+04
3.522462585926933750e+14,5.905613163375855734e-01,1.398651615242964752e+01,7.129549828815822548e+04
3.595151008820668750e+14,6.101030505058437914e-01,1.394869754762405911e+01,6.068907043757574866e+04
3.667277545179812500e+14,6.296447846741021204e-01,1.391430011529680222e+01,5.188376188982314488e+04
3.738934520427173125e+14,6.491865188423603383e-01,1.388290603290134761e+01,4.453328559294270963e+04
3.810156582196567500e+14,6.687282530106186673e-01,1.385415517867294710e+01,3.837507169929544762e+04
3.880968307747785000e+14,6.882699871788768853e-01,1.382773262607925169e+01,3.318739900055867474e+04
3.951444447364422500e+14,7.078117213471351032e-01,1.380336522069068472e+01,2.879595889178861034e+04
4.021657166313025000e+14,7.273534555153933212e-01,1.378081342707802470e+01,2.507107028622715006e+04
4.091641938723376250e+14,7.468951896836515392e-01,1.375986697555349103e+01,2.189224018527856242e+04
4.161432185703907500e+14,7.664369238519098682e-01,1.374034000452849824e+01,1.916941953652728989e+04
4.231049451699348125e+14,7.859786580201680861e-01,1.372206621419483596e+01,1.683147027773024820e+04
4.300505008473692500e+14,8.055203921884263041e-01,1.370490106170656119e+01,1.481386072123380654e+04
4.369910587491639375e+14,8.250621263566846331e-01,1.368871301528248807e+01,1.307311950267503562e+04
4.439304679870525625e+14,8.446038605249428510e-01,1.367338295299341411e+01,1.156179407031103074e+04
4.508715264839181875e+14,8.641455946932010690e-01,1.365880715063577000e+01,1.024673269862445159e+04
4.578152106342564375e+14,8.836873288614592870e-01,1.364488969261617335e+01,9.101130485736817718e+03
4.647567011276361875e+14,9.032290630297176159e-01,1.363154561562598488e+01,8.099234915296757208e+03
4.717136138060958750e+14,9.227707971979758339e-01,1.361869706093578003e+01,7.219632807242273884e+03
4.786878204032194375e+14,9.423125313662340519e-01,1.360627272650702224e+01,6.447111147115607309e+03
4.856815875077965000e+14,9.618542655344923809e-01,1.359420815673321847e+01,5.767763983549435579e+03
4.926853636048998125e+14,9.813959997027505988e-01,1.358244332121416598e+01,5.167282144793671250e+03
4.997157427858410625e+14,1.000937733871008817e+00,1.357092550386159679e+01,4.637025248770479266e+03
5.067769313846826250e+14,1.020479468039267035e+00,1.355960335251692861e+01,4.166845486491500196e+03
5.138685865788628750e+14,1.040021202207525253e+00,1.354843084996078950e+01,3.749899609218442492e+03
5.209895798623474375e+14,1.059562936375783693e+00,1.353736519674417949e+01,3.378503056502781874e+03
5.281513421580252500e+14,1.079104670544041689e+00,1.352636557703860021e+01,3.047904428256430492e+03
5.353567635581212500e+14,1.098646404712300129e+00,1.351539438378022240e+01,2.752756585390692180e+03
