rhoc,M,R,Lambda
2.171794635196260000e+14,2.970693494785631161e-01,1.400755334284588294e+01,1.812732663303592475e+06
2.237068878362627500e+14,3.159204595170667651e-01,1.392115637265238703e+01,1.390912983912633965e+06
2.302221910824354062e+14,3.347715695555704141e-01,1.385282952576355342e+01,1.082045437364449725e+06
2.367043416289166562e+14,3.536226795940741185e-01,1.379859243634149912e+01,8.521866063993705902e+05
2.431543967170676875e+14,3.724737896325777675e-01,1.375547939658897079e+01,6.784858386812813114e+05
2.495723361044609688e+14,3.913248996710814165e-01,1.372123685775785162e+01,5.455649009775818558e+05
2.559630048118676250e+14,4.101760097095850655e-01,1.369412205729069143e+01,4.426737611634757486e+05
2.623299146551612188e+14,4.290271197480887144e-01,1.367278265936716153e+01,3.621204176599513157e+05
2.686743369308284062e+14,4.478782297865924189e-01,1.365613732021104632e+01,2.983529318543379777e+05
2.750007059747414375e+14,4.667293398250960124e-01,1.364333035767699265e+01,2.474992123987258237e+05
2.813140117397803750e+14,4.855804498635997168e-01,1.363366542777576385e+01,2.065851605873271474e+05
2.876164505841837500e+14,5.044315599021034213e-01,1.362657851799412612e+01,1.734136147025954851e+05
2.939097129325353750e+14,5.232826699406070148e-01,1.362160438518480099e+01,1.464002966066898371e+05
3.001995118982533750e+14,5.421337799791107193e-01,1.361836220776619832e+01,1.241642426806615986e+05
3.064872757414660000e+14,5.609848900176144237e-01,1.361653207626479833e+01,1.057863509919775097e+05
3.127741683809603750e+14,5.798360000561180172e-01,1.361584122559717969e+01,9.054098668821659521e+04
3.190656163124545000e+14,5.986871100946216107e-01,1.361607689083501960e+01,7.777674723737151362e+04
3.253642118724690000e+14,6.175382201331253151e-01,1.361703870873734168e+01,6.707674042497592745e+04
3.316715993105541875e+14,6.363893301716290196e-01,1.361856991521433891e+01,5.804292086813708011e+04
3.379902604113826875e+14,6.552404402101326131e-01,1.362053268730330835e+01,5.040607415321983717e+04
3.443232088928146875e+14,6.740915502486363176e-01,1.362280727521465451e+01,4.390760739039465989e+04
3.506731688073474375e+14,6.929426602871400220e-01,1.362529334217421351e+01,3.835425124258240248e+04
3.570425308090550625e+14,7.117937703256436155e-01,1.362790468777088826e+01,3.359500086034714332e+04
3.634322861150500000e+14,7.306448803641472090e-01,1.363056179397490197e+01,2.950533977498657259e+04
3.698443383148141250e+14,7.494959904026509134e-01,1.363319955332510958e+01,2.597414525381793646e+04
3.762833995660135625e+14,7.683471004411546179e-01,1.363576208311516069e+01,2.292423047980941192e+04
3.827517899032357500e+14,7.871982104796582114e-01,1.363819658016707415e+01,2.027691897573850292e+04
3.892511805520293125e+14,8.060493205181619158e-01,1.364046000776273893e+01,1.797670333322400620e+04
3.957831887777166250e+14,8.249004305566656203e-01,1.364251233143313868e+01,1.595899137892003273e+04
4.023505114167792500e+14,8.437515405951692138e-01,1.364431901976304218e+01,1.420009816684429097e+04
4.089547525045966250e+14,8.626026506336729183e-01,1.364584901683375406e+01,1.265578584442420652e+04
4.155991955217491875e+14,8.814537606721765117e-01,1.364707326231514095e+01,1.130080324814508822e+04
4.222875900186193750e+14,9.003048707106802162e-01,1.364797116471878979e+01,1.010504712842649678e+04
4.290202659507078750e+14,9.191559807491839207e-01,1.364851263243345514e+01,9.052216198068024823e+03
4.358003801636358125e+14,9.380070907876875141e-01,1.364868322314860549e+01,8.121415793765336275e+03
4.426304046809070625e+14,9.568582008261912186e-01,1.364846389723019016e+01,7.294147147501465952e+03
4.495110776117423125e+14,9.757093108646948121e-01,1.364783647464718364e+01,6.562014460064461673e+03
4.564473956027182500e+14,9.945604209031985166e-01,1.364678532655211463e+01,5.909378954304362196e+03
4.634429428048238125e+14,1.013411530941702221e+00,1.364529717018348620e+01,5.329110009457609522e+03
4.704999502210200625e+14,1.032262640980205815e+00,1.364335634130385877e+01,4.808974030644643790e+03
4.776203131849175000e+14,1.051113751018709408e+00,1.364095097652404220e+01,4.346764597236115151e+03
4.848056294908358750e+14,1.069964861057213223e+00,1.363806826876559342e+01,3.932855980098614509e+03
4.920600790240030625e+14,1.088815971095716817e+00,1.363469689197786749e+01,3.560736621903204650e+03
4.993869522619406875e+14,1.107667081134220410e+00,1.363082527452336201e+01,3.227864641379572276e+03
5.067899225450437500e+14,1.126518191172724226e+00,1.362644241900082775e+01,2.927970037704073093e+03
5.142711984708216250e+14,1.145369301211227819e+00,1.362153765703283703e+01,2.658749731368601715e+03
5.218364058927048125e+14,1.164220411249731413e+00,1.361609993297687105e+01,2.416138250903040898e+03
5.294889998592621250e+14,1.183071521288235228e+00,1.361011719229326467e+01,2.196474824674067349e+03
5.372335871593943125e+14,1.201922631326738600e+00,1.360358060529804014e+01,1.999543698716823201e+03
5.450691158486313125e+14,1.220773741365242415e+00,1.359647729059292942e+01,1.820781226325427269e+03
5.530033905613006250e+14,1.239624851403746231e+00,1.358879631748681938e+01,1.658893183507116191e+03
5.610408168863159375e+14,1.258475961442249602e+00,1.358052598348657192e+01,1.512644197270522909e+03
5.691854006079996250e+14,1.277327071480753418e+00,1.357165490035957944e+01,1.380131893887723891e+03
5.774401709609327500e+14,1.296178181519257011e+00,1.356217020015467334e+01,1.259478581544458621e+03
5.858139226554621250e+14,1.315029291557760605e+00,1.355205914395931543e+01,1.150147965289481590e+03
5.943119639205366250e+14,1.333880401596264420e+00,1.354130818368149569e+01,1.050589430759709103e+03
6.029390571574507500e+14,1.352731511634768236e+00,1.352990253913289109e+01,9.604337044555315970e+02
6.116995132396388750e+14,1.371582621673271607e+00,1.351782755266674130e+01,8.779915022474348234e+02
6.206026438127601250e+14,1.390433731711775422e+00,1.350506699716659575e+01,8.029119000300865991e+02
6.296549885868618750e+14,1.409284841750279238e+00,1.349160385200509360e+01,7.347335514961953322e+02
6.388618306171422500e+14,1.428135951788782609e+00,1.347742018903283778e+01,6.721561855792147071e+02
6.482275752251843750e+14,1.446987061827286425e+00,1.346249689091438917e+01,6.151908622295619580e+02
6.577648644232321250e+14,1.465838171865789796e+00,1.344681373551066272e+01,5.630636230304352239e+02
6.674835732705720000e+14,1.484689281904293612e+00,1.343034919151580553e+01,5.155208583724507889e+02
6.773926973097543750e+14,1.503540391942797427e+00,1.341307957653047644e+01,4.720541599113457778e+02
6.875004026346737500e+14,1.522391501981300799e+00,1.339497988563743291e+01,4.321863699863450847e+02
6.978207004096538750e+14,1.541242612019804614e+00,1.337602272115256952e+01,3.959336679313535114e+02
7.083654797349552500e+14,1.560093722058308430e+00,1.335617877886759786e+01,3.623644104959182641e+02
7.191478657785625000e+14,1.578944832096811801e+00,1.333541579917088704e+01,3.317389084725920156e+02
7.301782114774238750e+14,1.597795942135315617e+00,1.331369973109698712e+01,3.036780206250663241e+02
7.414760026769647500e+14,1.616647052173819432e+00,1.329099227160569363e+01,2.779282271020334747e+02
7.530557896664562500e+14,1.635498162212322804e+00,1.326725282820631868e+01,2.543457166850116380e+02
7.649349614137375000e+14,1.654349272250826619e+00,1.324243642295281376e+01,2.326684116058387986e+02
7.771331598146573750e+14,1.673200382289330435e+00,1.321649413209710922e+01,2.126945658861273216e+02
7.896728936961345000e+14,1.692051492327833806e+00,1.318937234838247896e+01,1.944298512104370502e+02
8.025813971041923750e+14,1.710902602366337621e+00,1.316101137257687803e+01,1.776129805798922519e+02
8.158861210249717500e+14,1.729753712404841437e+00,1.313134500727822385e+01,1.622095077185006460e+02
8.296176861828961250e+14,1.748604822443344808e+00,1.310029962135306469e+01,1.479924245497549293e+02
8.438105073325311250e+14,1.767455932481848624e+00,1.306779276324561678e+01,1.349582704602591150e+02
8.585031371007338750e+14,1.786307042520351995e+00,1.303373213274146813e+01,1.229653282941957855e+02
