rhoc,M,R,Lambda
2.715349606144221562e+14,2.971938580641608763e-01,1.323499066585373818e+01,1.300031216000544606e+06
2.802250244100988438e+14,3.154803902279662009e-01,1.313383638342890336e+01,9.966711072792597115e+05
2.887550223236215000e+14,3.337669223917714700e-01,1.305086746179192048e+01,7.746513497769344831e+05
2.971558060551305000e+14,3.520534545555767947e-01,1.298237031507541772e+01,6.094053851454284741e+05
3.054256022770471250e+14,3.703399867193820638e-01,1.292551329349330125e+01,4.845617126705701812e+05
3.135901900722703750e+14,3.886265188831873885e-01,1.287812854963549647e+01,3.891708294499456533e+05
3.216472972085761875e+14,4.069130510469927131e-01,1.283851457211776648e+01,3.153739834753205650e+05
3.296079878989541875e+14,4.251995832107979822e-01,1.280532371615901077e+01,2.576621903599445068e+05
3.374879429543690000e+14,4.434861153746033069e-01,1.277748081738260311e+01,2.120686507676203037e+05
3.452923405651488125e+14,4.617726475384086315e-01,1.275411665678953987e+01,1.757201033190821472e+05
3.530265991461321875e+14,4.800591797022139007e-01,1.273451808093634696e+01,1.465708629160317068e+05
3.606953270731240625e+14,4.983457118660192253e-01,1.271809268697841944e+01,1.229440505160543835e+05
3.683096622565539375e+14,5.166322440298245500e-01,1.270435753246235322e+01,1.036861240163661278e+05
3.758731998190922500e+14,5.349187761936298191e-01,1.269290413667344808e+01,8.789322657099389471e+04
3.833909391257695000e+14,5.532053083574350882e-01,1.268338989820774643e+01,7.484340722833774635e+04
3.908704968997605625e+14,5.714918405212403574e-01,1.267552180681464513e+01,6.402106247017085843e+04
3.983169599301598750e+14,5.897783726850457375e-01,1.266905452040833602e+01,5.498446849145424494e+04
4.057353475421308125e+14,6.080649048488511177e-01,1.266377387445667857e+01,4.740951856835106446e+04
4.131285669861300625e+14,6.263514370126563868e-01,1.265949882481437783e+01,4.102242767911378178e+04
4.204988658928036875e+14,6.446379691764616560e-01,1.265606979402824805e+01,3.561584932391374605e+04
4.278515440810113125e+14,6.629245013402669251e-01,1.265335150827787736e+01,3.101972191691752960e+04
4.351936950303595625e+14,6.812110335040721942e-01,1.265122497485864628e+01,2.709862761907039385e+04
4.425265611333551250e+14,6.994975656678775744e-01,1.264958403872451775e+01,2.375189495209053348e+04
4.498541703281712500e+14,7.177840978316828435e-01,1.264833840318989644e+01,2.085419836130757903e+04
4.571809784504770625e+14,7.360706299954882237e-01,1.264740544669882460e+01,1.836449783193474286e+04
4.645118794102908750e+14,7.543571621592934928e-01,1.264671564777499491e+01,1.621223294210802851e+04
4.718487108664566875e+14,7.726436943230987620e-01,1.264620382755112438e+01,1.434448656163411761e+04
4.791917579010384375e+14,7.909302264869040311e-01,1.264581417752177650e+01,1.271843030289565650e+04
4.865470526440595625e+14,8.092167586507094112e-01,1.264549576625585914e+01,1.129984218545261683e+04
4.939181029741656250e+14,8.275032908145146804e-01,1.264520208810096413e+01,1.005939886096361442e+04
5.013090264574403125e+14,8.457898229783199495e-01,1.264489302489572964e+01,8.969732419956468220e+03
5.087218362825153750e+14,8.640763551421253297e-01,1.264453208570268572e+01,8.014791257987166318e+03
5.161587575668353125e+14,8.823628873059305988e-01,1.264408516506456515e+01,7.172930766309822502e+03
5.236246943167771250e+14,9.006494194697358679e-01,1.264352032153507821e+01,6.429011252635793426e+03
5.311226769574228125e+14,9.189359516335412481e-01,1.264281239702965465e+01,5.770892022088755766e+03
5.386517202583465625e+14,9.372224837973465172e-01,1.264193220034045417e+01,5.188346983888138311e+03
5.462198276985830625e+14,9.555090159611517864e-01,1.264085896287905975e+01,4.670450876973149207e+03
5.538316130241335000e+14,9.737955481249571665e-01,1.263956972690091973e+01,4.209803770485232235e+03
5.614888757913592500e+14,9.920820802887624357e-01,1.263804340160574036e+01,3.799513846636664312e+03
5.691894516448596250e+14,1.010368612452567705e+00,1.263626129014069299e+01,3.433058697880126147e+03
5.769426310097045000e+14,1.028655144616372974e+00,1.263420471185189164e+01,3.105631559938898590e+03
5.847519611474736250e+14,1.046941676780178465e+00,1.263185683650619850e+01,2.812237129820265181e+03
5.926163403263356250e+14,1.065228208943983734e+00,1.262920238516966975e+01,2.549190220126046370e+03
6.005458039554071250e+14,1.083514741107789003e+00,1.262622423611269085e+01,2.312916492674195979e+03
6.085440654704513750e+14,1.101801273271594273e+00,1.262290785425364170e+01,2.100588276129869882e+03
6.166061079329620000e+14,1.120087805435399542e+00,1.261923838453138558e+01,1.909312793150848620e+03
6.247396408486883750e+14,1.138374337599204811e+00,1.261520223128300877e+01,1.736965296318194532e+03
6.329531160033156250e+14,1.156660869763010080e+00,1.261078580538941907e+01,1.581237583668424122e+03
6.412491854812526250e+14,1.174947401926815349e+00,1.260597370528517480e+01,1.440669397570195088e+03
6.496314940539300000e+14,1.193233934090620618e+00,1.260075380082571961e+01,1.313643089579670686e+03
6.581068554878725000e+14,1.211520466254426109e+00,1.259511180980956802e+01,1.198302883730147641e+03
6.666750084634333750e+14,1.229806998418231379e+00,1.258903428746417319e+01,1.093973668386493046e+03
6.753430514151670000e+14,1.248093530582036648e+00,1.258250680208549355e+01,9.993308554209388603e+02
6.841194546437131250e+14,1.266380062745842139e+00,1.257551520798062228e+01,9.133032268502465740e+02
6.930067753741497500e+14,1.284666594909647408e+00,1.256804547716447829e+01,8.350230277765416531e+02
7.020114346055358750e+14,1.302953127073452677e+00,1.256008248084581602e+01,7.639056597854349775e+02
7.111425668085271250e+14,1.321239659237257946e+00,1.255161137372484070e+01,6.991476840339145156e+02
7.204029807049975000e+14,1.339526191401063215e+00,1.254261520758857706e+01,6.400332093577608248e+02
7.297972215454923750e+14,1.357812723564868485e+00,1.253307849836734356e+01,5.861446246133655222e+02
7.393371741049236250e+14,1.376099255728673754e+00,1.252298334815343495e+01,5.370308664922876005e+02
7.490292944226500000e+14,1.394385787892479023e+00,1.251231203518510782e+01,4.921004549438022195e+02
7.588838934525760000e+14,1.412672320056284514e+00,1.250104623971759210e+01,4.511441012621939990e+02
