rhoc,M,R,Lambda
2.818356306430341250e+14,2.970023664276955633e-01,1.395458321168512938e+01,1.287634756972210715e+06
2.912506468739495625e+14,3.139345169892816534e-01,1.378909493239173933e+01,9.972534270257075550e+05
3.004928492508725000e+14,3.308666675508677990e-01,1.364844733247524289e+01,7.819013868986020098e+05
3.095981143950367500e+14,3.477988181124538891e-01,1.352786592351815642e+01,6.200266777909004595e+05
3.185661836780895000e+14,3.647309686740399792e-01,1.342369038023792704e+01,4.965584249624295626e+05
3.274198417819718750e+14,3.816631192356261248e-01,1.333307493079060535e+01,4.013923790246756980e+05
3.361519249757273750e+14,3.985952697972122150e-01,1.325377074579375147e+01,3.271307493993247626e+05
3.447924908121895625e+14,4.155274203587983051e-01,1.318398029389778969e+01,2.687019556413272512e+05
3.533487296309206875e+14,4.324595709203844507e-01,1.312224753820020950e+01,2.222440681522258965e+05
3.618141470971636875e+14,4.493917214819705408e-01,1.306738460668118762e+01,1.850142711447578622e+05
3.702058791361913750e+14,4.663238720435566309e-01,1.301840965508053216e+01,1.549256590243569226e+05
3.785350574858036875e+14,4.832560226051427765e-01,1.297450820974104957e+01,1.304690059901440545e+05
3.868082507545859375e+14,5.001881731667288111e-01,1.293499767724674498e+01,1.104362647742277331e+05
3.950304497690317500e+14,5.171203237283149567e-01,1.289929944112652827e+01,9.392800837872475677e+04
4.032054675884867500e+14,5.340524742899011024e-01,1.286692635301192844e+01,8.023807905330919311e+04
4.113393544203796875e+14,5.509846248514871370e-01,1.283745390166561684e+01,6.883636110586249561e+04
4.194392551036142500e+14,5.679167754130732826e-01,1.281052855172020521e+01,5.928659003034618217e+04
4.275110722749897500e+14,5.848489259746594282e-01,1.278583636350838759e+01,5.124864549579205050e+04
4.355593568621011875e+14,6.017810765362454628e-01,1.276310893134647628e+01,4.445186122217771481e+04
4.435872545357500000e+14,6.187132270978316084e-01,1.274211061245698318e+01,3.868269786421542085e+04
4.515996417632111250e+14,6.356453776594177540e-01,1.272263461912260318e+01,3.376518893249538087e+04
4.596015464149704375e+14,6.525775282210037886e-01,1.270450147754810644e+01,2.956021040130350957e+04
4.675981003302480625e+14,6.695096787825899343e-01,1.268755037626036142e+01,2.594831263786611817e+04
4.755940963419119375e+14,6.864418293441760799e-01,1.267164039561767552e+01,2.283909601584236589e+04
4.835932905457516250e+14,7.033739799057621145e-01,1.265664564692356642e+01,2.014883848721834147e+04
4.915981988815563750e+14,7.203061304673482601e-01,1.264245272518377483e+01,1.781865317471970047e+04
4.996070395462418125e+14,7.372382810289344057e-01,1.262896204744125583e+01,1.579207217986848264e+04
5.076291131192883750e+14,7.541704315905204403e-01,1.261608354970146095e+01,1.402493253553406976e+04
5.156693530492108750e+14,7.711025821521065859e-01,1.260373606374915667e+01,1.248311347175069204e+04
5.237322312714048125e+14,7.880347327136927316e-01,1.259184609238022290e+01,1.112629280760869733e+04
5.318214389409723750e+14,8.049668832752787662e-01,1.258034626358724672e+01,9.937064668345670725e+03
5.399335308858502500e+14,8.218990338368648008e-01,1.256917676703201181e+01,8.890507002913382166e+03
5.480766485401469375e+14,8.388311843984510574e-01,1.255828289671086928e+01,7.967362267739328672e+03
5.562551728666084375e+14,8.557633349600370920e-01,1.254761261253546500e+01,7.150211656636575754e+03
5.644725824824961250e+14,8.726954855216231266e-01,1.253712032992123149e+01,6.426351081458768022e+03
5.727288553715940000e+14,8.896276360832093832e-01,1.252676406807914589e+01,5.784868514178284386e+03
5.810295600381620000e+14,9.065597866447954178e-01,1.251650389687655540e+01,5.213173350346491134e+03
5.893822073412896250e+14,9.234919372063814524e-01,1.250630253365200417e+01,4.703977297175653803e+03
5.977903515550578750e+14,9.404240877679677091e-01,1.249612734517562451e+01,4.250073743867181292e+03
6.062510117516180000e+14,9.573562383295537437e-01,1.248594476716951007e+01,3.844744677479090569e+03
6.147697668470355000e+14,9.742883888911397783e-01,1.247572624108812711e+01,3.481788404685319165e+03
6.233533951793291250e+14,9.912205394527260349e-01,1.246544272452819513e+01,3.156091142393929658e+03
6.320051411860071250e+14,1.008152690014312070e+00,1.245506914282474042e+01,2.863661968123418319e+03
6.407250926853081250e+14,1.025084840575898104e+00,1.244457893250599412e+01,2.600971436139858724e+03
6.495246639601846250e+14,1.042016991137484361e+00,1.243395005892459437e+01,2.364508616641589470e+03
6.584078652567767500e+14,1.058949141699070395e+00,1.242315900882980984e+01,2.151124405633156584e+03
6.673721251162751250e+14,1.075881292260656430e+00,1.241218166955703062e+01,1.958796188466841841e+03
6.764263327051996250e+14,1.092813442822242687e+00,1.240099830664897063e+01,1.784870559426720774e+03
6.855767575804743750e+14,1.109745593383828721e+00,1.238958955454244126e+01,1.627609051512387850e+03
6.948231380444877500e+14,1.126677743945414756e+00,1.237793234859606528e+01,1.485396855743757897e+03
7.041731481247147500e+14,1.143609894507001012e+00,1.236600841430840880e+01,1.356197182106430546e+03
7.136357534348640000e+14,1.160542045068587047e+00,1.235379902164892840e+01,1.239117404783076154e+03
7.232140427825356250e+14,1.177474195630173082e+00,1.234128408140913713e+01,1.132661179965183010e+03
7.329123234765417500e+14,1.194406346191759338e+00,1.232844442920006678e+01,1.037529263629384786e+03
7.427413491932285000e+14,1.211338496753345373e+00,1.231526082875764772e+01,9.480141549332814748e+02
7.527061155766711250e+14,1.228270647314931407e+00,1.230171347697505446e+01,8.679923663740183883e+02
7.628084076777067500e+14,1.245202797876517664e+00,1.228778352768631521e+01,7.949461463775236325e+02
7.730609084386531250e+14,1.262134948438103699e+00,1.227345041538646697e+01,7.283476258850693057e+02
7.834711705984147500e+14,1.279067098999689733e+00,1.225869474224409750e+01,6.675926218408980048e+02
7.940409562618023750e+14,1.295999249561275990e+00,1.224349462677167466e+01,6.120469560434394225e+02
8.047870891156555000e+14,1.312931400122862025e+00,1.222782909428812737e+01,5.612857412969136703e+02
8.157184315410306250e+14,1.329863550684448059e+00,1.221167702195291582e+01,5.148399628607858176e+02
8.268415303038476250e+14,1.346795701246034094e+00,1.219501394873189248e+01,4.723009967195633294e+02
8.381690352174463750e+14,1.363727851807620350e+00,1.217781639178859621e+01,4.334335477331547963e+02
8.497133006090893750e+14,1.380660002369206385e+00,1.216005901072941242e+01,3.977219411224943997e+02
8.614833442218336250e+14,1.397592152930792420e+00,1.214171500286268035e+01,3.649923033771426049e+02
8.734904879715885000e+14,1.414524303492378676e+00,1.212275668073993451e+01,3.349917623017053074e+02
