rhoc,M,R,Lambda
3.631344582737095000e+14,2.972482273171172529e-01,1.319278741998119386e+01,8.004625748152106535e+05
3.726297082557384375e+14,3.154527653697970502e-01,1.299441673223991245e+01,6.131249191731630126e+05
3.818638547177260000e+14,3.336573034224767920e-01,1.283101206276112727e+01,4.765239973639408126e+05
3.908501876150819375e+14,3.518618414751565893e-01,1.269510783742214599e+01,3.752185157349360525e+05
3.996321017763500625e+14,3.700663795278363866e-01,1.258116708379874815e+01,2.988035872924627620e+05
4.082330611312579375e+14,3.882709175805161284e-01,1.248499014652696104e+01,2.404719709398414707e+05
4.166720416734316250e+14,4.064754556331959257e-01,1.240335393744517312e+01,1.953299405776417407e+05
4.249652683179617500e+14,4.246799936858757230e-01,1.233373583090774517e+01,1.600057231731813517e+05
4.331268253743588125e+14,4.428845317385554647e-01,1.227413832357512291e+01,1.320678643541215861e+05
4.411697497478604375e+14,4.610890697912352620e-01,1.222295270184687688e+01,1.097872462953989452e+05
4.491066011687728750e+14,4.792936078439150593e-01,1.217888295609852101e+01,9.186179224869920290e+04
4.569495784556615625e+14,4.974981458965948011e-01,1.214086851895064356e+01,7.731426773371509626e+04
4.647093697925751875e+14,5.157026839492746539e-01,1.210802661435761074e+01,6.542506841011207143e+04
4.723946670230171875e+14,5.339072220019543957e-01,1.207963091781210530e+01,5.564497701560577116e+04
4.800048754937958125e+14,5.521117600546341375e-01,1.205506498306123930e+01,4.755477209979357576e+04
4.875560226729419375e+14,5.703162981073139903e-01,1.203381378761713805e+01,4.081767620982573135e+04
4.950560153962403125e+14,5.885208361599937321e-01,1.201543253658288712e+01,3.517936190730666567e+04
5.025115556459779375e+14,6.067253742126734739e-01,1.199955285755527790e+01,3.043425810122618714e+04
5.099268316183520625e+14,6.249299122653533267e-01,1.198584531885009596e+01,2.642603946054385960e+04
5.172954497416972500e+14,6.431344503180330685e-01,1.197403711548405703e+01,2.302342836960277782e+04
5.246359501733571875e+14,6.613389883707128103e-01,1.196388326851129236e+01,2.011829368269915722e+04
