rhoc,M,R,Lambda
3.040975759160835625e+14,2.970477913080717958e-01,1.411338337474097671e+01,1.097574046796881827e+06
3.132354066447837500e+14,3.158297579530618959e-01,1.388847656978339096e+01,8.304365083200135268e+05
3.221127023035975625e+14,3.346117245980519961e-01,1.370328563167501557e+01,6.385759447789504193e+05
3.307447755393398125e+14,3.533936912430421518e-01,1.354917036340825476e+01,4.978424009533660719e+05
3.391807963321182500e+14,3.721756578880322519e-01,1.341977314481720640e+01,3.930661382549023256e+05
3.474360156134668125e+14,3.909576245330223521e-01,1.331030687645163368e+01,3.137304979297175887e+05
3.555218280276215625e+14,4.097395911780125077e-01,1.321709758692454351e+01,2.529809987387318979e+05
3.634648714976200000e+14,4.285215578230026079e-01,1.313730534413025275e+01,2.058091319329298858e+05
3.712793331116061875e+14,4.473035244679927080e-01,1.306866819401802537e+01,1.688325917139570229e+05
3.789788527336633750e+14,4.660854911129828082e-01,1.300938346053620087e+01,1.395209510911695834e+05
3.865763869362683125e+14,4.848674577579729084e-01,1.295800195499306895e+01,1.160892119787591510e+05
3.940825564439008125e+14,5.036494244029630085e-01,1.291332929137666063e+01,9.719896927904889162e+04
4.015062056305199375e+14,5.224313910479532197e-01,1.287438794559297328e+01,8.186608028069243301e+04
4.088540038834209375e+14,5.412133576929432088e-01,1.284036619358091613e+01,6.922673245352078811e+04
4.161342718136525000e+14,5.599953243379334200e-01,1.281057774075078548e+01,5.898732464400715253e+04
4.233570362474083125e+14,5.787772909829235202e-01,1.278445456419599147e+01,5.041960885620446061e+04
4.305300678520322500e+14,5.975592576279136203e-01,1.276150831991721191e+01,4.329897263309508708e+04
4.376600488580659375e+14,6.163412242729037205e-01,1.274132436304112481e+01,3.732453768973861588e+04
4.447447294715398125e+14,6.351231909178938206e-01,1.272354703761103067e+01,3.229762419142432191e+04
4.517941151561766250e+14,6.539051575628840318e-01,1.270786646802432607e+01,2.804594770314177003e+04
4.588153831392935625e+14,6.726871242078740210e-01,1.269401900554445284e+01,2.443231768469692179e+04
4.658139111895705000e+14,6.914690908528642321e-01,1.268177295701491225e+01,2.135839860614238205e+04
4.727947900226541250e+14,7.102510574978543323e-01,1.267092519648410054e+01,1.871876257546212219e+04
4.797532147347281250e+14,7.290330241428444324e-01,1.266129910563915395e+01,1.645552920473444465e+04
4.867030795653999375e+14,7.478149907878345326e-01,1.265273895519056602e+01,1.450031868994676188e+04
4.936490233856570625e+14,7.665969574328246328e-01,1.264510646186388421e+01,1.281200826797865739e+04
5.005938884420485625e+14,7.853789240778147329e-01,1.263827620901937543e+01,1.134365047885482636e+04
5.075305581865238750e+14,8.041608907228048331e-01,1.263214194478482710e+01,1.006713096712870538e+04
5.144734064031571250e+14,8.229428573677950443e-01,1.262660641950110652e+01,8.952766959635686362e+03
5.214260092864601250e+14,8.417248240127851444e-01,1.262158050298795864e+01,7.977360016096882646e+03
5.283847096926425625e+14,8.605067906577752446e-01,1.261698642146798832e+01,7.121854053257634405e+03
5.353585612141372500e+14,8.792887573027653447e-01,1.261275383956514062e+01,6.369941707732544273e+03
5.423544343410438125e+14,8.980707239477554449e-01,1.260881964620534568e+01,5.707118883586598713e+03
5.493688698137831250e+14,9.168526905927455450e-01,1.260512433393707710e+01,5.120634357614860164e+03
5.564069688137415000e+14,9.356346572377356452e-01,1.260161471359967322e+01,4.602151821260873476e+03
5.634756972320345000e+14,9.544166238827257454e-01,1.259824292970813708e+01,4.142223341183376760e+03
5.705680504860787500e+14,9.731985905277158455e-01,1.259496448606165586e+01,3.733143680699276501e+03
5.776942850288757500e+14,9.919805571727060567e-01,1.259173879622241898e+01,3.369340338881741900e+03
5.848612859017075000e+14,1.010762523817696046e+00,1.258852951682077226e+01,3.044357344516268768e+03
5.920644828027693750e+14,1.029544490462686257e+00,1.258530002356488531e+01,2.754163874353916981e+03
5.993150438828506250e+14,1.048326457107676468e+00,1.258202047539691470e+01,2.494400175186600336e+03
6.066153207760431250e+14,1.067108423752666457e+00,1.257865819278010200e+01,2.261627428645979762e+03
6.139628271367067500e+14,1.085890390397656446e+00,1.257518553970329833e+01,2.052918121681659159e+03
6.213674011002845000e+14,1.104672357042646658e+00,1.257157557143119320e+01,1.865004646920093819e+03
6.288257749251087500e+14,1.123454323687636869e+00,1.256780324486943634e+01,1.695923321674264344e+03
6.363442579570438750e+14,1.142236290332626858e+00,1.256384565430423095e+01,1.543549955334270180e+03
