rhoc,M,R,Lambda
5.459050507330026250e+14,2.975523729481065471e-01,1.130683861449346317e+01,3.743175351108034956e+05
5.584666985353468750e+14,3.139837219592511719e-01,1.115552939790615739e+01,2.911161483987045940e+05
5.706537623624885000e+14,3.304150709703957411e-01,1.102906042627533267e+01,2.295118665852599370e+05
5.824681042760528750e+14,3.468464199815403104e-01,1.092250796228538157e+01,1.831420471373175096e+05
5.939013046586468750e+14,3.632777689926849352e-01,1.083214793074817273e+01,1.477122412816249125e+05
6.049375881133388750e+14,3.797091180038295599e-01,1.075511958527013334e+01,1.202799421643536916e+05
6.156095639121470000e+14,3.961404670149741292e-01,1.068917114275946467e+01,9.880787035123060923e+04
6.259994897772946250e+14,4.125718160261186984e-01,1.063253849503882265e+01,8.177720117831285461e+04
6.361244403068293750e+14,4.290031650372633232e-01,1.058377983213232731e+01,6.818406561638292624e+04
6.459564158560886250e+14,4.454345140484079479e-01,1.054172905777487657e+01,5.722231944849489082e+04
6.554432059660088750e+14,4.618658630595525172e-01,1.050544111489302423e+01,4.831385405117484333e+04
6.646955897314731250e+14,4.782972120706970864e-01,1.047412357056315990e+01,4.103590444312084583e+04
6.736115547861583750e+14,4.947285610818417112e-01,1.044713069872803501e+01,3.501264601153024705e+04
6.822743010527246250e+14,5.111599100929863360e-01,1.042392418712572955e+01,3.003017936135226773e+04
6.907489635547576250e+14,5.275912591041309607e-01,1.040403280810908981e+01,2.586954667519747818e+04
6.990101025695675000e+14,5.440226081152754745e-01,1.038706390629394072e+01,2.237640675766017375e+04
7.071763148141691250e+14,5.604539571264200992e-01,1.037266973568779527e+01,1.943430892477139423e+04
7.152164218247366250e+14,5.768853061375647240e-01,1.036055137367139523e+01,1.693735444463100430e+04
7.232028284140441250e+14,5.933166551487092377e-01,1.035043690441180964e+01,1.481605180703354381e+04
7.310708779761270000e+14,6.097480041598538625e-01,1.034209599118675804e+01,1.300185695600972758e+04
7.388958232411016250e+14,6.261793531709984872e-01,1.033532415635439250e+01,1.144475511568275579e+04
7.465933242998646250e+14,6.426107021821431120e-01,1.032994253943584084e+01,1.011501275805018122e+04
7.542420473231077500e+14,6.590420511932877368e-01,1.032579617737516031e+01,8.942707011576872901e+03
7.618299706655725000e+14,6.754734002044322505e-01,1.032274668280822105e+01,7.935230531385133872e+03
7.693774523249906250e+14,6.919047492155768753e-01,1.032067287021322954e+01,7.058632711911757724e+03
7.769122261259590000e+14,7.083360982267215000e-01,1.031945549333885914e+01,6.288877137492951078e+03
7.844406796235695000e+14,7.247674472378660138e-01,1.031899959548404411e+01,5.623874402081742119e+03
7.919667974776386250e+14,7.411987962490106385e-01,1.031921394188528573e+01,5.034285465992355967e+03
7.995501707296076250e+14,7.576301452601552633e-01,1.032001340273025036e+01,4.516440881334967344e+03
8.071379766215238750e+14,7.740614942712998880e-01,1.032132003021188815e+01,4.058923809276245265e+03
8.147629082164641250e+14,7.904928432824445128e-01,1.032306454220610981e+01,3.654078480265854978e+03
8.224134911532543750e+14,8.069241922935890265e-01,1.032518430286171807e+01,3.294824932323500434e+03
8.300774817286050000e+14,8.233555413047336513e-01,1.032762249709110414e+01,2.976284206053242087e+03
8.377537523457652500e+14,8.397868903158782761e-01,1.033032893162733323e+01,2.691750352814826783e+03
8.454528003877008750e+14,8.562182393270229008e-01,1.033325639910222726e+01,2.438312774472034107e+03
8.531118772964563750e+14,8.726495883381674146e-01,1.033636277293007311e+01,2.211953408107698124e+03
8.607887046130908750e+14,8.890809373493120393e-01,1.033961270719267311e+01,2.008620830495180826e+03
8.684678926181248750e+14,9.055122863604566641e-01,1.034297456557203887e+01,1.826532201981074422e+03
8.761357667273288750e+14,9.219436353716011778e-01,1.034641832476545531e+01,1.662785367572692394e+03
