rhoc,M,R,Lambda,I
4.058482481609519375e+14,2.970324548312456292e-01,1.287623766758886923e+01,6.591752337393150665e+05,1.530120113586574127e-01
4.194889110168217500e+14,3.158486117162240814e-01,1.265715751753633533e+01,4.955409385831747204e+05,1.658997169961157481e-01
4.328609542503696875e+14,3.346647686012024780e-01,1.247543274116124401e+01,3.784887709281806601e+05,1.790880195247982198e-01
4.459633092569439375e+14,3.534809254861809302e-01,1.232287975254384271e+01,2.931966158994426369e+05,1.925611797056697716e-01
4.588592045776511250e+14,3.722970823711593824e-01,1.219348551727876817e+01,2.299457630906423437e+05,2.063054708382598967e-01
4.715713252888773125e+14,3.911132392561378346e-01,1.208274534965230984e+01,1.823697012101646105e+05,2.203087061974912664e-01
4.841188461495707500e+14,4.099293961411162313e-01,1.198720804995817346e+01,1.460460671676321654e+05,2.345599443668603956e-01
4.965238700606023125e+14,4.287455530260946834e-01,1.190417585998076078e+01,1.180526732173684723e+05,2.490483963219330688e-01
5.073122391169322500e+14,4.475617099110731356e-01,1.183166130422110029e+01,9.619657484851744084e+04,2.637720731493051196e-01
5.171486184805255000e+14,4.663778667960515323e-01,1.176838852843558492e+01,7.901410231482224481e+04,2.787502411807972202e-01
5.266587583667099375e+14,4.851940236810299845e-01,1.171323365322727028e+01,6.535949779183170176e+04,2.939967815086455549e-01
5.359539392069420625e+14,5.040101805660084366e-01,1.166513037948002030e+01,5.443961382062324265e+04,3.095156050885369825e-01
5.450634422858407500e+14,5.228263374509868333e-01,1.162313503128100400e+01,4.559768137202662911e+04,3.253064761273136707e-01
5.539617337135413125e+14,5.416424943359652300e-01,1.158644016240188712e+01,3.846957777433463343e+04,3.413677804861618981e-01
5.627160702968375625e+14,5.604586512209437377e-01,1.155435517829149106e+01,3.260733028179586836e+04,3.576968165605988736e-01
5.713477722201136250e+14,5.792748081059221343e-01,1.152629395594646411e+01,2.778266516674855666e+04,3.742903023050475619e-01
5.798232475820597500e+14,5.980909649909005310e-01,1.150174850335220711e+01,2.377702261284513224e+04,3.911448662272373200e-01
5.881977192286931250e+14,6.169071218758790387e-01,1.148028200972760793e+01,2.044114083578296049e+04,4.082566492189477203e-01
5.964816033363233750e+14,6.357232787608574354e-01,1.146151690721272232e+01,1.764437259994103806e+04,4.256222091327668267e-01
6.046467535136157500e+14,6.545394356458358320e-01,1.144513301284661644e+01,1.528854472827290556e+04,4.432374915897456802e-01
6.127565716973336250e+14,6.733555925308143397e-01,1.143083963019048532e+01,1.329131813989488364e+04,4.610991047952897048e-01
6.207673986777675000e+14,6.921717494157927364e-01,1.141839493333417543e+01,1.159731432149564353e+04,4.792031940018716685e-01
6.287275837378993750e+14,7.109879063007711331e-01,1.140757936756238244e+01,1.014918889182961902e+04,4.975463102304163443e-01
6.366215437902948750e+14,7.298040631857496408e-01,1.139820223668223775e+01,8.908265362626065325e+03,5.161247520756139240e-01
6.444635066992995000e+14,7.486202200707280374e-01,1.139009668185227753e+01,7.841635178436914430e+03,5.349351918649020154e-01
6.522629198104900000e+14,7.674363769557064341e-01,1.138311275846916182e+01,6.920205020096729640e+03,5.539740880154250258e-01
6.600141112350150000e+14,7.862525338406849418e-01,1.137711906991199484e+01,6.122334102234276543e+03,5.732382000498663643e-01
6.677387457386021250e+14,8.050686907256633384e-01,1.137199606047223455e+01,5.428872785254670816e+03,5.927243445342053052e-01
6.754233527802355000e+14,8.238848476106418461e-01,1.136764024506983439e+01,4.824162586357169857e+03,6.124291398646166673e-01
6.830915541126408750e+14,8.427010044956202428e-01,1.136395722221985594e+01,4.296902134388574268e+03,6.323494639678209905e-01
