rhoc,M,R,Lambda,I
2.270674183545922812e+14,2.974239505081602841e-01,1.561174367858102308e+01,1.691824917155336589e+06,2.173259190579782119e-01
2.323415148725070938e+14,3.125078226420068828e-01,1.541769646948042016e+01,1.365141521981400205e+06,2.329138079797882233e-01
2.375033665649245000e+14,3.275916947758534814e-01,1.525224004238265074e+01,1.112308438720616978e+06,2.488104579083615653e-01
2.425380488104150938e+14,3.426755669097001356e-01,1.511016417222151453e+01,9.139015227100444026e+05,2.650037813585796598e-01
2.474340621885050312e+14,3.577594390435467342e-01,1.498739854415553907e+01,7.569761295281226048e+05,2.814854784350131478e-01
2.522320010789406250e+14,3.728433111773933328e-01,1.488083767433120208e+01,6.313576789784248685e+05,2.982470734385366251e-01
2.569765598513974688e+14,3.879271833112399315e-01,1.478791725916131661e+01,5.301863520773043856e+05,3.152818121266657836e-01
2.616846378533924688e+14,4.030110554450865301e-01,1.470657019049012604e+01,4.479563201144342311e+05,3.325814171557483490e-01
2.663609754046380625e+14,4.180949275789331843e-01,1.463511065638974706e+01,3.805768854054971598e+05,3.501380778628253032e-01
2.710047813749023125e+14,4.331787997127797274e-01,1.457212070222896294e+01,3.250230308397400659e+05,3.679439404645467038e-01
2.756162156876955625e+14,4.482626718466263815e-01,1.451644353353434802e+01,2.789125719997933484e+05,3.859911109983300559e-01
2.802004847171665938e+14,4.633465439804729802e-01,1.446709678451402148e+01,2.404299641500116559e+05,4.042729084135966433e-01
2.847599872582669375e+14,4.784304161143195788e-01,1.442327161769148702e+01,2.081384295399863331e+05,4.227821212042732757e-01
2.892895131717985625e+14,4.935142882481662330e-01,1.438426179483934497e+01,1.808774494843039429e+05,4.415122937188629693e-01
2.937903967391866875e+14,5.085981603820127761e-01,1.434947684468962947e+01,1.577500812229930889e+05,4.604576925166172230e-01
2.982694571936410625e+14,5.236820325158594303e-01,1.431841270790250853e+01,1.380920422227899544e+05,4.796124209118245996e-01
3.027213774123372500e+14,5.387659046497059734e-01,1.429063521818842020e+01,1.212687536474931985e+05,4.989714575593399704e-01
3.071426203422603125e+14,5.538497767835526275e-01,1.426576873623845643e+01,1.068142577593016613e+05,5.185289778847244069e-01
3.115447752795193125e+14,5.689336489173992817e-01,1.424348035682780100e+01,9.434801911590933742e+04,5.382812926750680793e-01
3.159156346414958750e+14,5.840175210512459358e-01,1.422349338642189309e+01,8.358304530632044771e+04,5.582235176311189928e-01
3.202595286470088750e+14,5.991013931850924790e-01,1.420556129037577264e+01,7.422635558088753896e+04,5.783515549403117628e-01
3.245866102904672500e+14,6.141852653189390221e-01,1.418945693604519143e+01,6.609471299763907155e+04,5.986621336726236642e-01
3.288710537969058750e+14,6.292691374527856762e-01,1.417500631771707553e+01,5.897011692682365538e+04,6.191510934863513338e-01
3.331359129292114375e+14,6.443530095866323304e-01,1.416202251037171145e+01,5.274798890355178446e+04,6.398155163498607800e-01
3.373479938978288125e+14,6.594368817204788735e-01,1.415036773840993511e+01,4.727837194783258019e+04,6.606527381999043325e-01
3.415231312634863125e+14,6.745207538543255277e-01,1.413991740773466965e+01,4.245235273434485134e+04,6.816603080042101803e-01
3.456558656337614375e+14,6.896046259881720708e-01,1.413055468782321711e+01,3.820780827538319863e+04,7.028368478000559527e-01
3.497533761185150625e+14,7.046884981220187250e-01,1.412217906021850311e+01,3.445025129816971457e+04,7.241804951136955326e-01
3.538285602098946875e+14,7.197723702558653791e-01,1.411470556530125542e+01,3.111256226698755927e+04,7.456891381744401581e-01
3.578798931808341875e+14,7.348562423897119222e-01,1.410805071140038969e+01,2.814897514044883792e+04,7.673614806211992434e-01
3.619206269230918750e+14,7.499401145235585764e-01,1.410213121531976377e+01,2.550523219100270944e+04,7.891956451001926887e-01
3.659534882167011250e+14,7.650239866574051195e-01,1.409688290582212566e+01,2.315575605940292007e+04,8.111895311569894407e-01
3.699846545583485625e+14,7.801078587912517737e-01,1.409223554699152636e+01,2.104338046534026944e+04,8.333408805345036141e-01
3.740254958429595000e+14,7.951917309250984278e-01,1.408813433337172150e+01,1.915751683611376939e+04,8.556465584843493399e-01
3.780743094321628125e+14,8.102756030589449709e-01,1.408451706505808154e+01,1.746547392899412080e+04,8.781042065477168146e-01
3.821487159293508750e+14,8.253594751927916251e-01,1.408133020490227416e+01,1.594074120944431888e+04,9.007104793374490770e-01
3.862444692582389375e+14,8.404433473266381682e-01,1.407852002347077658e+01,1.457342302910131548e+04,9.234626530527407784e-01
