rhoc,M,R,Lambda,I
2.317761881133783125e+14,2.973110561886985193e-01,1.566931200128443713e+01,1.591040122713244054e+06,2.112205762808452292e-01
2.387001509151947500e+14,3.220586691901374810e-01,1.534263596512146854e+01,1.127298962556388229e+06,2.364912492008070521e-01
2.453237880184651562e+14,3.468062821915764427e-01,1.509324474520784243e+01,8.192026130266267573e+05,2.627429129411796294e-01
2.516920235030910625e+14,3.715538951930154044e-01,1.489992665364617785e+01,6.084142089104803745e+05,2.899299106262375747e-01
2.578360471620066562e+14,3.963015081944544216e-01,1.474841095534631386e+01,4.604494348194657941e+05,3.180132050678081135e-01
2.637824560940321875e+14,4.210491211958933278e-01,1.462875966020926910e+01,3.539781036132170120e+05,3.469590521724858490e-01
2.695541056579793750e+14,4.457967341973323450e-01,1.453383898268694807e+01,2.761315188692475786e+05,3.767376393917274413e-01
2.751710931577531875e+14,4.705443471987713067e-01,1.445842365803796348e+01,2.180695503444153874e+05,4.073221286226103022e-01
2.806507612336583125e+14,4.952919602002102684e-01,1.439858200666587962e+01,1.742763550057043030e+05,4.386883203483853411e-01
2.860086029615786875e+14,5.200395732016491745e-01,1.435132147999701502e+01,1.405480508822259144e+05,4.708141610807715094e-01
2.912426773839763125e+14,5.447871862030881918e-01,1.431431808954540763e+01,1.144340370925369934e+05,5.036794973247413765e-01
2.963750106162570625e+14,5.695347992045272090e-01,1.428574354813155978e+01,9.394549440459492325e+04,5.372657524231102544e-01
3.014201299443771250e+14,5.942824122059662262e-01,1.426414968374077397e+01,7.769104447446364793e+04,5.715554384355564510e-01
3.063878514371703125e+14,6.190300252074051324e-01,1.424836047586883403e+01,6.472103870354405080e+04,6.065324549518382735e-01
3.112626769727555000e+14,6.437776382088440386e-01,1.423742823975250005e+01,5.425295995375104394e+04,6.421818542968729115e-01
3.160739726917117500e+14,6.685252512102830558e-01,1.423057418723691292e+01,4.574586762972889846e+04,6.784893673738832121e-01
3.208309941217663750e+14,6.932728642117220730e-01,1.422715492687832217e+01,3.876749627788515500e+04,7.154416335832594065e-01
