rhoc,M,R,Lambda,I
2.247034779635918438e+14,2.972846209132906092e-01,1.553249740447503768e+01,2.000681105328284670e+06,2.308972920550811381e-01
2.337105125458293438e+14,3.159443996380217889e-01,1.529742899446253546e+01,1.506258347691409290e+06,2.495426238123668317e-01
2.425777158416197812e+14,3.346041783627529131e-01,1.509948497137910906e+01,1.151274565341344569e+06,2.684749019515865753e-01
2.513030535588071875e+14,3.532639570874840929e-01,1.493091997751690769e+01,8.916906475136234658e+05,2.876796183433850684e-01
2.598996234396375938e+14,3.719237358122152171e-01,1.478597349276428474e+01,6.989444296030271798e+05,3.071456556693711870e-01
2.683771036790669688e+14,3.905835145369463968e-01,1.466027425908454518e+01,5.537458197888621362e+05,3.268632846343244025e-01
2.767392010454114062e+14,4.092432932616775210e-01,1.455044609626219376e+01,4.430863663298860192e+05,3.468241820427885869e-01
2.849914837611779375e+14,4.279030719864087007e-01,1.445383669179806851e+01,3.576908527796400012e+05,3.670211966450014907e-01
2.931475641711135000e+14,4.465628507111398804e-01,1.436834115982643034e+01,2.911104313860804541e+05,3.874474090187780551e-01
3.012090480069607500e+14,4.652226294358710046e-01,1.429226115703891331e+01,2.386992161583174311e+05,4.080965257057825868e-01
3.091856486296725000e+14,4.838824081606021288e-01,1.422421655834468268e+01,1.970820477001196996e+05,4.289627916476651537e-01
3.170861824040066250e+14,5.025421868853332530e-01,1.416305559250321089e+01,1.637683251809252251e+05,4.500419185063091465e-01
3.249136364959857500e+14,5.212019656100644882e-01,1.410784679353592175e+01,1.368786675303438969e+05,4.713277345227804283e-01
3.326730364045993125e+14,5.398617443347956124e-01,1.405779533778457768e+01,1.150487572448574210e+05,4.928152653340515110e-01
3.403729360728532500e+14,5.585215230595268476e-01,1.401223614832457542e+01,9.718961120307442616e+04,5.145001447733024147e-01
3.480235825954620625e+14,5.771813017842579718e-01,1.397060337824162701e+01,8.249156329850904876e+04,5.363777450871347607e-01
3.556249295316575000e+14,5.958410805089890960e-01,1.393241298209152923e+01,7.033392819772622897e+04,5.584434747738522553e-01
3.631802231885451875e+14,6.145008592337202202e-01,1.389725029970602677e+01,6.022956323901921860e+04,5.806927962022283563e-01
3.707012754732420625e+14,6.331606379584513444e-01,1.386476044230742488e+01,5.176266469267534558e+04,6.031211478753013555e-01
3.781867166633305625e+14,6.518204166831825797e-01,1.383462183518750521e+01,4.465633956761610898e+04,6.257256844264714735e-01
3.856391587499779375e+14,6.704801954079137039e-01,1.380657083094027904e+01,3.865313944420753978e+04,6.485005597594304394e-01
3.930694470075294375e+14,6.891399741326449391e-01,1.378036955826878973e+01,3.357076031926432915e+04,6.714423674974221434e-01
4.004821151696680625e+14,7.077997528573760633e-01,1.375580584020286956e+01,2.925092955985354274e+04,6.945468833254820895e-01
4.078737741705956250e+14,7.264595315821071875e-01,1.373269490109453095e+01,2.555456061038600819e+04,7.178101754378259924e-01
4.152523236600194375e+14,7.451193103068383117e-01,1.371087443763815550e+01,2.238905085609649905e+04,7.412277989208462259e-01
