rhoc,M,R,Lambda,I
2.576615108718715625e+14,2.972705472091949908e-01,1.437826150295257754e+01,1.481340062056889990e+06,2.067221405170434068e-01
2.667408229097742188e+14,3.165791663794050859e-01,1.418968827938978094e+01,1.112330324484189507e+06,2.246762114345352557e-01
2.755846097751719688e+14,3.358877855496151255e-01,1.403393092500229322e+01,8.485630603761851089e+05,2.430094059114271954e-01
2.842336932453832500e+14,3.551964047198252206e-01,1.390396344232649639e+01,6.566200121026429115e+05,2.617076113248641978e-01
2.926950406404489375e+14,3.745050238900352602e-01,1.379457779574419796e+01,5.145364528152389685e+05,2.807573482116362817e-01
3.009916332839724375e+14,3.938136430602453553e-01,1.370183586848844470e+01,4.077571486739883549e+05,3.001468607970786406e-01
3.091292500792311250e+14,4.131222622304554504e-01,1.362270983289506177e+01,3.264882842739851912e+05,3.198656860322274809e-01
3.171385610006973125e+14,4.324308814006655455e-01,1.355482899362442240e+01,2.638392256341736647e+05,3.399035329173235587e-01
3.250244106480299375e+14,4.517395005708755851e-01,1.349632035390503937e+01,2.150100003129161196e+05,3.602511299445991244e-01
3.327874376526258750e+14,4.710481197410856247e-01,1.344567726928496221e+01,1.765722653662212251e+05,3.808998791726745936e-01
3.404521945607811875e+14,4.903567389112957198e-01,1.340167985649853222e+01,1.461096342527589877e+05,4.018415104233349910e-01
3.480274582634458750e+14,5.096653580815058149e-01,1.336332841631209156e+01,1.215719445979351876e+05,4.230683722937070290e-01
3.555191050858724375e+14,5.289739772517159100e-01,1.332980015248240058e+01,1.018136541297717631e+05,4.445728225846950488e-01
3.629340829382571875e+14,5.482825964219260051e-01,1.330040721740277476e+01,8.575440677294546913e+04,4.663478449737156195e-01
3.702803922911733750e+14,5.675912155921361002e-01,1.327457464133501297e+01,7.259011635695712175e+04,4.883866608203710769e-01
3.775673364053763750e+14,5.868998347623460843e-01,1.325181383909386845e+01,6.174620684761846496e+04,5.106830428747343165e-01
3.847997260793906250e+14,6.062084539325561794e-01,1.323171410471310061e+01,5.276681018522650993e+04,5.332303421189789061e-01
3.919815464496835625e+14,6.255170731027662745e-01,1.321391969481274486e+01,4.527452146301156608e+04,5.560225800671223517e-01
3.991198540448420000e+14,6.448256922729762586e-01,1.319812957828225919e+01,3.900157074301088142e+04,5.790538423204385499e-01
