rhoc,M,R,Lambda,I
2.312965678968941875e+14,2.975235782417303687e-01,1.448520302566265094e+01,1.634979882225335576e+06,2.147393442089700621e-01
2.383478737856226562e+14,3.171482287866891903e-01,1.433246815166767085e+01,1.239656452289394801e+06,2.348360569406555687e-01
2.452716608849445625e+14,3.367728793316480118e-01,1.420910529035795555e+01,9.539650088810250163e+05,2.554203908378335219e-01
2.520908558688962188e+14,3.563975298766067779e-01,1.410862126812177841e+01,7.443508593697557226e+05,2.764680828599739293e-01
2.588088144436165625e+14,3.760221804215655994e-01,1.402621077256195470e+01,5.877434550402518362e+05,2.979582664791685098e-01
2.654338600802471562e+14,3.956468309665244210e-01,1.395827600067908847e+01,4.691336035924658645e+05,3.198715191013393189e-01
2.719839829796980625e+14,4.152714815114831870e-01,1.390205626477802703e+01,3.781344948548567481e+05,3.421903840465288504e-01
2.784630656574947812e+14,4.348961320564420086e-01,1.385540899225441613e+01,3.074046655779544380e+05,3.648986458221235574e-01
2.848764919507135000e+14,4.545207826014008301e-01,1.381664426085428765e+01,2.520057060692673549e+05,3.879816146592242609e-01
2.912335983792676250e+14,4.741454331463596517e-01,1.378441832749219387e+01,2.081049518685743969e+05,4.114252573774032085e-01
2.975411859811383125e+14,4.937700836913184732e-01,1.375764330435617033e+01,1.724511046242315497e+05,4.352166455272279411e-01
3.038054369235631875e+14,5.133947342362772392e-01,1.373543389087836886e+01,1.447005524514083518e+05,4.593436219297734602e-01
3.100321262533065000e+14,5.330193847812361163e-01,1.371706721096170867e+01,1.217394658154225472e+05,4.837948781508557561e-01
3.162257418683951250e+14,5.526440353261948824e-01,1.370193901906500500e+01,1.029440551572909608e+05,5.085594178866837956e-01
3.223913640339424375e+14,5.722686858711536484e-01,1.368955196079642533e+01,8.750541644253001141e+04,5.336271124205432814e-01
3.285342793153310625e+14,5.918933364161125255e-01,1.367948503981222785e+01,7.470626264971031924e+04,5.589878652769595391e-01
3.346578711643782500e+14,6.115179869610712915e-01,1.367137970346493070e+01,6.405463110938411410e+04,5.846324702311154198e-01
3.407656944907320000e+14,6.311426375060300575e-01,1.366493830323924286e+01,5.514836370604965487e+04,6.105516361668906766e-01
3.468627751193462500e+14,6.507672880509889346e-01,1.365990022603214271e+01,4.765618138692900538e+04,6.367371277140503327e-01
3.529542721240017500e+14,6.703919385959477006e-01,1.365604654570337750e+01,4.132634989264336036e+04,6.631801703620513466e-01
3.590411600150801250e+14,6.900165891409064667e-01,1.365318464639912399e+01,3.595221807455569797e+04,6.898728318358253730e-01
3.651229177110518750e+14,7.096412396858653437e-01,1.365115064197950012e+01,3.137595993298446410e+04,7.168071353327281070e-01
3.712086934527430000e+14,7.292658902308241098e-01,1.364980124973600617e+01,2.746277615049578526e+04,7.439754698213354445e-01
3.773017918676485000e+14,7.488905407757828758e-01,1.364901023777570188e+01,2.410161380793334683e+04,7.713704563783349011e-01
3.834038771122767500e+14,7.685151913207417529e-01,1.364866783455316757e+01,2.120966710254270583e+04,7.989845653564522365e-01
3.895171189090690000e+14,7.881398418657006300e-01,1.364867792116628564e+01,1.871888104556844337e+04,8.268110538468397275e-01
3.956451032395436875e+14,8.077644924106593960e-01,1.364895439412612177e+01,1.654333279114442121e+04,8.548426721590717259e-01
4.017883989427333125e+14,8.273891429556181620e-01,1.364942274716804960e+01,1.465939494220512279e+04,8.830723805323648090e-01
4.079530282151651875e+14,8.470137935005769281e-01,1.365001384439809762e+01,1.301678343991328802e+04,9.114943407442689383e-01
4.141423973367112500e+14,8.666384440455358051e-01,1.365066957894854482e+01,1.158330287222649167e+04,9.401009044725422426e-01
4.203584377609510625e+14,8.862630945904945712e-01,1.365133327122244289e+01,1.032458520964178388e+04,9.688856965279263322e-01
4.266002478060736250e+14,9.058877451354534482e-01,1.365196008903268776e+01,9.219579942124368245e+03,9.978422388000461885e-01
4.328708668952891250e+14,9.255123956804122143e-01,1.365250384541064399e+01,8.247425763626677508e+03,1.026964253738241739e+00
4.391765377035563125e+14,9.451370462253709803e-01,1.365292612597130173e+01,7.388773830314314182e+03,1.056245368377081828e+00
4.455203249957950000e+14,9.647616967703298574e-01,1.365319039194474371e+01,6.631117993608112556e+03,1.085679045802843579e+00
4.519035178573710000e+14,9.843863473152886234e-01,1.365326509394407495e+01,5.958494266373303617e+03,1.115259013788263198e+00
4.583293842814976250e+14,1.004010997860247389e+00,1.365311921842004317e+01,5.361876433105448996e+03,1.144978736361894178e+00
4.648005284099130000e+14,1.023635648405206267e+00,1.365272504900837980e+01,4.831253911763054020e+03,1.174832050641963610e+00
4.713192221136395000e+14,1.043260298950165144e+00,1.365205622550171505e+01,4.359235779718657795e+03,1.204812309993566588e+00
4.778849433476322500e+14,1.062884949495123799e+00,1.365108939563584478e+01,3.937656918586927077e+03,1.234913413642085622e+00
4.845051907134243125e+14,1.082509600040082676e+00,1.364980285905437363e+01,3.560947417934903115e+03,1.265128823485324849e+00
4.911831217067673125e+14,1.102134250585041553e+00,1.364817485043119660e+01,3.223379750290455377e+03,1.295452180582612911e+00
4.979208482278134375e+14,1.121758901130000208e+00,1.364618662531738558e+01,2.921241800054167925e+03,1.325876761328291797e+00
5.047216604845718125e+14,1.141383551674959085e+00,1.364381861562943854e+01,2.649601060858583878e+03,1.356396191914307270e+00
5.115898279302014375e+14,1.161008202219917962e+00,1.364105238937969844e+01,2.404502005773322708e+03,1.387003687840651533e+00
5.185281738236111875e+14,1.180632852764876617e+00,1.363786997000556589e+01,2.185796346577499207e+03,1.417692626803039202e+00
5.255388462723895625e+14,1.200257503309835494e+00,1.363425606325887074e+01,1.988082080447677072e+03,1.448455342390712053e+00
5.326260934343725625e+14,1.219882153854794371e+00,1.363019254619566567e+01,1.809436379246127217e+03,1.479285690759612582e+00
5.397935163259981250e+14,1.239506804399753026e+00,1.362566351822681376e+01,1.647968613276443193e+03,1.510176340527055849e+00
5.470428633553778750e+14,1.259131454944711903e+00,1.362065388733081051e+01,1.502170143495837010e+03,1.541119450780415567e+00
5.543816200027215625e+14,1.278756105489670780e+00,1.361514744797624132e+01,1.369974220517478898e+03,1.572108749937243921e+00
5.618144707815318125e+14,1.298380756034629435e+00,1.360912803956368400e+01,1.250519472850091688e+03,1.603135496065541066e+00
5.693443585549476250e+14,1.318005406579588534e+00,1.360258084534348377e+01,1.141760189334697088e+03,1.634192188132918222e+00
5.769766832019813750e+14,1.337630057124547189e+00,1.359548738349156949e+01,1.043050497840092248e+03,1.665271087868583244e+00
5.847169516090027500e+14,1.357254707669505844e+00,1.358783317968422288e+01,9.534684428568084513e+02,1.696363758317600112e+00
5.925695350524050000e+14,1.376879358214464943e+00,1.357959989555754632e+01,8.719506945082164293e+02,1.727461223399399115e+00
6.005398743796555000e+14,1.396504008759423598e+00,1.357077074539868988e+01,7.977329666547851730e+02,1.758554951546879686e+00
6.086341529862452500e+14,1.416128659304382253e+00,1.356132723123809036e+01,7.300414777567341389e+02,1.789635840016064128e+00
6.168575970139253750e+14,1.435753309849341353e+00,1.355125112995403391e+01,6.683866109410653280e+02,1.820693790609876128e+00
6.252158185328735000e+14,1.455377960394300008e+00,1.354052273321867617e+01,6.120801432336382959e+02,1.851719088560418669e+00
6.337169799270667500e+14,1.475002610939258663e+00,1.352912164805066908e+01,5.606407538639018640e+02,1.882701790079172044e+00
6.423682816509250000e+14,1.494627261484217762e+00,1.351702673973205471e+01,5.137484332633601980e+02,1.913630879239430982e+00
6.511767828247070000e+14,1.514251912029176417e+00,1.350421558619522777e+01,4.707573181674509328e+02,1.944494614195455995e+00
6.601526094320148750e+14,1.533876562574135072e+00,1.349066445713697071e+01,4.314143586069765206e+02,1.975282285711241759e+00
6.693051532774173750e+14,1.553501213119094171e+00,1.347634782571826051e+01,3.955432477177619148e+02,2.005980460086961514e+00
6.786429407456675000e+14,1.573125863664052826e+00,1.346123872557706846e+01,3.625710818681102978e+02,2.036575665633311161e+00
6.881765678617535000e+14,1.592750514209011481e+00,1.344530839175690495e+01,3.323351891762394530e+02,2.067054941239265808e+00
6.979180892711726250e+14,1.612375164753970580e+00,1.342852560417625973e+01,3.046424303985534721e+02,2.097402991154263319e+00
7.078795205672093750e+14,1.631999815298929235e+00,1.341085747944752882e+01,2.792388681444070926e+02,2.127604316696179776e+00
7.180727933529707500e+14,1.651624465843887890e+00,1.339226808224364795e+01,2.559453974031837902e+02,2.157641751009876430e+00
7.285138065124701250e+14,1.671249116388846989e+00,1.337271820392124155e+01,2.345221448947032741e+02,2.187497985099018827e+00
7.392183057537453750e+14,1.690873766933805644e+00,1.335216617085112389e+01,2.148419366898939984e+02,2.217153599244650053e+00
7.502031709120161250e+14,1.710498417478764743e+00,1.333056606841109648e+01,1.967718939610144560e+02,2.246587960207862888e+00
7.614854728261846250e+14,1.730123068023723398e+00,1.330786747378344081e+01,1.801366277057531420e+02,2.275778532196782944e+00
7.730860736664536250e+14,1.749747718568682053e+00,1.328401575530324585e+01,1.648615325748956479e+02,2.304702053461929356e+00
7.850284134957003750e+14,1.769372369113641152e+00,1.325895079036586388e+01,1.507939853740863327e+02,2.333331707170644087e+00
7.973383925138492500e+14,1.788997019658599807e+00,1.323260607810067846e+01,1.378708628373905469e+02,2.361639332253263834e+00
8.100453704406381250e+14,1.808621670203558462e+00,1.320490772118852796e+01,1.259713553494794951e+02,2.389593682309881562e+00
8.231805832514775000e+14,1.828246320748517562e+00,1.317577340222984361e+01,1.150087914276935095e+02,2.417160383808692359e+00
8.367815463838828750e+14,1.847870971293476217e+00,1.314511017539772197e+01,1.049289928793033084e+02,2.444300525623603004e+00
8.508886245521587500e+14,1.867495621838434872e+00,1.311281442125210894e+01,9.560666939150004850e+01,2.470972514236942974e+00
8.655486936268601250e+14,1.887120272383393971e+00,1.307876770704903713e+01,8.704312548419673590e+01,2.497128043099608785e+00
8.808155740931243750e+14,1.906744922928352626e+00,1.304283512970557268e+01,7.915886955998804808e+01,2.522713019852827809e+00
