rhoc,M,R,Lambda,I
3.570173506117021250e+14,2.971162690605227419e-01,1.352190064812842429e+01,8.151294886762991082e+05,1.653655283193646852e-01
3.671484261504690625e+14,3.148195123542990581e-01,1.330183775840320237e+01,6.248713480594559805e+05,1.785934611250456494e-01
3.769907346381265000e+14,3.325227556480753743e-01,1.311866385628446885e+01,4.859929720817730995e+05,1.921515613687728719e-01
3.865824090561095000e+14,3.502259989418516906e-01,1.296466807782835495e+01,3.829167266987312469e+05,2.060263636782362906e-01
3.959541091683927500e+14,3.679292422356280623e-01,1.283408224907572937e+01,3.052032463256519986e+05,2.202058625900938371e-01
4.051414217290360625e+14,3.856324855294043785e-01,1.272252487318176328e+01,2.457725223935676913e+05,2.346790089941134805e-01
4.141747152534438125e+14,4.033357288231806947e-01,1.262659968836563529e+01,1.997479293126664707e+05,2.494355147061826095e-01
4.230637703608708750e+14,4.210389721169570110e-01,1.254365208023004463e+01,1.636849366955250152e+05,2.644661080660285490e-01
4.318069448827059375e+14,4.387422154107333272e-01,1.247155866559402959e+01,1.351820478057178261e+05,2.797618257341539239e-01
4.404226155223530625e+14,4.564454587045096989e-01,1.240862813602890569e+01,1.124038243376428291e+05,2.953151140129957608e-01
4.489270580095872500e+14,4.741487019982860152e-01,1.235348134583170143e+01,9.407476942678783962e+04,3.111184873805800666e-01
4.573337409943618750e+14,4.918519452920623314e-01,1.230498147405700671e+01,7.919222236764029367e+04,3.271653759476995105e-01
4.656554966606595000e+14,5.095551885858387031e-01,1.226219599371057534e+01,6.703306092200725107e+04,3.434491147071706552e-01
4.739031634170410000e+14,5.272584318796149638e-01,1.222433786428825719e+01,5.702512229391972505e+04,3.599639715605954526e-01
4.820717143469037500e+14,5.449616751733913356e-01,1.219075230200771998e+01,4.873924893715037615e+04,3.767036191889534535e-01
4.901821071929721875e+14,5.626649184671677073e-01,1.216088076742775037e+01,4.184289158733672957e+04,3.936627223997198333e-01
4.982467996020635000e+14,5.803681617609439680e-01,1.213424285877059816e+01,3.606758806428000389e+04,4.108357181110564027e-01
5.062725092116222500e+14,5.980714050547202287e-01,1.211043791486027921e+01,3.120516385571919091e+04,4.282173896278647085e-01
5.142392242366745625e+14,6.157746483484966005e-01,1.208911089884782619e+01,2.709838046542123629e+04,4.458026592386618581e-01
5.221767153300588125e+14,6.334778916422729722e-01,1.206995972856362087e+01,2.360972667130077025e+04,4.635867806576968175e-01
5.300918850032467500e+14,6.511811349360492329e-01,1.205272292478678509e+01,2.063234589992059773e+04,4.815651764424229708e-01
