pressurec2,energy_densityc2,baryon_density
1.112594075392044764e-21,9.992259571839925414e+00,9.999999999999998224e+00
2.505235958494912094e-07,1.022551589885348022e+01,1.023343701151287632e+01
2.598515016518251315e-07,1.046421729207022011e+01,1.047232330686008872e+01
2.695267193565087710e-07,1.070849085949645918e+01,1.071678609249509861e+01
2.795621806504622395e-07,1.095846667630980953e+01,1.096695554434050202e+01
2.899712987144151613e-07,1.121427785412456934e+01,1.122296487710704582e+01
3.007679861506496925e-07,1.147606061187278925e+01,1.148495041522955340e+01
3.119666735783096356e-07,1.174395434834121943e+01,1.175305166546003299e+01
3.235823289210270099e-07,1.201810171640024016e+01,1.202741139115409119e+01
3.356304774127541573e-07,1.229864869896688973e+01,1.230817568829278663e+01
3.481272223484264890e-07,1.258574468673982949e+01,1.259549406327775323e+01
3.610892666073080619e-07,1.287954255775028045e+01,1.288951951254372830e+01
3.745339349776692863e-07,1.318019875876854918e+01,1.319040860402814985e+01
3.884791973127553160e-07,1.348787338861242979e+01,1.349832156054395860e+01
4.029436925488716118e-07,1.380273028339865959e+01,1.381342234509718381e+01
4.179467536178168131e-07,1.412493710378621081e+01,1.413587874819765311e+01
4.335084332868267457e-07,1.445466542425437950e+01,1.446586247720631846e+01
4.496495309607060877e-07,1.479209082446675971e+01,1.480354924776985470e+01
4.663916204818264695e-07,1.513739298276620993e+01,1.514911887738805873e+01
4.837570789652954494e-07,1.549075577185404029e+01,1.550275538116713747e+01
5.017691167076860701e-07,1.585236735670108033e+01,1.586464706980651229e+01
5.204518082094599442e-07,1.622242029474598013e+01,1.623498664987473106e+01
5.398301243523783159e-07,1.660111163843082949e+01,1.661397132642444063e+01
5.599299657750919945e-07,1.698864304013207871e+01,1.700180290800456007e+01
5.807781974913316396e-07,1.738522085953924901e+01,1.739868791412210669e+01
6.024026847971225263e-07,1.779105627354145014e+01,1.780483768521377641e+01
6.248323305149583379e-07,1.820636538867896093e+01,1.822046849518458345e+01
6.480971136246414785e-07,1.863136935621880141e+01,1.864580166657250970e+01
6.722281293325947600e-07,1.906629448991823850e+01,1.908106368840316236e+01
6.972576306329862560e-07,1.951137238653554107e+01,1.952648633679378776e+01
7.232190714164426420e-07,1.996684004915573141e+01,1.998230679837461210e+01
7.501471511837346470e-07,2.043294001339328858e+01,2.044876779658907040e+01
7.780778614244460521e-07,2.090992047654300023e+01,2.092611772094473466e+01
8.070485337223522809e-07,2.139803542974339834e+01,2.141461075927897184e+01
8.370978896520781139e-07,2.189754479322770919e+01,2.191450703311473447e+01
8.682660925334474175e-07,2.240871455472974105e+01,2.242607273617340979e+01
9.005948011129810576e-07,2.293181691112303966e+01,2.294958027612368312e+01
9.341272252440018757e-07,2.346713041336396088e+01,2.348530841963683358e+01
9.689081836400692198e-07,2.401494011482085966e+01,2.403354244083067925e+01
1.004984163778621647e-06,2.457553772306307849e+01,2.459457427317604328e+01
1.042403384035220434e-06,2.514922175519613035e+01,2.516870266495221742e+01
1.081215858131099153e-06,2.573629769682003143e+01,2.575623333832830042e+01
1.121473461980513221e-06,2.633707816470126062e+01,2.635747915216107629e+01
1.163230003026875752e-06,2.695188307323918053e+01,2.697276026859022835e+01
1.206541292160715692e-06,2.758103980482130879e+01,2.760240432352553697e+01
1.251465218315226739e-06,2.822488338415255171e+01,2.824674660111093161e+01
1.298061825839393366e-06,2.888375665665574843e+01,2.890613021226321422e+01
1.346393394752022854e-06,2.955801047103686940e+01,2.958090627737850653e+01
1.396524523983763345e-06,3.024800386610990088e+01,3.027143411330165534e+01
1.448522217718768441e-06,3.095410426198597165e+01,3.097808142466346837e+01
1.502455974950905844e-06,3.167668765572220124e+01,3.170122449968085832e+01
1.558397882374747624e-06,3.241613882154121029e+01,3.244124841053129416e+01
1.616422710734953020e-06,3.317285151572085766e+01,3.319854721840120249e+01
1.676608014763369199e-06,3.394722868627061274e+01,3.397352418332447144e+01
1.739034236836863988e-06,3.473968268749872124e+01,3.476659197891581243e+01
1.803784814495020416e-06,3.555063549959209013e+01,3.557817291212038668e+01
1.870946291960792490e-06,3.638051895331795293e+01,3.640869914808950369e+01
1.940608435813807125e-06,3.722977495997501762e+01,3.725861294030966064e+01
2.012864354970265128e-06,3.809885574670840214e+01,3.812836686609949055e+01
2.087810625130478699e-06,3.898822409732176908e+01,3.901842406760837889e+01
2.165547417859690809e-06,3.989835359870684073e+01,3.992925849843656749e+01
2.246178634475408658e-06,4.082972889302970998e+01,4.086135517601656630e+01
2.329812044919466313e-06,4.178284593579966355e+01,4.181521043988185227e+01
2.416559431801198918e-06,4.275821225996693187e+01,4.279133221596867287e+01
2.506536739803458211e-06,4.375634724618071658e+01,4.379024028708338534e+01
2.599864230651983633e-06,4.477778239936087346e+01,4.481246656968816211e+01
2.696666643854435345e-06,4.582306163172113855e+01,4.585855539714302864e+01
2.797073363424604820e-06,4.689274155240244824e+01,4.692906380956338808e+01
2.901218590814383376e-06,4.798739176386718697e+01,4.802456185044356118e+01
3.009241524284310620e-06,4.910759516520926837e+01,4.914563287020150995e+01
3.121286544953215703e-06,5.025394826254955660e+01,5.029287383681441526e+01
3.237503409774633128e-06,5.142706148667153343e+01,5.146689565370004971e+01
3.358047451698991647e-06,5.262755951807746868e+01,5.266832348502455119e+01
3.483079787287988873e-06,5.385608161962682772e+01,5.389779708859793317e+01
3.612767532059802555e-06,5.511328197694555087e+01,5.515597115654691862e+01
3.747284023851776607e-06,5.639983004677578293e+01,5.644351566393400788e+01
3.886809054500350638e-06,5.771641091346342733e+01,5.776111622552090807e+01
4.031529110146604671e-06,5.906372565376135242e+01,5.910947446085386758e+01
4.181637620489954777e-06,6.044249171015466970e+01,6.048930836787771881e+01
4.337335217321750673e-06,6.185344327289440258e+01,6.190135270526511135e+01
4.498830002685769109e-06,6.329733167095584179e+01,6.334635938367729580e+01
4.666337827022513930e-06,6.477492577211654634e+01,6.482509786615146652e+01
4.840082577670662315e-06,6.628701239238064602e+01,6.633835557784190939e+01
5.020296478109619785e-06,6.783439671495335688e+01,6.788693832531842531e+01
5.207220398344835132e-06,6.941790271900350717e+01,6.947167072566058721e+01
5.401104176849011356e-06,7.103837361842710152e+01,7.109339664556055993e+01
5.602206954491257025e-06,7.269667231086134507e+01,7.275297965068450878e+01
5.810797520898762755e-06,7.439368183717257921e+01,7.445130346551579237e+01
6.027154673715391195e-06,7.613030585167565789e+01,7.618927244393812259e+01
6.251567591236768855e-06,7.790746910332990183e+01,7.796781205080344535e+01
6.484336218919305815e-06,7.972611792816270793e+01,7.978786935473661401e+01
6.725771670281333506e-06,8.158722075319622036e+01,8.165041353245159428e+01
6.976196642730164113e-06,8.349176861212872325e+01,8.355643638483162761e+01
7.235945848873046089e-06,8.544077567306295862e+01,8.550695286506571335e+01
7.505366463886200770e-06,8.743527977854434141e+01,8.750300161910446661e+01
7.784818589542293337e-06,8.947634299821524451e+01,8.954564553874151045e+01
8.074675735514021653e-06,9.156505219436037635e+01,9.163597232759637734e+01
8.375325318599763521e-06,9.370251960066433128e+01,9.377509508031948826e+01
8.687169180535767851e-06,9.588988341446901131e+01,9.596415287530736293e+01
9.010624125089912464e-06,9.812830840286707712e+01,9.820431138126507165e+01
9.346122475151802359e-06,1.004189865229333947e+02,1.004967634779166161e+02
9.694112650567033508e-06,1.027631375564454999e+02,1.028427298912167629e+02
1.005505976748462984e-05,1.051620097594101964e+02,1.052434598433791848e+02
1.042944626002209245e-05,1.076168805267633957e+02,1.077002317180906203e+02
1.081777252507553265e-05,1.101290570725750939e+02,1.102143537412413963e+02
1.122055759114027012e-05,1.126998771261446990e+02,1.127871646775592609e+02
1.163833981203215000e-05,1.153307096443339930e+02,1.154200345434924913e+02
1.207167758644060513e-05,1.180229555405408064e+02,1.181143653367470847e+02
1.252115010427141723e-05,1.207780484306770035e+02,1.208715917828421453e+02
1.298735812077974303e-05,1.235974553965699982e+02,1.236931820991004116e+02
1.347092475952697708e-05,1.264826777671828069e+02,1.265806387764727248e+02
1.397249634523392533e-05,1.294352519180679906e+02,1.295354993796098313e+02
1.449274326764414113e-05,1.324567500894835064e+02,1.325593373656103040e+02
1.503236087755267007e-05,1.355487812236096090e+02,1.356537629218848338e+02
1.559207041619743535e-05,1.387129918213117037e+02,1.388204238235810237e+02
1.617261997925346922e-05,1.419510668188925138e+02,1.420610063110128181e+02
1.677478551672283703e-05,1.452647304853259129e+02,1.453772359875883637e+02
1.739937187005120530e-05,1.486557473404199072e+02,1.487708787386817448e+02
1.804721384786304073e-05,1.521259230944289129e+02,1.522437416719720602e+02
1.871917734174719162e-05,1.556771056095834069e+02,1.557976740797153354e+02
1.941616048359047221e-05,1.593111858840825903e+02,1.594345684234979785e+02
2.013909484599974860e-05,1.630300990590390882e+02,1.631563613419594674e+02
2.088894668742339331e-05,1.668358254489484125e+02,1.669650346820577624e+02
2.166671824362970103e-05,1.707303915961940106e+02,1.708626165543887794e+02
2.247344906727544078e-05,1.747158713501877116e+02,1.748511824131615811e+02
2.331021741734748087e-05,1.787943869716820018e+02,1.789328561613625652e+02
2.417814170034252475e-05,1.829681102628809128e+02,1.831098112817397521e+02
2.507838196510293145e-05,1.872392637239113924e+02,1.873842719941681594e+02
2.601214145331514355e-05,1.916101217363122089e+02,1.917585144400516981e+02
2.698066820773424400e-05,1.960830117741280958e+02,1.962348678943536981e+02
2.798525674029326456e-05,2.006603156432975936e+02,2.008157160059418800e+02
2.902724976231748529e-05,2.053444707499504887e+02,2.055034980668650917e+02
3.010803997916585567e-05,2.101379713983342867e+02,2.103007103112822449e+02
3.122907195168860743e-05,2.150433701190183911e+02,2.152099072446924310e+02
3.239184402699709910e-05,2.200632790281173925e+02,2.202337030042072001e+02
3.359791034112321359e-05,2.252003712182435891e+02,2.253747727505790692e+02
3.484888289624151787e-05,2.304573821819155910e+02,2.306358540927062961e+02
