pressurec2,energy_densityc2,baryon_density
1.112594075392044764e-21,9.987488855947928457e+00,9.999999999999998224e+00
1.467461309509502887e-07,1.022013088312914952e+01,1.023293345021969891e+01
1.521981581595931716e-07,1.045819192144081988e+01,1.047129269966252352e+01
1.578527433538618027e-07,1.070179819778351060e+01,1.071520413334179977e+01
1.637174121267090302e-07,1.095107887930470980e+01,1.096479708020056698e+01
1.697999696678123348e-07,1.120616614188702975e+01,1.122020388168557226e+01
1.761085111513700074e-07,1.146719524023166947e+01,1.148155996191852068e+01
1.826514325098336747e-07,1.173430457957450024e+01,1.174900389950192547e+01
1.894374416079139473e-07,1.200763578907245055e+01,1.202267750099749399e+01
1.964755698317325049e-07,1.228733379689948002e+01,1.230272587611610646e+01
2.037751841085428144e-07,1.257354690709174960e+01,1.258929751465919722e+01
2.113459993730172048e-07,1.286642687818270936e+01,1.288254436525238411e+01
2.191980914966908436e-07,1.316612900366991923e+01,1.318262191591304244e+01
2.273419106977709615e-07,1.347281219435619981e+01,1.348968927649459104e+01
2.357882954491577804e-07,1.378663906260877070e+01,1.380390926305114618e+01
2.445484869031897658e-07,1.410777600858117964e+01,1.412544848416746568e+01
2.536341438522937854e-07,1.443639330844314017e+01,1.445447742929924217e+01
2.630573582454950025e-07,1.477266520466652011e+01,1.479117055917218693e+01
2.728306712813770269e-07,1.511676999841336055e+01,1.513570639828579267e+01
2.829670900989579369e-07,1.546889014407651963e+01,1.548826762957230230e+01
2.934801050886729827e-07,1.582921234602225979e+01,1.584904119126054134e+01
3.043837078465109933e-07,1.619792765758640130e+01,1.621821837599598481e+01
3.156924097951949479e-07,1.657523158237635030e+01,1.659599493226971489e+01
3.274212614971913709e-07,1.696132417793285896e+01,1.698257116820993318e+01
3.395858726852545179e-07,1.735641016180633045e+01,1.737815205779120831e+01
3.522024330371563991e-07,1.776069902010409152e+01,1.778294734951760603e+01
3.652877337222604340e-07,1.817440511856602114e+01,1.819717167763745280e+01
3.788591897486067281e-07,1.859774781622753892e+01,1.862104467594868495e+01
3.929348631402565564e-07,1.903095158173017865e+01,1.905479109425505868e+01
4.075334869757367877e-07,1.947424611234140102e+01,1.949864091753511275e+01
4.226744903195833547e-07,1.992786645574683035e+01,1.995282948788675270e+01
4.383780240801560686e-07,2.039205313467936875e+01,2.041759762931263822e+01
4.546649878281476142e-07,2.086705227445142086e+01,2.089319177541198513e+01
4.715570576114724892e-07,2.135311573345769887e+01,2.137986410004683435e+01
4.890767148035568909e-07,2.185050123671791056e+01,2.187787265105206203e+01
5.072472760234226426e-07,2.235947251253011103e+01,2.238748148705974117e+01
5.260929241673871440e-07,2.288029943230712959e+01,2.290896081751078839e+01
5.456387405936740004e-07,2.341325815367031993e+01,2.344258714592785608e+01
5.659107385027756164e-07,2.395863126687639166e+01,2.398864341652555154e+01
5.869358975579852097e-07,2.451670794465497139e+01,2.454741916423569492e+01
6.087421997921819189e-07,2.508778409553654143e+01,2.511921066822715787e+01
6.313586668486488629e-07,2.567216252075172989e+01,2.570432110900171807e+01
6.548153986054942152e-07,2.627015307478538020e+01,2.630306072914920890e+01
6.791436132350769568e-07,2.688207282967048073e+01,2.691574699784710134e+01
7.043756887517564448e-07,2.750824624310920896e+01,2.754270477919220994e+01
7.305452061032210372e-07,2.814900533050913012e+01,2.818426650445220005e+01
7.576869938628571124e-07,2.880468984102865093e+01,2.884077234833156567e+01
7.858371745824832962e-07,2.947564743772113971e+01,2.951257040934133613e+01
8.150332128672603236e-07,3.016223388187630050e+01,3.020001689437130565e+01
8.453139652367058191e-07,3.086481322165520069e+01,3.090347630756122399e+01
8.767197318381901436e-07,3.158375798511920962e+01,3.162332164357151854e+01
9.092923100817260533e-07,3.231944937775538307e+01,3.235993458535596545e+01
9.430750502674445537e-07,3.307227748460262973e+01,3.311370570654104739e+01
9.781129132797855113e-07,3.384264147708633885e+01,3.388503467851947448e+01
1.014452530425186558e-06,3.463094982467067240e+01,3.467433048236765103e+01
1.052142265492910238e-06,3.543762051144106806e+01,3.548201162569925771e+01
1.091232279121603140e-06,3.626308125773162061e+01,3.630850636457020642e+01
1.131774595557251721e-06,3.710776974691496122e+01,3.715425293055255906e+01
1.173823171891379966e-06,3.797213385747470937e+01,3.801969976309744936e+01
1.217433969871644616e-06,3.885663190048384763e+01,3.890530574731099023e+01
1.262665030380388296e-06,3.976173286261464312e+01,3.981154045726834312e+01
1.309576550680277978e-06,4.068791665480907227e+01,4.073888440499561625e+01
1.358230964529841194e-06,4.163567436674171063e+01,4.168782929525131919e+01
1.408693025275505048e-06,4.260550852720987791e+01,4.265887828624261147e+01
1.461029892030750134e-06,4.359793337058901841e+01,4.365254625641428277e+01
1.515311219057047731e-06,4.461347510949496353e+01,4.466936007745244552e+01
1.571609248465552602e-06,4.565267221379715323e+01,4.570985889364716570e+01
1.629998906362926843e-06,4.671607569613124866e+01,4.677459440776245003e+01
1.690557902569233595e-06,4.780424940406207668e+01,4.786413117356517688e+01
1.753366834040651427e-06,4.891777031905223794e+01,4.897904689516784771e+01
1.818509292134603139e-06,5.005722886239445302e+01,5.011993273334424259e+01
1.886071973860105323e-06,5.122322920827033244e+01,5.128739361897996929e+01
1.956144797261387567e-06,5.241638960410160308e+01,5.248204857382481947e+01
2.028821021088230634e-06,5.363734269836147206e+01,5.370453103871472678e+01
2.104197368912604193e-06,5.488673587602566784e+01,5.495548920944261795e+01
2.182374157856368327e-06,5.616523160183344743e+01,5.623558638044929125e+01
2.263455432101677961e-06,5.747350777154618129e+01,5.754550129652189838e+01
2.347549101361646324e-06,5.881225807138753225e+01,5.888592851268400352e+01
2.434767084495573560e-06,6.018219234585629351e+01,6.025757876246903066e+01
2.525225458459894212e-06,6.158403697410675903e+01,6.166117933477174518e+01
2.619044612793051835e-06,6.301853525509618947e+01,6.309747445947814981e+01
2.716349409839935785e-06,6.448644780170380386e+01,6.456722570207772094e+01
2.817269350929072004e-06,6.598855294402999050e+01,6.607121236746762349e+01
2.921938748723792495e-06,6.752564714208976682e+01,6.761023191316292014e+01
3.030496905976708749e-06,6.909854540811927848e+01,6.918510037213161468e+01
3.143088300925418160e-06,7.070808173871921554e+01,7.079665278547930996e+01
3.259862779576173084e-06,7.235510955706418201e+01,7.244574364521209020e+01
3.380975755131435523e-06,7.404050216541288876e+01,7.413324734731320120e+01
3.506588414826703865e-06,7.576515320815852306e+01,7.586005865537320858e+01
3.636867934451908811e-06,7.752997714566518539e+01,7.762709317501969508e+01
3.771987700842892555e-06,7.933590973914186861e+01,7.943528783939805749e+01
3.912127542639033369e-06,8.118390854681027236e+01,8.128560140596064798e+01
4.057473969614192510e-06,8.307495343163041923e+01,8.317901496482802770e+01
4.208220420899447942e-06,8.501004708085272910e+01,8.511653245899137232e+01
4.364567522428003449e-06,8.699021553767236981e+01,8.709918121663235979e+01
4.526723353944886970e-06,8.901650874526734469e+01,8.912801249584248353e+01
4.694903725936815474e-06,9.109000110350932289e+01,9.120410204203059834e+01
4.869332466850758138e-06,9.321179203864197405e+01,9.332855065831458319e+01
5.050241720983478186e-06,9.538300658622912920e+01,9.550248478919908734e+01
5.237872257438502093e-06,9.760479598768166909e+01,9.772705711784938387e+01
5.432473790561687959e-06,9.987833830067951624e+01,1.000034471772772093e+02
5.634305312281951215e-06,1.022048390238133067e+02,1.023328619757646152e+02
5.843635436799036304e-06,1.045855317357723067e+02,1.047165366368517283e+02
6.060742758078039414e-06,1.070216787494281050e+02,1.071557350542396847e+02
6.285916220625217254e-06,1.095145717811476942e+02,1.096517505619409150e+02
6.519455504039468728e-06,1.120655326356997961e+02,1.122059066200431801e+02
6.761671421850897512e-06,1.146759139071147047e+02,1.148195575164467925e+02
7.012886335177346146e-06,1.173470996958697015e+02,1.174940890849473192e+02
7.273434581749428999e-06,1.200805063427795005e+02,1.202309194400450991e+02
7.543662920875024466e-06,1.228775831799820963e+02,1.230314997288707701e+02
7.823930994935450640e-06,1.257398132994171931e+02,1.258973149006257444e+02
8.114611808027488596e-06,1.286687143392053940e+02,1.288298844939456274e+02
8.416092222388321128e-06,1.316658392883443014e+02,1.318307634426036543e+02
8.728773473264000676e-06,1.347327773101494870e+02,1.349015428999819619e+02
9.053071702906751133e-06,1.378711545848753985e+02,1.380438510827473522e+02
9.389418514411726068e-06,1.410826351719638865e+02,1.412593541341792047e+02
9.738261546130355466e-06,1.443689218923778981e+02,1.445497570076072975e+02
1.010006506742476383e-05,1.477317572314871938e+02,1.479168043704273998e+02
1.047531059655608751e-05,1.511729242629855889e+02,1.513622815291750214e+02
1.086449754152910103e-05,1.546942475943286865e+02,1.548880153761466829e+02
1.126814386474596713e-05,1.582975943341955087e+02,1.584958753580714585e+02
1.168678677235375182e-05,1.619848750824833132e+02,1.621877744673461450e+02
1.212098342920310368e-05,1.657580449433654906e+02,1.659656702563595161e+02
1.257131170036968320e-05,1.696191045619439990e+02,1.698315658754433457e+02
1.303837092022506929e-05,1.735701011850516124e+02,1.737875111350015231e+02
1.352278269008091286e-05,1.776131297467620129e+02,1.778356035923786465e+02
1.402519170546770012e-05,1.817503339791855979e+02,1.819779896640460493e+02
1.454626661414928213e-05,1.859839075491400138e+02,1.862168657636952958e+02
1.508670090601505221e-05,1.903160952212967061e+02,1.905544794668389557e+02
1.564721383603394028e-05,1.947491940484216002e+02,1.949931307025418619e+02
1.622855138149911804e-05,1.992855545893415865e+02,1.995351729729117380e+02
1.683148723483597893e-05,2.039275821552749051e+02,2.041830146009882299e+02
