pressurec2,energy_densityc2,baryon_density
1.112594075392044764e-21,9.992284243489530482e+00,9.999999999999998224e+00
1.414156144260243032e-07,1.022503797116534940e+01,1.023293345021969891e+01
1.466695981091467068e-07,1.046321331184524084e+01,1.047129269966252352e+01
1.521187819097001109e-07,1.070693655303596081e+01,1.071520413334179977e+01
1.577704180553543411e-07,1.095633692390287983e+01,1.096479708020056698e+01
1.636320282142230908e-07,1.121154666379107923e+01,1.122020388168557226e+01
1.697114135053253437e-07,1.147270109234250945e+01,1.148155996191852068e+01
1.760166648809652518e-07,1.173993868124643924e+01,1.174900389950192547e+01
1.825561738948441745e-07,1.201340112766112078e+01,1.202267750099749399e+01
1.893386438702408304e-07,1.229323342934582008e+01,1.230272587611610646e+01
1.963731014831176062e-07,1.257958396154286085e+01,1.258929751465919722e+01
2.036689087755729921e-07,1.287260455565047046e+01,1.288254436525238411e+01
2.112357756156274412e-07,1.317245057972825073e+01,1.318262191591304244e+01
2.190837726199243013e-07,1.347928102087784019e+01,1.348968927649459104e+01
2.272233445565446917e-07,1.379325856954256047e+01,1.380390926305114618e+01
2.356653242457782534e-07,1.411454970577067058e+01,1.412544848416746568e+01
2.444209469773316067e-07,1.444332478748760984e+01,1.445447742929924217e+01
2.535018654632037548e-07,1.477975814082530981e+01,1.479117055917218693e+01
2.629201653460748362e-07,1.512402815255464006e+01,1.513570639828579267e+01
2.726883812838895430e-07,1.547631736467132946e+01,1.548826762957230230e+01
2.828195136320228659e-07,1.583681257118509933e+01,1.584904119126054134e+01
2.933270457452364428e-07,1.620570491716329897e+01,1.621821837599598481e+01
3.042249619224502233e-07,1.658319000008160060e+01,1.659599493226971489e+01
3.155277660182117540e-07,1.696946797353550096e+01,1.698257116820993318e+01
3.272505007456345630e-07,1.736474365336757941e+01,1.737815205779120831e+01
3.394087676964926077e-07,1.776922662626688876e+01,1.778294734951760603e+01
3.520187481051192334e-07,1.818313136089788173e+01,1.819717167763745280e+01
3.650972243837410724e-07,1.860667732161800103e+01,1.862104467594868495e+01
3.786616024579100529e-07,1.904008908484410156e+01,1.905479109425505868e+01
3.927299349317584987e-07,1.948359645812939078e+01,1.949864091753511275e+01
4.073209451139092130e-07,1.993743460201415019e+01,1.995282948788675270e+01
4.224540519360132871e-07,2.040184415471468071e+01,2.041759762931263822e+01
4.381493957970820561e-07,2.087707135971676919e+01,2.089319177541198513e+01
4.544278653680081922e-07,2.136336819634113837e+01,2.137986410004683435e+01
4.713111253919474574e-07,2.186099251335026850e+01,2.187787265105206203e+01
4.888216455175641736e-07,2.237020816566732861e+01,2.238748148705974117e+01
5.069827302035119551e-07,2.289128515427979949e+01,2.290896081751078839e+01
5.258185497339467003e-07,2.342449976940186929e+01,2.344258714592785608e+01
5.453541723863551161e-07,2.397013473697158048e+01,2.398864341652555154e+01
5.656155977945057553e-07,2.452847936856037947e+01,2.454741916423569492e+01
5.866297915509273703e-07,2.509982971477460012e+01,2.511921066822715787e+01
6.084247210949658044e-07,2.568448872223013169e+01,2.570432110900171807e+01
6.310293929341812800e-07,2.628276639418356098e+01,2.630306072914920890e+01
6.544738912486242767e-07,2.689497995490500060e+01,2.691574699784710134e+01
6.787894179293772634e-07,2.752145401787981882e+01,2.754270477919220994e+01
7.040083341045971412e-07,2.816252075792747078e+01,2.818426650445220005e+01
7.301642032084483179e-07,2.881852008733142867e+01,2.884077234833156567e+01
7.572918356500846178e-07,2.948979983606986011e+01,2.951257040934133613e+01
7.854273351422482583e-07,3.017671593624547910e+01,3.020001689437130565e+01
8.146081467510993833e-07,3.087963261081107902e+01,3.090347630756122399e+01
8.448731067312278849e-07,3.159892256669128940e+01,3.162332164357151854e+01
8.762624942121763340e-07,3.233496719240262962e+01,3.235993458535596545e+01
9.088180848052595513e-07,3.308815676027686692e+01,3.311370570654104739e+01
9.425832062020290543e-07,3.385889063339489269e+01,3.388503467851947448e+01
9.776027958383722934e-07,3.464757747734056181e+01,3.467433048236765103e+01
1.013923460700996547e-06,3.545463547688731154e+01,3.548201162569925771e+01
1.051593539355887863e-06,3.628049255773188975e+01,3.630850636457020642e+01
1.090663166281301545e-06,3.712558661339306099e+01,3.715425293055255906e+01
1.131184338590899721e-06,3.799036573739560652e+01,3.801969976309744936e+01
1.173210985235844447e-06,3.887528846086262746e+01,3.890530574731099023e+01
1.216799038777934588e-06,3.978082399564213745e+01,3.981154045726834312e+01
1.262006509829320375e-06,4.070745248309697217e+01,4.073888440499561625e+01
1.308893564257854221e-06,4.165566524868970788e+01,4.168782929525131919e+01
1.357522603260843017e-06,4.262596506249794714e+01,4.265887828624261147e+01
1.407958346413756746e-06,4.361886640579759700e+01,4.365254625641428277e+01
1.460267917804429308e-06,4.463489574385599923e+01,4.466936007745244552e+01
1.514520935367388777e-06,4.567459180507916017e+01,4.570985889364716570e+01
1.570789603537198183e-06,4.673850586666142704e+01,4.677459440776245003e+01
1.629148809344134790e-06,4.782720204688870780e+01,4.786413117356517688e+01
1.689676222080089328e-06,4.894125760425058758e+01,4.897904689516784771e+01
1.752452396667321416e-06,5.008126324351962211e+01,5.011993273334424259e+01
1.817560880867666611e-06,5.124782342896037335e+01,5.128739361897996929e+01
1.885088326474876068e-06,5.244155670483443288e+01,5.248204857382481947e+01
1.955124604637955171e-06,5.366309602336920648e+01,5.370453103871472678e+01
2.027762925469297721e-06,5.491308908036999270e+01,5.495548920944261795e+01
2.103099962096392244e-06,5.619219865864573649e+01,5.623558638044929125e+01
2.181235979322482530e-06,5.750110297943641058e+01,5.754550129652189838e+01
2.262274967067325844e-06,5.884049606202560767e+01,5.888592851268400352e+01
2.346324778765634964e-06,6.021108809173009035e+01,6.025757876246903066e+01
2.433497274907418916e-06,6.161360579646073887e+01,6.166117933477174518e+01
2.523908471911232127e-06,6.304879283205509211e+01,6.309747445947814981e+01
2.617678696528493243e-06,6.451741017658542887e+01,6.456722570207772094e+01
2.714932745984343477e-06,6.602023653385167279e+01,6.607121236746762349e+01
2.815800054068193973e-06,6.755806874627296565e+01,6.761023191316292014e+01
2.920414863394985276e-06,6.913172221739695544e+01,6.918510037213161468e+01
3.028916404066450289e-06,7.074203134425066253e+01,7.079665278547930996e+01
3.141449078970125098e-06,7.238984995976213099e+01,7.244574364521209020e+01
3.258162655962735685e-06,7.407605178548799074e+01,7.413324734731320120e+01
3.379212467193744166e-06,7.580153089488591434e+01,7.586005865537320858e+01
3.504759615834302496e-06,7.756720218737889638e+01,7.762709317501969508e+01
3.634971190486777791e-06,7.937400187346167968e+01,7.943528783939805749e+01
3.770020487560179521e-06,8.122288797110698511e+01,8.128560140596064798e+01
3.910087241907454176e-06,8.311484081373481558e+01,8.317901496482802770e+01
4.055357866031590524e-06,8.505086357001405872e+01,8.511653245899137232e+01
4.206025698178926276e-06,8.703198277577197928e+01,8.709918121663235979e+01
4.362291259649760975e-06,8.905924887829353054e+01,8.912801249584248353e+01
4.524362521668831756e-06,9.113373679329956190e+01,9.120410204203059834e+01
4.692455182170713368e-06,9.325654647489854199e+01,9.332855065831458319e+01
4.866792952868625075e-06,9.542880349881463076e+01,9.550248478919908734e+01
5.047607856988587695e-06,9.765165965920101598e+01,9.772705711784938387e+01
5.235140538065269346e-06,9.992629357935493317e+01,1.000034471772772093e+02
5.429640580210511298e-06,1.022539113366592005e+02,1.023328619757646152e+02
5.631366840280387366e-06,1.046357471020771044e+02,1.047165366368517283e+02
5.840587792383858611e-06,1.070730637945499950e+02,1.071557350542396847e+02
6.057581885190216990e-06,1.095671537506319027e+02,1.096517505619409150e+02
6.282637912511842619e-06,1.121193394097243043e+02,1.122059066200431801e+02
6.516055397655047902e-06,1.147309740152731052e+02,1.148195575164467925e+02
6.758144992050657104e-06,1.174034423322976011e+02,1.174940890849473192e+02
7.009228888694785049e-06,1.201381613816340064e+02,1.202309194400450991e+02
7.269641250950139045e-06,1.229365811912811068e+02,1.230314997288707701e+02
7.539728657278427435e-06,1.258001855652483982e+02,1.258973149006257444e+02
7.819850562495860182e-06,1.287304928703121902e+02,1.288298844939456274e+02
8.110379776165551534e-06,1.317290568410986111e+02,1.318307634426036543e+02
8.411702958763545362e-06,1.347974674039190859e+02,1.349015428999819619e+02
8.724221136278769405e-06,1.379373515197968914e+02,1.380438510827473522e+02
9.048350233931834333e-06,1.411503740471285084e+02,1.412593541341792047e+02
9.384521629722953739e-06,1.444382386244419934e+02,1.445497570076072975e+02
9.733182728545720740e-06,1.478026885737153862e+02,1.479168043704273998e+02
1.009479755763080220e-05,1.512455078247375013e+02,1.513622815291750214e+02
1.046984738411203456e-05,1.547685218610006928e+02,1.548880153761466829e+02
1.085883135553679234e-05,1.583735986876249058e+02,1.584958753580714585e+02
1.126226716417313570e-05,1.620626498218302913e+02,1.621877744673461450e+02
1.168069173599780398e-05,1.658376313064792100e+02,1.659656702563595161e+02
1.211466194528201258e-05,1.697005447472278092e+02,1.698315658754433457e+02
1.256475535572611170e-05,1.736534383738367922e+02,1.737875111350015231e+02
1.303157098912946686e-05,1.776984081262031054e+02,1.778356035923786465e+02
1.351573012261861594e-05,1.818375987656889095e+02,1.819779896640460493e+02
1.401787711549450987e-05,1.860732050123376951e+02,1.862168657636952958e+02
1.453868026679963766e-05,1.904074727085792915e+02,1.905544794668389557e+02
1.507883270474600436e-05,1.948427000100421083e+02,1.949931307025418619e+02
1.563905330918807164e-05,1.993812386041039986e+02,1.995351729729117380e+02
1.622008766836725960e-05,2.040254949568216887e+02,2.041830146009882299e+02
1.682270907120390907e-05,2.087779315889175109e+02,2.089391200077149335e+02
1.744771953645389147e-05,2.136410683814758045e+02,2.138060110186414420e+02
1.809595088010215784e-05,2.186174839120592139e+02,2.187862682010697881e+02
1.876826582241269674e-05,2.237098168219471859e+02,2.238825322323465912e+02
1.946555913610858584e-05,2.289207672152211899e+02,2.290975053000269099e+02
2.018875883720997461e-05,2.342530980904400053e+02,2.344339525346530877e+02
2.093882742011516948e-05,2.397096368056631093e+02,2.398947034759068799e+02
2.171676313856831937e-05,2.452932765775993005e+02,2.454826535729144155e+02
2.252360133421863337e-05,2.510069780156767081e+02,2.512007657194971841e+02
2.336041581453929145e-05,2.568537706918442041e+02,2.570520718251843277e+02
2.422832028193988465e-05,2.628367547469413239e+02,2.630396744228207240e+02
2.512846981597429238e-05,2.689591025344839750e+02,2.691667483136180294e+02
2.606206241061686499e-05,2.752240603027407815e+02,2.754365422505289303e+02
2.703034056865244913e-05,2.816349499159891252e+02,2.818523806608289419e+02
2.803459295530268301e-05,2.881951706158670277e+02,2.884176654088253144e+02
2.907615611328896011e-05,2.949082008237513151e+02,2.951358775996241661e+02
3.015641624161485588e-05,3.017775999851195934e+02,3.020105794249140558e+02
3.127681104043515253e-05,3.088070104568743091e+02,3.090454160517437003e+02
3.243883162446701385e-05,3.160001594386276906e+02,3.162441175552953041e+02
3.364402450748956233e-05,3.233608609489741070e+02,3.236105008966791843e+02
3.489399366057336450e-05,3.308930178477954769e+02,3.311484719467981677e+02
3.619040264677860077e-05,3.386006239056736717e+02,3.388620275573530307e+02
3.753497683516336610e-05,3.464877659215060817e+02,3.467552576800907218e+02
3.892950569704864124e-05,3.545586258894479101e+02,3.548323475354153516e+02
4.037584518759554830e-05,3.628174832163292081e+02,3.630975798315132579e+02
4.187592021586533495e-05,3.712687169907242719e+02,3.715553370351710214e+02
4.343172720664843951e-05,3.799168083048738822e+02,3.802101036954856568e+02
4.504533675747352352e-05,3.887663426306966130e+02,3.890664688217063372e+02
4.671889639432906668e-05,3.978220122511311843e+02,3.981291283164499077e+02
4.845463342977289494e-05,4.070886187481414140e+02,4.074028874656211201e+02
5.025485792722314332e-05,4.165710755486460926e+02,4.168926634863047411e+02
5.212196577538364756e-05,4.262744105297675219e+02,4.266034881340191305e+02
5.405844187689212867e-05,4.362037686847613145e+02,4.365405103707007584e+02
5.606686345543563862e-05,4.463644148510450123e+02,4.467089990948323361e+02
5.814990348573447095e-05,4.567617365017716793e+02,4.571143459351671936e+02
6.031033425095958965e-05,4.674012466024291257e+02,4.677620681095272630e+02
6.255103103231792827e-05,4.782885865339777069e+02,4.786578113501926737e+02
6.487497593571616827e-05,4.894295290840792063e+02,4.898073528974339297e+02
6.728526186059554835e-05,5.008299815080010262e+02,5.012166045627715221e+02
6.978509661622020227e-05,5.124959886608188526e+02,5.128916158635925058e+02
7.237780719089684798e-05,5.244337362025796665e+02,5.248385772307788102e+02
7.506684417980780642e-05,5.366495538781224468e+02,5.370638232910553143e+02
7.785578637735082925e-05,5.491499188732991570e+02,5.495738362257923200e+02
8.074834554009623089e-05,5.619414592493709506e+02,5.623752492080473075e+02
8.374837132670224084e-05,5.750309574574051794e+02,5.754748499196666671e+02
8.685985642136092851e-05,5.884253539345330637e+02,5.888795841503119846e+02
9.008694184759521301e-05,6.021317507839772816e+02,6.025965594803193426e+02
9.343392247947774514e-05,6.161574155407995477e+02,6.166330490493464822e+02
9.690525275760696684e-05,6.305097850253654315e+02,6.309964954128023464e+02
1.005055526174478559e-04,6.451964692865683446e+02,6.456945144881065062e+02
1.042396136379266345e-04,6.602252556369056720e+02,6.607348995928715567e+02
1.081124054184633788e-04,6.756041127815460641e+02,6.761256255771452288e+02
1.121290821929284853e-04,6.913411950435742028e+02,6.918748530519086444e+02
1.162949896893268105e-04,7.074448466876582415e+02,7.079909327160717112e+02
1.206156722443386828e-04,7.239236063444343472e+02,7.244824097842587207e+02
1.250968801821786302e-04,7.407862115379188026e+02,7.413580285177064297e+02
1.297445774676202950e-04,7.580416033184624212e+02,7.586267368607822164e+02
1.345649496433171295e-04,7.756989310034859955e+02,7.762976911853662614e+02
1.395644120620605059e-04,7.937675570288071185e+02,7.943802611459112768e+02
1.447496184248431609e-04,8.122570619128052840e+02,8.128840346474256648e+02
1.501274696361757407e-04,8.311772493363606600e+02,8.318188229293192535e+02
1.557051229883770654e-04,8.505381513410314938e+02,8.511946657675808865e+02
1.614900016870971585e-04,8.703500336483521096e+02,8.710218367981656229e+02
1.674898047307367681e-04,8.906234011030261399e+02,8.913108489643753956e+02
1.737125171569164862e-04,9.113690032429121857e+02,9.120724600911275957e+02
1.801664206696294433e-04,9.325978399987523062e+02,9.333176785890672136e+02
1.868601046612226781e-04,9.543211675266668408e+02,9.550577692915462649e+02
1.938024776438765709e-04,9.765505041765084115e+02,9.773042594275673309e+02
2.010027791057939156e-04,9.992976365992378760e+02,1.000068944733854778e+03
2.084705918078809275e-04,1.022574625996562986e+03,1.023363895709297935e+03
2.162158545372838323e-04,1.046393814516150996e+03,1.047201464015081910e+03
2.242488753347540058e-04,1.070767831795808888e+03,1.071594289023897318e+03
2.325803452134475352e-04,1.095709601660101043e+03,1.096555304521703647e+03
2.412213523874160543e-04,1.121232348972949012e+03,1.122097745565599098e+03
2.501833970287254479e-04,1.147349606649851921e+03,1.148235155501433155e+03
2.594784065728424484e-04,1.174075222833457929e+03,1.174981393144883441e+03
2.691187515926598476e-04,1.201423368236258057e+03,1.202350640129802287e+03
2.791172622622846477e-04,1.229408543654335062e+03,1.230357408427732707e+03
2.894872454325021771e-04,1.258045587656119096e+03,1.259016548042576460e+03
3.002425023406427051e-04,1.287349684450251971e+03,1.288343254884501675e+03
3.113973469784162549e-04,1.317336371936715068e+03,1.318353078827254421e+03
3.229666251421658410e-04,1.348021549945492097e+03,1.349061931953154271e+03
3.349657341908892391e-04,1.379421488667145013e+03,1.380486096990144915e+03
3.474106435383306798e-04,1.411552837279775076e+03,1.412642235945378616e+03
3.603179159063882482e-04,1.444432632776869923e+03,1.445547398939851291e+03
3.737047293682054655e-04,1.478078309000949957e+03,1.479219033248979031e+03
3.875889002101230415e-04,1.512507705887368957e+03,1.513674992553502307e+03
4.019889066431412469e-04,1.547739078923756097e+03,1.548933546406189407e+03
4.169239133952007620e-04,1.583791108829477025e+03,1.585013389918732628e+03
4.324137972172439697e-04,1.620682911460836976e+03,1.621933653674552033e+03
4.484791733368299156e-04,1.658434047946838064e+03,1.659713913872337571e+03
4.651414228946009811e-04,1.697064535061097104e+03,1.698374202705930884e+03
4.824227214000852680e-04,1.736594855835352064e+03,1.737935018985973102e+03
5.003460682447117853e-04,1.777045970420195090e+03,1.778417339008977024e+03
5.189353173113157771e-04,1.818439327198781029e+03,1.819842627679566704e+03
5.382152087208736833e-04,1.860796874159419986e+03,1.862232849891795922e+03
5.582114017587156774e-04,1.904141070533072934e+03,1.905610482175571860e+03
5.789505090240411843e-04,1.948494898701927013e+03,1.949998524614370581e+03
6.004601318481810621e-04,1.993881876385355099e+03,1.995420513040545529e+03
6.227688970287489131e-04,2.040326069109740047e+03,2.041900531514715340e+03
6.459064949285679832e-04,2.087852102968750842e+03,2.089463225095831604e+03
6.699037189900787503e-04,2.136485177680856850e+03,2.138133812908707569e+03
6.947925067178167520e-04,2.186251079950996882e+03,2.187938101515930157e+03
7.206059821835032872e-04,2.237176197143481204e+03,2.238902498601255047e+03
7.473785001103202749e-04,2.289287531273384957e+03,2.291054026971723488e+03
7.751456915950362099e-04,2.342612713323856042e+03,2.344420338885950514e+03
8.039445115288381804e-04,2.397180017896906975e+03,2.399029730716144968e+03
8.338132877799777796e-04,2.453018378205490080e+03,2.454911157951679343e+03
8.647917722036931954e-04,2.510157401414779088e+03,2.512094250552132053e+03
8.969211935472857968e-04,2.568627384340798926e+03,2.570609328657950300e+03
9.302443123207735113e-04,2.628459329514750152e+03,2.630487418667074508e+03
9.648054777061385381e-04,2.689684961621495859e+03,2.691760269686037191e+03
1.000650686580923255e-03,2.752336744321004971e+03,2.754460370364286518e+03
1.037827644734649630e-03,2.816447897461488992e+03,2.818620966120503454e+03
1.076385830359783335e-03,2.882052414693820083e+03,2.884276076770527197e+03
1.116376559901271701e-03,2.949185081495735176e+03,2.951460514565357698e+03
1.157853056352871075e-03,3.017881493616412172e+03,3.020209902649850847e+03
1.200870520090679874e-03,3.088178075950330822e+03,3.090560693951042140e+03
1.245486202338411293e-03,3.160112101850922045e+03,3.162550190506584386e+03
1.291759481362088824e-03,3.233721712894048778e+03,3.236216563243351175e+03
1.339751941495586707e-03,3.309045939101877138e+03,3.311598872216792188e+03
1.389527455102196373e-03,3.386124719637798989e+03,3.388737087321705076e+03
1.441152267581277463e-03,3.464998923983438999e+03,3.467672109485435612e+03
1.494695085533165281e-03,3.545710373608928876e+03,3.548445792354742480e+03
1.550227168199628212e-03,3.628301864147962078e+03,3.631100964487820420e+03
1.607822422301604564e-03,3.712817188089384217e+03,3.715681452063243341e+03
1.667557500400423855e-03,3.799301157997348128e+03,3.802232102117886370e+03
1.729511902913418928e-03,3.887799630272339982e+03,3.890798806326127760e+03
1.793768083919701321e-03,3.978359529465692049e+03,3.981428525332951722e+03
1.860411560896918937e-03,4.071028873160455078e+03,4.074169313653846075e+03
1.929531028535041905e-03,4.165856797431841187e+03,4.169070345154707866e+03
2.001218476778635156e-03,4.262893582900715955e+03,4.266181939125260214e+03
2.075569313254747427e-03,4.362190681393975865e+03,4.365555586959801076e+03
2.152682490249318951e-03,4.463800743225942824e+03,4.467243979459445654e+03
2.232660636401134508e-03,4.567777645115218547e+03,4.571301034770312071e+03
2.315610193288559267e-03,4.674176518751834010e+03,4.677781926972506881e+03
