pressurec2,energy_densityc2,baryon_density
1.112594075392044764e-21,9.992065932356613445e+00,9.999999999999998224e+00
1.394591358728594500e-07,1.022481457479113942e+01,1.023293345021969891e+01
1.446404309321943031e-07,1.046298471177579970e+01,1.047129269966252352e+01
1.500142255242694592e-07,1.070670262805809081e+01,1.071520413334179977e+01
1.555876715425171392e-07,1.095609754997986052e+01,1.096479708020056698e+01
1.613681865931165894e-07,1.121130171399689957e+01,1.122020388168557226e+01
1.673634638669623618e-07,1.147245043679455989e+01,1.148155996191852068e+01
1.735814823784038421e-07,1.173968218703662991e+01,1.174900389950192547e+01
1.800305175843811601e-07,1.201313865878540987e+01,1.202267750099749399e+01
1.867191523980935355e-07,1.229296484663212041e+01,1.230272587611610646e+01
1.936562886118545502e-07,1.257930912257720024e+01,1.258929751465919722e+01
2.008511587443390371e-07,1.287232331470151081e+01,1.288254436525238411e+01
2.083133383279876238e-07,1.317216278766997917e+01,1.318262191591304244e+01
2.160527586529232024e-07,1.347898652511054074e+01,1.348968927649459104e+01
2.240797199843387005e-07,1.379295721391184060e+01,1.380390926305114618e+01
2.324049052709508265e-07,1.411424133048467944e+01,1.412544848416746568e+01
2.410393943627471720e-07,1.444300922903235040e+01,1.445447742929924217e+01
2.499946787569898041e-07,1.477943523187786035e+01,1.479117055917218693e+01
2.592826768920454385e-07,1.512369772189446060e+01,1.513570639828579267e+01
2.689157500094396962e-07,1.547597923708947931e+01,1.548826762957230230e+01
2.789067186052260645e-07,1.583646656739133007e+01,1.584904119126054134e+01
2.892688794925702578e-07,1.620535085369095896e+01,1.621821837599598481e+01
3.000160234982564725e-07,1.658282768919037053e+01,1.659599493226971489e+01
3.111624538166686618e-07,1.696909722311183089e+01,1.698257116820993318e+01
3.227230050456727203e-07,1.736436426682282175e+01,1.737815205779120831e+01
3.347130629297344921e-07,1.776883840243302970e+01,1.778294734951760603e+01
3.471485848365512655e-07,1.818273409392092077e+01,1.819717167763745280e+01
3.600461209944442669e-07,1.860627080084874052e+01,1.862104467594868495e+01
3.734228365187820397e-07,1.903967309472648139e+01,1.905479109425505868e+01
3.872965342567450640e-07,1.948317077808615139e+01,1.949864091753511275e+01
4.016856784808383540e-07,1.993699900632989852e+01,1.995282948788675270e+01
4.166094194626823040e-07,2.040139841241618868e+01,2.041759762931263822e+01
4.320876189597898028e-07,2.087661523445046896e+01,2.089319177541198513e+01
4.481408766492477260e-07,2.136290144624783949e+01,2.137986410004683435e+01
4.647905575434819919e-07,2.186051489093685873e+01,2.187787265105206203e+01
4.820588204245958296e-07,2.236971941767556871e+01,2.238748148705974117e+01
4.999686473351243092e-07,2.289078502155200923e+01,2.290896081751078839e+01
5.185438741644476422e-07,2.342398798674349081e+01,2.344258714592785608e+01
5.378092223715815548e-07,2.396961103301059026e+01,2.398864341652555154e+01
