pressurec2,energy_densityc2,baryon_density
1.112594075392044764e-21,9.989694985061968069e+00,9.999999999999998224e+00
1.451194035432504538e-07,1.022238840033259955e+01,1.023293345021969891e+01
1.505109933009681617e-07,1.046050202373278992e+01,1.047129269966252352e+01
1.561028956247919047e-07,1.070416211004518026e+01,1.071520413334179977e+01
1.619025526840896229e-07,1.095349785494878070e+01,1.096479708020056698e+01
1.679176831455356360e-07,1.120864146352231927e+01,1.122020388168557226e+01
1.741562924457545974e-07,1.146972822034319961e+01,1.148155996191852068e+01
1.806266834456236447e-07,1.173689656121939073e+01,1.174900389950192547e+01
1.873374674804112319e-07,1.201028814659204080e+01,1.202267750099749399e+01
1.942975758204591454e-07,1.229004793664809014e+01,1.230272587611610646e+01
2.015162715576611011e-07,1.257632426818230087e+01,1.258929751465919722e+01
2.090031619335572409e-07,1.286926893324979915e+01,1.288254436525238411e+01
2.167682111254505793e-07,1.316903725965068084e+01,1.318262191591304244e+01
2.248217535075652009e-07,1.347578819328927935e+01,1.348968927649459104e+01
2.331745074048912318e-07,1.378968438245200012e+01,1.380390926305114618e+01
2.418375893580277931e-07,1.411089226404821062e+01,1.412544848416746568e+01
2.508225289179900393e-07,1.443958215185963923e+01,1.445447742929924217e+01
2.601412839907121756e-07,1.477592832684623936e+01,1.479117055917218693e+01
2.698062567516141858e-07,1.512010912955467923e+01,1.513570639828579267e+01
2.798303101514518712e-07,1.547230705467984002e+01,1.548826762957230230e+01
2.902267850354042398e-07,1.583270884782876031e+01,1.584904119126054134e+01
3.010095178981798290e-07,1.620150560453867072e+01,1.621821837599598481e+01
3.121928592987780473e-07,1.657889287160141123e+01,1.659599493226971489e+01
3.237916929594072331e-07,1.696507075074804050e+01,1.698257116820993318e+01
3.358214555739821716e-07,1.736024400474864038e+01,1.737815205779120831e+01
3.482981573525620591e-07,1.776462216598351063e+01,1.778294734951760603e+01
3.612384033290716130e-07,1.817841964754336104e+01,1.819717167763745280e+01
3.746594154606632524e-07,1.860185585691738908e+01,1.862104467594868495e+01
3.885790555481321355e-07,1.903515531232955027e+01,1.905479109425505868e+01
4.030158490078882014e-07,1.947854776178467162e+01,1.949864091753511275e+01
4.179890095271239600e-07,1.993226830488757173e+01,1.995282948788675270e+01
4.335184646349884863e-07,2.039655751749972978e+01,2.041759762931263822e+01
4.496248822238043157e-07,2.087166157929964072e+01,2.089319177541198513e+01
4.663296980556198730e-07,2.135783240431448959e+01,2.137986410004683435e+01
4.836551442907053521e-07,2.185532777449233066e+01,2.187787265105206203e+01
5.016242790759654868e-07,2.236441147638554128e+01,2.238748148705974117e+01
5.202610172326410512e-07,2.288535344101831015e+01,2.290896081751078839e+01
5.395901620841444466e-07,2.341842988701181127e+01,2.344258714592785608e+01
5.596374384663896529e-07,2.396392346704346110e+01,2.398864341652555154e+01
5.804295269645445192e-07,2.452212341771764059e+01,2.454741916423569492e+01
6.019940994217782551e-07,2.509332571292737057e+01,2.511921066822715787e+01
6.243598557672528898e-07,2.567783322078834018e+01,2.570432110900171807e+01
6.475565622123804145e-07,2.627595586422842899e+01,2.630306072914920890e+01
6.716150908661769023e-07,2.688801078531790978e+01,2.691574699784710134e+01
6.965674608224430985e-07,2.751432251342766122e+01,2.754270477919220994e+01
7.224468807734104039e-07,2.815522313730333082e+01,2.818426650445220005e+01
7.492877932066820173e-07,2.881105248114965889e+01,2.884077234833156567e+01
7.771259202441323068e-07,2.948215828481448142e+01,2.951257040934133613e+01
8.059983111838901169e-07,3.016889638817072949e+01,3.020001689437130565e+01
8.359433918086300339e-07,3.087163091979310892e+01,3.090347630756122399e+01
8.670010155258053343e-07,3.159073449002980993e+01,3.162332164357151854e+01
8.992125164078810771e-07,3.232658838857135208e+01,3.235993458535596545e+01
9.326207642031621374e-07,3.307958278662152907e+01,3.311370570654104739e+01
9.672702213904221679e-07,3.385011694377764968e+01,3.388503467851947448e+01
1.003207002353277297e-06,3.463859941972960144e+01,3.467433048236765103e+01
