pressurec2,energy_densityc2,baryon_density
1.112594075392044764e-21,9.990835550575955182e+00,9.999999999999998224e+00
1.414949029036984184e-07,1.022355553334971923e+01,1.023293345021969891e+01
1.467518323744530055e-07,1.046169634309597996e+01,1.047129269966252352e+01
1.522040714068480534e-07,1.070538424901219088e+01,1.071520413334179977e+01
1.578588762947108313e-07,1.095474846152792026e+01,1.096479708020056698e+01
1.637237729233806434e-07,1.120992120081606913e+01,1.122020388168557226e+01
1.698065667857843592e-07,1.147103776689978005e+01,1.148155996191852068e+01
1.761153533706369437e-07,1.173823661139254071e+01,1.174900389950192547e+01
1.826585289365904850e-07,1.201165941090919986e+01,1.202267750099749399e+01
1.894448016866764080e-07,1.229145114218709978e+01,1.230272587611610646e+01
1.964832033579066466e-07,1.257776015895693966e+01,1.258929751465919722e+01
2.037831012414609706e-07,1.287073827060427966e+01,1.288254436525238411e+01
2.113542106494593577e-07,1.317054082266328052e+01,1.318262191591304244e+01
2.192066078449075191e-07,1.347732677918546074e+01,1.348968927649459104e+01
2.273507434520276320e-07,1.379125880702708962e+01,1.380390926305114618e+01
2.357974563648224011e-07,1.411250336209998935e+01,1.412544848416746568e+01
2.445579881723664085e-07,1.444123077763090990e+01,1.445447742929924217e+01
2.536439981200657398e-07,1.477761535447779018e+01,1.479117055917218693e+01
2.630675786267422710e-07,1.512183545354879044e+01,1.513570639828579267e+01
2.728412713782343617e-07,1.547407359037450014e+01,1.548826762957230230e+01
2.829780840189171522e-07,1.583451653188305031e+01,1.584904119126054134e+01
2.934915074633586041e-07,1.620335539542936942e+01,1.621821837599598481e+01
3.043955338511528574e-07,1.658078575013119149e+01,1.659599493226971489e+01
3.157046751688248558e-07,1.696700772056551898e+01,1.698257116820993318e+01
3.274339825635903186e-07,1.736222609288052965e+01,1.737815205779120831e+01
3.395990663746769744e-07,1.776665042337915068e+01,1.778294734951760603e+01
3.522161169088634468e-07,1.818049514963194113e+01,1.819717167763745280e+01
3.653019259878882963e-07,1.860397970417817959e+01,1.862104467594868495e+01
3.788739092964046174e-07,1.903732863087536131e+01,1.905479109425505868e+01
3.929501295602243881e-07,1.948077170395897895e+01,1.949864091753511275e+01
4.075493205856983367e-07,1.993454404987546980e+01,1.995282948788675270e+01
4.226909121922249238e-07,2.039888627195314896e+01,2.041759762931263822e+01
4.383950560710739196e-07,2.087404457797715907e+01,2.089319177541198513e+01
4.546826526049339149e-07,2.136027091073599138e+01,2.137986410004683435e+01
4.715753786838834502e-07,2.185782308160893095e+01,2.187787265105206203e+01
4.890957165548014219e-07,2.236696490726518860e+01,2.238748148705974117e+01
5.072669837426146198e-07,2.288796634954720943e+01,2.290896081751078839e+01
