pressurec2,energy_densityc2,baryon_density
1.112594075392044764e-21,9.991115799498389904e+00,9.999999999999998224e+00
1.451961321550340031e-07,1.022384231029164958e+01,1.023293345021969891e+01
1.505905725942409512e-07,1.046198980011996937e+01,1.047129269966252352e+01
1.561854315103056337e-07,1.070568454172295070e+01,1.071520413334179977e+01
1.619881550074754239e-07,1.095505574915486058e+01,1.096479708020056698e+01
1.680064658334953177e-07,1.121023564629767044e+01,1.122020388168557226e+01
1.742483736576839889e-07,1.147135953697008048e+01,1.148155996191852068e+01
1.807221857308692918e-07,1.173856587666947959e+01,1.174900389950192547e+01
1.874365179413685230e-07,1.201199634598513022e+01,1.202267750099749399e+01
1.944003062817317530e-07,1.229179592572135071e+01,1.230272587611610646e+01
2.016228187415034746e-07,1.257811297377057969e+01,1.258929751465919722e+01
2.091136676418359455e-07,1.287109930377702049e+01,1.288254436525238411e+01
2.168828224283665447e-07,1.317091026563272926e+01,1.318262191591304244e+01
2.249406229393861217e-07,1.347770482784861912e+01,1.348968927649459104e+01
2.332977931669579951e-07,1.379164566184423002e+01,1.380390926305114618e+01
2.419654555293009552e-07,1.411289922820093068e+01,1.412544848416746568e+01
2.509551456734205045e-07,1.444163586492384965e+01,1.445447742929924217e+01
2.602788278277239630e-07,1.477802987776057009e+01,1.479117055917218693e+01
2.699489107250017263e-07,1.512225963262281070e+01,1.513570639828579267e+01
2.799782641170047362e-07,1.547450765016128926e+01,1.548826762957230230e+01
2.903802359025827335e-07,1.583496070254352084e+01,1.584904119126054134e+01
3.011686698921795176e-07,1.620380991248588032e+01,1.621821837599598481e+01
3.123579242323283384e-07,1.658125085459244019e+01,1.659599493226971489e+01
3.239628905146702405e-07,1.696748365905435918e+01,1.698257116820993318e+01
3.359990135949236597e-07,1.736271311776470938e+01,1.737815205779120831e+01
3.484823121481851089e-07,1.776714879290517857e+01,1.778294734951760603e+01
3.614293999879168320e-07,1.818100512806201863e+01,1.819717167763745280e+01
3.748575081769922685e-07,1.860450156193034843e+01,1.862104467594868495e+01
3.887845079602314447e-07,1.903786264466690170e+01,1.905479109425505868e+01
4.032289345489400725e-07,1.948131815695311886e+01,1.949864091753511275e+01
4.182100117891146054e-07,1.993510323183157951e+01,1.995282948788675270e+01
4.337476777461356732e-07,2.039945847938039947e+01,2.041759762931263822e+01
4.498626112400079781e-07,2.087463011429172965e+01,2.089319177541198513e+01
4.665762593664550089e-07,2.136087008642200047e+01,2.137986410004683435e+01
4.839108660405011598e-07,2.185843621438307949e+01,2.187787265105206203e+01
5.018895016005257588e-07,2.236759232224521909e+01,2.238748148705974117e+01
5.205360935121921310e-07,2.288860837942435111e+01,2.290896081751078839e+01
5.398754582131106596e-07,2.342176064382768885e+01,2.344258714592785608e+01
5.599333341406221162e-07,2.396733180833381027e+01,2.398864341652555154e+01
5.807364159866519981e-07,2.452561115068463948e+01,2.454741916423569492e+01
6.023123902252320816e-07,2.509689468686898906e+01,2.511921066822715787e+01
6.246899719599652740e-07,2.568148532807891016e+01,2.570432110900171807e+01
6.478989431404763399e-07,2.627969304132199824e+01,2.630306072914920890e+01
6.719701921987129331e-07,2.689183501377506147e+01,2.691574699784710134e+01
6.969357551578490888e-07,2.751823582096612952e+01,2.754270477919220994e+01
7.228288582684637653e-07,2.815922759887320126e+01,2.818426650445220005e+01
7.496839622288483434e-07,2.881515022003356918e+01,2.884077234833156567e+01
7.775368080481438451e-07,2.948635147375341958e+01,2.951257040934133613e+01
8.064244646134594143e-07,3.017318725051611139e+01,3.020001689437130565e+01
8.363853780242363153e-07,3.087602173068566103e+01,3.090347630756122399e+01
8.674594227595173256e-07,3.159522757760588973e+01,3.162332164357151854e+01
8.996879547462272066e-07,3.233118613519742723e+01,3.235993458535596545e+01
9.331138663990822371e-07,3.308428763015736962e+01,3.311370570654104739e+01
9.677816437053902767e-07,3.385493137886894033e+01,3.388503467851947448e+01
1.003737425430706026e-06,3.464352599913068786e+01,3.467433048236765103e+01
1.041029064524145726e-06,3.545048962681764948e+01,3.548201162569925771e+01
1.079706191805074454e-06,3.627625013758917305e+01,3.630850636457020642e+01
1.119820282015938138e-06,3.712124537376114120e+01,3.715425293055255906e+01
1.161424722329133402e-06,3.798592337646280725e+01,3.801969976309744936e+01
1.204574883399107443e-06,3.887074262320130913e+01,3.890530574731099023e+01
1.249328193054235454e-06,3.977617227095979757e+01,3.981154045726834312e+01
1.295744212726556500e-06,4.070269240495832719e+01,4.073888440499561625e+01
1.343884716721092907e-06,4.165079429320903159e+01,4.168782929525131919e+01
1.393813774430231847e-06,4.262098064700077060e+01,4.265887828624261147e+01
1.445597835602617840e-06,4.361376588745144289e+01,4.365254625641428277e+01
1.499305818780008415e-06,4.462967641826912057e+01,4.466936007745244552e+01
1.555009203019811856e-06,4.566925090486670769e+01,4.570985889364716570e+01
1.612782123025368099e-06,4.673304055997810735e+01,4.677459440776245003e+01
1.672701467810590854e-06,4.782160943592734270e+01,4.786413117356517688e+01
1.734846983030263602e-06,4.893553472370570745e+01,4.897904689516784771e+01
1.799301377112207610e-06,5.007540705901528355e+01,5.011993273334424259e+01
1.866150431332542905e-06,5.124183083544126305e+01,5.128739361897996929e+01
1.935483113980576989e-06,5.243542452491958983e+01,5.248204857382481947e+01
2.007391698765127610e-06,5.365682100566740331e+01,5.370453103871472678e+01
2.081971887620188118e-06,5.490666789775575296e+01,5.495548920944261795e+01
2.159322938072953894e-06,5.618562790649542649e+01,5.623558638044929125e+01
2.239547795344016669e-06,5.749437917382296348e+01,5.754550129652189838e+01
2.322753229355445601e-06,5.883361563787148896e+01,5.888592851268400352e+01
2.409049976829095921e-06,6.020404740091696283e+01,6.025757876246903066e+01
2.498552888664249891e-06,6.160640110589532981e+01,6.166117933477174518e+01
2.591381082790773510e-06,6.304142032168989118e+01,6.309747445947814981e+01
2.687658102701167062e-06,6.450986593739324348e+01,6.456722570207772094e+01
2.787512081872544821e-06,6.601251656575318805e+01,6.607121236746762349e+01
2.891075914297332519e-06,6.755016895601579563e+01,6.761023191316292014e+01
2.998487431349662404e-06,6.912363841638550355e+01,6.918510037213161468e+01
3.109889585222847049e-06,7.073375924632526335e+01,7.079665278547930996e+01
3.225430639182065430e-06,7.238138517892663515e+01,7.244574364521209020e+01
3.345264364885465248e-06,7.406738983358422956e+01,7.413324734731320120e+01
3.469550247036290106e-06,7.579266717921420593e+01,7.586005865537320858e+01
3.598453695638411057e-06,7.755813200826297305e+01,7.762709317501969508e+01
3.732146266137730236e-06,7.936472042175688557e+01,7.943528783939805749e+01
3.870805887742469409e-06,8.121339032565059313e+01,8.128560140596064798e+01
4.014617100226163992e-06,8.310512193873684339e+01,8.317901496482802770e+01
4.163771299528579921e-06,8.504091831238729071e+01,8.511653245899137232e+01
4.318466992481358597e-06,8.702180586239987292e+01,8.709918121663235979e+01
4.478910060997449986e-06,8.904883491323442968e+01,8.912801249584248353e+01
4.645314036075915228e-06,9.112308025492583852e+01,9.120410204203059834e+01
4.817900381986747295e-06,9.324564171296906068e+01,9.332855065831458319e+01
4.996898791013987822e-06,9.541764473147907211e+01,9.550248478919908734e+01
5.182547489149336712e-06,9.764024096993438206e+01,9.772705711784938387e+01
5.375093553143152183e-06,9.991460891382067189e+01,1.000034471772772093e+02
5.574793239334824616e-06,1.022419544994993004e+02,1.023328619757646152e+02
5.781912324699818505e-06,1.046235117536272980e+02,1.047165366368517283e+02
5.996726460568164675e-06,1.070605434474786932e+02,1.071557350542396847e+02
6.219521539483975793e-06,1.095543417665004995e+02,1.096517505619409150e+02
6.450594075695113689e-06,1.121062289954678022e+02,1.122059066200431801e+02
6.690251599779042883e-06,1.147175582195984020e+02,1.148195575164467925e+02
6.938813067930146813e-06,1.173897140419980047e+02,1.174940890849473192e+02
7.196609286453190436e-06,1.201241133178178018e+02,1.202309194400450991e+02
7.463983352027908664e-06,1.229222059055127971e+02,1.230314997288707701e+02
7.741291108330637021e-06,1.257854754355992952e+02,1.258973149006257444e+02
8.028901619620721367e-06,1.287154400973194868e+02,1.288298844939456274e+02
8.327197661921972876e-06,1.317136534436303066e+02,1.318307634426036543e+02
8.636576232452880352e-06,1.347817052149426900e+02,1.349015428999819619e+02
8.957449077983581470e-06,1.379212221820488935e+02,1.380438510827473522e+02
9.290243242822747197e-06,1.411338690086842860e+02,1.412593541341792047e+02
9.635401637163728091e-06,1.444213491341812130e+02,1.445497570076072975e+02
9.993383626546320587e-06,1.477854056766821884e+02,1.479168043704273998e+02
1.036466564321869717e-05,1.512278223573935065e+02,1.513622815291750214e+02
1.074974182021312476e-05,1.547504244463659973e+02,1.548880153761466829e+02
1.114912464897935152e-05,1.583550797303070965e+02,1.584958753580714585e+02
1.156334566145090808e-05,1.620436995029369029e+02,1.621877744673461450e+02
1.199295613745212058e-05,1.658182395784120047e+02,1.659656702563595161e+02
1.243852783838716688e-05,1.696807013283560082e+02,1.698315658754433457e+02
1.290065376818776603e-05,1.736331327430457918e+02,1.737875111350015231e+02
1.337994896253229324e-05,1.776776295173166886e+02,1.778356035923786465e+02
1.387705130738636831e-05,1.818163361617613134e+02,1.819779896640460493e+02
1.439262238795470191e-05,1.860514471398122964e+02,1.862168657636952958e+02
1.492734836917380250e-05,1.903852080313122883e+02,1.905544794668389557e+02
1.548194090891736517e-05,1.948199167231859121e+02,1.949931307025418619e+02
1.605713810513003948e-05,1.993579246278493997e+02,1.995351729729117380e+02
1.665370547814902112e-05,2.040016379299925120e+02,2.041830146009882299e+02
1.727243698952320402e-05,2.087535188624179057e+02,2.089391200077149335e+02
1.791415609868273495e-05,2.136160870115836872e+02,2.138060110186414420e+02
1.857971685886755414e-05,2.185919206535643866e+02,2.187862682010697881e+02
1.927000505377257595e-05,2.236836581211287864e+02,2.238825322323465912e+02
1.998593937642243232e-05,2.288939992026620871e+02,2.290975053000269099e+02
2.072847265184463652e-05,2.342257065736737047e+02,2.344339525346530877e+02
2.149859310516849027e-05,2.396816072616495887e+02,2.398947034759068799e+02
2.229732567683744742e-05,2.452645941450257112e+02,2.454826535729144155e+02
2.312573338668518879e-05,2.509776274870775978e+02,2.512007657194971841e+02
2.398491874869090141e-05,2.568237365055402961e+02,2.570520718251843277e+02
2.487602523829683486e-05,2.628060209787885242e+02,2.630396744228207240e+02
2.580023881424054581e-05,2.689276528894312150e+02,2.691667483136180294e+02
