EoS,M,rhoc,R,Lambda,I 
AP4_LAL,2.098199031491107,1.42762966539e+15,10.7984138058,9.23236383793,2.26533001521
APR4_EPP,2.159831986444111,1.88957300424e+15,10.1724280783,3.72563231689,2.19021117138
APR_LAL,2.0576036830095576,1.40484537239e+15,10.7571670168,10.4218759329,2.17862614107
BHF_BBB2_LAL,1.922111909811387,2.24033258919e+15,9.52390144127,4.99371483543,1.59532204458
H3_LAL,1.7907272917589747,1.64685295069e+15,11.8637441044,45.4459074348,1.84571634276
H4_LAL,2.031881328829803,1.58316829218e+15,11.7448676601,18.2719213781,2.28106645971
HQC18_LAL,2.0455826361486853,1.88243516885e+15,10.3887355253,7.03672158268,2.01605903098
KDE0V1_LAL,1.9699167250848308,2.12421124193e+15,9.79358300573,4.98830777332,1.71481037914
KDE0V_LAL,1.9605699795455844,2.16663715158e+15,9.6596674044,4.61881246169,1.67735537082
MPA1_LAL,2.4628470280217925,1.48804390251e+15,11.3271317492,3.09950815976,3.1807695804
MS1B_LAL,2.7795561602974566,1.11600528525e+15,13.3097576855,4.56002324411,4.77659419156
MS1B_PP,2.7473247433311565,1.14305944358e+15,13.2259802993,4.72371389699,4.63396695638
MS1_LAL,2.771056049199932,1.11003999641e+15,13.3486755703,4.59688286944,4.74023870822
MS1_PP,2.753840335989105,1.13746235671e+15,13.3136531935,4.67492777327,4.66333327902
RS_LAL,2.1170462788612427,1.7832704101e+15,10.763904339,6.14236184342,2.18672113976
SK255_LAL,2.144602714661675,1.75432395844e+15,10.849862493,5.65343926583,2.24931028471
SK272_LAL,2.2320669864712785,1.65481020481e+15,11.0870117136,4.97044716585,2.49608552759
SKA_LAL,2.2088238450599924,1.70235272037e+15,10.8885073459,4.82434883968,2.41013382538
SKB_LAL,2.1886091705191326,1.75986940146e+15,10.6131349175,4.41058741069,2.33349060954
SKI2_LAL,2.163329243290425,1.68584932348e+15,11.1156962462,6.60225181807,2.35504123632
SKI3_LAL,2.2403639821926524,1.60571767726e+15,11.3098741877,5.8376389709,2.57476044763
SKI4_LAL,2.169944607582675,1.76208915801e+15,10.6717279888,5.0872953893,2.29812342266
SKI5_LAL,2.240613185466578,1.58242441084e+15,11.4682883933,6.25785529897,2.59869664574
SKI6_LAL,2.190357236333554,1.73161969632e+15,10.7637471866,4.92137007535,2.3604355346
SKMP_LAL,2.107560542280886,1.83791640282e+15,10.528352132,5.42051085921,2.12356565732
SKOP_LAL,1.9732852720247203,2.03233781157e+15,10.1265957111,6.41016090561,1.78157633156
SLY230A_LAL,2.0994974945324154,1.90137360891e+15,10.2521227009,4.7482291106,2.06387349018
SLY2_LAL,2.0541076580716053,1.98758344201e+15,10.0466784791,4.5037462961,1.92418608933
SLY9_LAL,2.156462489162093,1.78243194981e+15,10.6357420926,4.95237400157,2.24992450263
SLY_LAL,2.049737355144379,2.00303861969e+15,9.99422579996,4.41204427148,1.90561898285
WFF1_LAL,1.9242559250514215,1.44582960253e+15,10.197280375,12.9031433962,1.84509506892
