EoS,rhoc,M,R,Lambda
./dat_lal/AP4_LAL-mr.csv,1.42762966539e+15,2.098199031491107,10.7984138058,9.23236383793
./dat_lal/APR4_EPP-mr.csv,1.88957300424e+15,2.159831986444111,10.1724280783,3.72563231689
./dat_lal/APR_LAL-mr.csv,1.40484537239e+15,2.0576036830095576,10.7571670168,10.4218759329
./dat_lal/BHF_BBB2_LAL-mr.csv,2.24033258919e+15,1.922111909811387,9.52390144127,4.99371483543
./dat_lal/H3_LAL-mr.csv,1.64685295069e+15,1.7907272917589747,11.8637441044,45.4459074348
./dat_lal/H4_LAL-mr.csv,1.58316829218e+15,2.031881328829803,11.7448676601,18.2719213781
./dat_lal/HQC18_LAL-mr.csv,1.88243516885e+15,2.0455826361486853,10.3887355253,7.03672158268
./dat_lal/KDE0V1_LAL-mr.csv,2.12421124193e+15,1.9699167250848308,9.79358300573,4.98830777332
./dat_lal/KDE0V_LAL-mr.csv,2.16663715158e+15,1.9605699795455844,9.6596674044,4.61881246169
./dat_lal/MPA1_LAL-mr.csv,1.48804390251e+15,2.4628470280217925,11.3271317492,3.09950815976
./dat_lal/MS1B_LAL-mr.csv,1.11600528525e+15,2.7795561602974566,13.3097576855,4.56002324411
./dat_lal/MS1B_PP-mr.csv,1.14305944358e+15,2.7473247433311565,13.2259802993,4.72371389699
./dat_lal/MS1_LAL-mr.csv,1.11003999641e+15,2.771056049199932,13.3486755703,4.59688286944
./dat_lal/MS1_PP-mr.csv,1.13746235671e+15,2.753840335989105,13.3136531935,4.67492777327
./dat_lal/RS_LAL-mr.csv,1.7832704101e+15,2.1170462788612427,10.763904339,6.14236184342
./dat_lal/SK255_LAL-mr.csv,1.75432395844e+15,2.144602714661675,10.849862493,5.65343926583
./dat_lal/SK272_LAL-mr.csv,1.65481020481e+15,2.2320669864712785,11.0870117136,4.97044716585
./dat_lal/SKA_LAL-mr.csv,1.70235272037e+15,2.2088238450599924,10.8885073459,4.82434883968
./dat_lal/SKB_LAL-mr.csv,1.75986940146e+15,2.1886091705191326,10.6131349175,4.41058741069
./dat_lal/SKI2_LAL-mr.csv,1.68584932348e+15,2.163329243290425,11.1156962462,6.60225181807
./dat_lal/SKI3_LAL-mr.csv,1.60571767726e+15,2.2403639821926524,11.3098741877,5.8376389709
./dat_lal/SKI4_LAL-mr.csv,1.76208915801e+15,2.169944607582675,10.6717279888,5.0872953893
./dat_lal/SKI5_LAL-mr.csv,1.58242441084e+15,2.240613185466578,11.4682883933,6.25785529897
./dat_lal/SKI6_LAL-mr.csv,1.73161969632e+15,2.190357236333554,10.7637471866,4.92137007535
./dat_lal/SKMP_LAL-mr.csv,1.83791640282e+15,2.107560542280886,10.528352132,5.42051085921
./dat_lal/SKOP_LAL-mr.csv,2.03233781157e+15,1.9732852720247203,10.1265957111,6.41016090561
./dat_lal/SLY230A_LAL-mr.csv,1.90137360891e+15,2.0994974945324154,10.2521227009,4.7482291106
./dat_lal/SLY2_LAL-mr.csv,1.98758344201e+15,2.0541076580716053,10.0466784791,4.5037462961
./dat_lal/SLY9_LAL-mr.csv,1.78243194981e+15,2.156462489162093,10.6357420926,4.95237400157
./dat_lal/SLY_LAL-mr.csv,2.00303861969e+15,2.049737355144379,9.99422579996,4.41204427148
./dat_lal/WFF1_LAL-mr.csv,1.44582960253e+15,1.9242559250514215,10.197280375,12.9031433962
