EoS,M,rhoc,R,Lambda,I 
AP4_LAL,1.338,8.80716444084e+14,11.4343092168,351.642339692,1.24140149508
APR4_EPP,1.338,8.89247775386e+14,11.3316927652,329.745833359,1.22415965558
APR_LAL,1.338,8.90591611497e+14,11.3594264352,329.524392557,1.22432111536
BHF_BBB2_LAL,1.338,1.00226086858e+15,11.2369755911,299.222758481,1.1935668138
H3_LAL,1.338,5.90948360081e+14,13.9288872461,1138.96370027,1.7074353491
H4_LAL,1.338,5.42993341727e+14,13.6922661522,1172.8930922,1.7270208311
HQC18_LAL,1.338,8.76365959314e+14,11.5138939524,342.250732745,1.23515321066
KDE0V1_LAL,1.338,9.11677602835e+14,11.6953181054,372.205381375,1.2550714361
KDE0V_LAL,1.338,9.4503116215e+14,11.4816423232,327.351278206,1.2245227195
MPA1_LAL,1.338,6.56311974106e+14,12.4372333883,630.850047335,1.45329874509
MS1B_LAL,1.338,4.38569978983e+14,14.5246095623,1615.65300455,1.88532116423
MS1B_PP,1.338,4.34238064844e+14,14.5019878251,1577.53406283,1.87275164628
MS1_LAL,1.338,4.29162810422e+14,14.8790255374,1775.79455223,1.94359745526
MS1_PP,1.338,4.19338487677e+14,14.9149782987,1755.34660142,1.94093550576
RS_LAL,1.338,6.66512488872e+14,12.9856582606,799.176547476,1.54639002969
SK255_LAL,1.338,6.64318348008e+14,13.2175790621,789.970043685,1.54162082663
SK272_LAL,1.338,6.28272478269e+14,13.3715565028,853.237026828,1.57667346691
SKA_LAL,1.338,6.60656924502e+14,12.9598231038,751.59511005,1.52210625454
SKB_LAL,1.338,7.06260914152e+14,12.2150631232,550.546595704,1.4484407739
SKI2_LAL,1.338,5.96197272502e+14,13.5388156687,1030.88738746,1.66203466881
SKI3_LAL,1.338,5.77122594445e+14,13.5953430946,1041.36179297,1.66585721356
SKI4_LAL,1.338,7.05912426751e+14,12.3953156898,638.802603284,1.44644031368
SKI5_LAL,1.338,5.31079984114e+14,14.1375376884,1331.95390199,1.7926067027
SKI6_LAL,1.338,6.90873823793e+14,12.5123159363,630.026942474,1.46333498408
SKMP_LAL,1.338,7.19630107864e+14,12.5433660263,644.966895095,1.45868711987
SKOP_LAL,1.338,8.21063442441e+14,12.2036698731,494.398605416,1.35957269149
SLY230A_LAL,1.338,8.11567029273e+14,11.8637720245,454.921636062,1.31918666941
SLY2_LAL,1.338,8.44618324438e+14,11.8298001682,411.379399752,1.30094829784
SLY9_LAL,1.338,7.19447534179e+14,12.5062602421,603.767154216,1.43102676655
SLY_LAL,1.338,8.5741822001e+14,11.7623239008,401.736329432,1.28730692346
WFF1_LAL,1.338,1.07019544213e+15,10.4086792019,201.01866583,1.0838151432
