EoS,rhoc,M,R,Lambda
./dat/AP4_LAL.csv/branch-AP4_LAL-0.csv,2.24e+14,0.11813225880863312,20.0,95519136.8483
./dat/APR4_EPP.csv/branch-APR4_EPP-0.csv,2.24e+14,0.10462390174859637,20.0,166022349.839
./dat/APR_LAL.csv/branch-APR_LAL-0.csv,2.24e+14,0.11424640653647068,20.0,112797262.081
./dat/BHF_BBB2_LAL.csv/branch-BHF_BBB2_LAL-0.csv,2.24e+14,0.10389709021161644,20.0,202114547.136
./dat/H3_LAL.csv/branch-H3_LAL-0.csv,2.24e+14,0.28883386617832874,15.7200214,1922788.55598
./dat/H4_LAL.csv/branch-H4_LAL-0.csv,2.24e+14,0.28178124775051366,13.7600312,2018102.50741
./dat/HQC18_LAL.csv/branch-HQC18_LAL-0.csv,2.24e+14,0.15719798223324252,19.3200034,20582274.3216
./dat/KDE0V1_LAL.csv/branch-KDE0V1_LAL-0.csv,2.24e+14,0.14880188179972395,20.0,32279865.909
./dat/KDE0V_LAL.csv/branch-KDE0V_LAL-0.csv,2.24e+14,0.1283324604322174,20.0,64019343.5447
./dat/MPA1_LAL.csv/branch-MPA1_LAL-0.csv,2.24e+14,0.11668313348886955,20.0,91826075.2311
./dat/MS1B_LAL.csv/branch-MS1B_LAL-0.csv,2.24e+14,0.2931711677460412,15.400023,1715721.70676
./dat/MS1B_PP.csv/branch-MS1B_PP-0.csv,2.24e+14,0.27103946490947217,16.1200194,2348623.67066
./dat/MS1_LAL.csv/branch-MS1_LAL-0.csv,2.24e+14,0.4288447034263166,15.0600247,415855.823208
./dat/MS1_PP.csv/branch-MS1_PP-0.csv,2.24e+14,0.35705094406208543,15.8400208,891542.827225
./dat/RS_LAL.csv/branch-RS_LAL-0.csv,2.24e+14,0.26309951762959805,13.7400313,2710584.14475
./dat/SK255_LAL.csv/branch-SK255_LAL-0.csv,2.24e+14,0.29582523060883814,15.5400223,2047280.16308
./dat/SK272_LAL.csv/branch-SK272_LAL-0.csv,2.24e+14,0.2833343922774605,15.9600202,2390711.07292
./dat/SKA_LAL.csv/branch-SKA_LAL-0.csv,2.24e+14,0.23017247543315617,15.4600227,4716993.99562
./dat/SKB_LAL.csv/branch-SKB_LAL-0.csv,2.24e+14,0.1232084949866703,13.9000305,34032391.6558
./dat/SKI2_LAL.csv/branch-SKI2_LAL-0.csv,2.24e+14,0.31679037696788936,13.9200304,1386008.21336
./dat/SKI3_LAL.csv/branch-SKI3_LAL-0.csv,2.24e+14,0.2776076829114427,14.6800266,2200459.32
./dat/SKI4_LAL.csv/branch-SKI4_LAL-0.csv,2.24e+14,0.13422179995058253,17.6400118,28531505.7278
./dat/SKI5_LAL.csv/branch-SKI5_LAL-0.csv,2.24e+14,0.3953560307414277,14.2200289,625349.5105
./dat/SKI6_LAL.csv/branch-SKI6_LAL-0.csv,2.24e+14,0.14208116219122063,17.9000105,24028753.2764
./dat/SKMP_LAL.csv/branch-SKMP_LAL-0.csv,2.24e+14,0.20313606618542404,14.3200284,6827650.85012
./dat/SKOP_LAL.csv/branch-SKOP_LAL-0.csv,2.24e+14,0.1999765437748004,15.8800206,7876078.3114
./dat/SLY230A_LAL.csv/branch-SLY230A_LAL-0.csv,2.24e+14,0.10730157044015168,20.0,133630947.55
./dat/SLY2_LAL.csv/branch-SLY2_LAL-0.csv,2.24e+14,0.1286675170368244,20.0,53130488.08
./dat/SLY9_LAL.csv/branch-SLY9_LAL-0.csv,2.24e+14,0.1606103838936443,19.7400013,18817606.2906
./dat/SLY_LAL.csv/branch-SLY_LAL-0.csv,2.24e+14,0.12349945427612176,20.0,67938823.1712
./dat/WFF1_LAL.csv/branch-WFF1_LAL-0.csv,2.24e+14,0.09476845762526472,20.0,361387455.33
