EoS,rhoc,M,R,Lambda
./dat/css_ACSiacr.csv/branch-css_ACSiacr-0.csv,5.66722571809e+14,1.4,13.3128081123,728.761175078
./dat/css_ACSibcr.csv/branch-css_ACSibcr-0.csv,5.66722571809e+14,1.4,13.3128081123,728.761175078
./dat/css_ACSiccr.csv/branch-css_ACSiccr-0.csv,5.66722571809e+14,1.4,13.3128081123,728.761175078
./dat/css_ACSidcr.csv/branch-css_ACSidcr-0.csv,5.66722571809e+14,1.4,13.3128081123,728.761175078
./dat/css_ACSidcr.csv/branch-css_ACSidcr-1.csv,0.0,1.4,0.0,0.0
./dat/css_ACSiiacr.csv/branch-css_ACSiiacr-0.csv,5.66722571809e+14,1.4,13.3128081123,728.761175078
./dat/css_ACSiiacr.csv/branch-css_ACSiiacr-1.csv,0.0,1.4,0.0,0.0
./dat/css_ACSiibcr.csv/branch-css_ACSiibcr-0.csv,5.66722571809e+14,1.4,13.3128081123,728.761175078
./dat/css_ACSiibcr.csv/branch-css_ACSiibcr-1.csv,0.0,1.4,0.0,0.0
./dat/pwp_ACB4cr.csv/branch-pwp_ACB4cr-0.csv,4.28951903633e+14,1.4,14.0480703797,1359.14826979
./dat/pwp_ACB4cr.csv/branch-pwp_ACB4cr-1.csv,0.0,1.4,0.0,0.0
./dat/pwp_ACB5cr.csv/branch-pwp_ACB5cr-0.csv,0.0,1.4,0.0,0.0
./dat/pwp_ACB5cr.csv/branch-pwp_ACB5cr-1.csv,1.54748851803e+15,1.4,10.8819408939,132.661298647
./dat/pwp_ACB6cr.csv/branch-pwp_ACB6cr-0.csv,3.76362698331e+14,1.4,14.9953976079,1839.31147466
./dat/pwp_ACB7cr.csv/branch-pwp_ACB7cr-0.csv,5.31180331778e+14,1.4,13.6800316,941.391249845
./dat/pwp_ACB7cr.csv/branch-pwp_ACB7cr-1.csv,1.35616102904e+15,1.4,11.8814721298,251.893792143
./dat/pwp_ALF2cr.csv/branch-pwp_ALF2cr-0.csv,6.49699183102e+14,1.4,12.9000355,627.660178023
./dat/pwp_ENGcr.csv/branch-pwp_ENGcr-0.csv,7.70751496752e+14,1.4,12.174832505,409.226608989
./dat/pwp_H4cr.csv/branch-pwp_H4cr-0.csv,5.64202347085e+14,1.4,14.1704368985,935.292351582
./dat/pwp_MPA1cr.csv/branch-pwp_MPA1cr-0.csv,7.49065948477e+14,1.4,12.0915543951,405.867051294
./dat/pwp_MS1bcr.csv/branch-pwp_MS1bcr-0.csv,4.37232697154e+14,1.4,14.7331780249,1401.78785345
./dat/pwp_MS1cr.csv/branch-pwp_MS1cr-0.csv,4.22944685019e+14,1.4,15.1312427599,1542.21186689
./dat/pwp_SLycr.csv/branch-pwp_SLycr-0.csv,8.70224769464e+14,1.4,11.9040168554,328.160330738
./dat/spec_ALF2cr.csv/branch-spec_ALF2cr-0.csv,9.20043793387e+14,1.4,11.7048249537,292.169802596
./dat/spec_ENGcr.csv/branch-spec_ENGcr-0.csv,7.95670318044e+14,1.4,12.00004,373.959641944
./dat/spec_H4cr.csv/branch-spec_H4cr-0.csv,5.86197170017e+14,1.4,14.1377976236,893.677101026
./dat/spec_MPA1cr.csv/branch-spec_MPA1cr-0.csv,6.85879837525e+14,1.4,12.4815269394,485.051220312
./dat/spec_MS1bcr.csv/branch-spec_MS1bcr-0.csv,4.53733147283e+14,1.4,14.6350856192,1262.01373248
./dat/spec_MS1cr.csv/branch-spec_MS1cr-0.csv,4.43651877247e+14,1.4,15.5872924226,1474.94940282
./dat/spec_SLycr.csv/branch-spec_SLycr-0.csv,9.20043793387e+14,1.4,11.7048249537,292.169802596
./dat/sqm_causal.csv/branch-sqm_causal-0.csv,1.79987533462e+15,1.4,7.60220238587,7.20639212766
