EoS,M,rhoc,R,Lambda,I 
,1.4,9.08570060709e+14,11.43004285,262.30344835,1.32396932717
,1.4,9.17602461634e+14,11.3200434,248.909399709,1.30574910414
,1.4,9.19071565583e+14,11.35004325,248.455864976,1.30558258898
,1.4,1.05182350489e+15,11.1803880845,216.821436498,1.26117066451
,1.4,6.32809858078e+14,13.8600919927,839.340690876,1.79474411522
,1.4,5.71610424956e+14,13.69003155,898.02499523,1.83141144187
,1.4,9.00624447541e+14,11.4933109845,259.354671819,1.31673824866
,1.4,9.54944432972e+14,11.6426977259,268.153911136,1.3279587402
,1.4,9.8947902807e+14,11.4284845718,247.842864008,1.29649305839
,1.4,6.72832123555e+14,12.4600377,488.701855043,1.55372744438
,1.4,4.49481298106e+14,14.5540664084,1261.29592756,2.0127021737
,1.4,4.44958851867e+14,14.5346104047,1244.42753582,2.0010925905
,1.4,4.40979565944e+14,14.8845343369,1399.6162625,2.06852171189
,1.4,4.31036352309e+14,14.9257316097,1398.89096634,2.06975461408
,1.4,6.98512063946e+14,12.9441455205,593.321285428,1.6323661797
,1.4,6.94866455545e+14,13.1639960164,586.819924274,1.6280267157
,1.4,6.54414291008e+14,13.3269058112,644.612573702,1.66914609008
,1.4,6.87724804743e+14,12.93003535,567.456782236,1.61303311099
,1.4,7.3376897528e+14,12.2200389,487.84295023,1.53869584909
,1.4,6.25295300363e+14,13.4961848057,772.189553562,1.7537188808
,1.4,6.02064038226e+14,13.5676005274,790.903420629,1.76380971719
,1.4,7.33674565439e+14,12.3869693455,489.136981359,1.53642149288
,1.4,5.57246110878e+14,14.0952530967,1022.20763132,1.89049814665
,1.4,7.17600468959e+14,12.5020127075,498.993784572,1.55470588443
,1.4,7.52161322604e+14,12.51003745,480.616816427,1.54308070028
,1.4,8.63366119053e+14,12.1431925972,362.825684943,1.43406131299
,1.4,8.43097185548e+14,11.8449898178,346.587230389,1.40248565347
,1.4,8.80496463858e+14,11.7915261717,325.132724869,1.38007334454
,1.4,7.48179075173e+14,12.4849820919,453.145877663,1.51908596186
,1.4,8.93747136107e+14,11.7290849156,297.862787499,1.36585601543
,1.4,1.09949589383e+15,10.41004795,151.42225034,1.15912491205
