EoS,M,rhoc,R,Lambda,I 
,2.097657066503355,1.4276e+15,10.800046,9.16400328842,2.26415856552
,2.159001216417461,1.88514056225e+15,10.1800491,3.75623202033,2.18985136853
,2.0569691713996767,1.40481618044e+15,10.7600462,10.4539100805,2.1773586816
,1.9214670641490745,2.23518875502e+15,9.53005235,5.03971295247,1.59562812814
,1.790133130315089,1.65127710843e+15,11.8600407,45.3061322324,1.84284507991
,2.031386465403288,1.58644883534e+15,11.7400413,18.2417899441,2.27810919188
,2.0450302333479957,1.88749217542e+15,10.39004805,7.02688094165,2.01306640099
,1.9693562409952308,2.11861142532e+15,9.800051,5.00565247303,1.71568358053
,1.960012201728637,2.16705005255e+15,9.6600517,4.69012495698,1.67622539555
,2.4620220163068742,1.48668594378e+15,11.33004335,3.11793511649,3.17952791578
,2.7786076901065675,1.11922891566e+15,13.3000335,4.51381852717,4.76875238365
,2.7462596302157407,1.13818473896e+15,13.2400338,4.76706894556,4.63419880908
,2.770102216349686,1.10679518072e+15,13.3600332,4.65338040762,4.74154895472
,2.752793670381756,1.13818473896e+15,13.3200334,4.70617831144,4.65948156628
,2.1164515785809925,1.78249969949e+15,10.77004615,6.16294417509,2.18588127804
,2.1439969236199623,1.75067914652e+15,10.8600457,5.69898280795,2.24998811298
,2.2314240983833664,1.65424598296e+15,11.09004455,4.99438064804,2.494935747
,2.2081955972883134,1.70385912484e+15,10.89004555,4.82623662621,2.40781813241
,2.187990365885984,1.76239428918e+15,10.61004695,4.67529749538,2.33077811562
,2.162713317415178,1.68716191495e+15,11.1200444,6.59846067048,2.35285093029
,2.239730408113413,1.60434621421e+15,11.3200434,5.87468076483,2.57421420695
,2.169321871648255,1.76084845899e+15,10.6800466,5.13704472266,2.29738727549
,2.239977308082986,1.57738040877e+15,11.4800426,6.38465442799,2.60090835317
,2.189734508654024,1.73020583249e+15,10.77004615,5.0325648736,2.35981864174
,2.106958762123006,1.83824324357e+15,10.53004735,5.42912335297,2.12214148783
,1.972714451824085,2.02935058112e+15,10.13004935,6.46193889589,1.78160337092
,2.098890864576598,1.90251111707e+15,10.25004875,4.78113754222,2.06214623413
,2.05352329435006,1.98758045381e+15,10.05004975,4.62943316208,1.92305795032
,2.1558447937915606,1.78541929692e+15,10.63004685,4.93066963808,2.24704675095
,2.0490849683869055,2.0006626506e+15,10.00005,4.43418612054,1.90527705107
,1.92368236649423,1.44579955896e+15,10.200049,12.9653379634,1.84408444948
