EoS,M,rhoc,R,Lambda,I 
AP4_LAL,1.338,8.80780512893e+14,11.4326596105,350.267317848,1.24138180352
APR4_EPP,1.338,8.89663640983e+14,11.3325450723,343.0847905,1.22461647059
APR_LAL,1.338,8.90643496531e+14,11.3634079891,332.606787921,1.2243088151
BHF_BBB2_LAL,1.338,1.00242107791e+15,11.2384146639,301.738489589,1.19330289216
H3_LAL,1.338,5.91232524465e+14,13.9267436987,1148.96939139,1.70653710184
H4_LAL,1.338,5.43618101711e+14,13.69003155,1201.59766659,1.72659630609
HQC18_LAL,1.338,8.76672227988e+14,11.5162263799,357.712578576,1.23595421963
KDE0V1_LAL,1.338,9.12127079316e+14,11.6980959192,370.833902565,1.25483569709
KDE0V_LAL,1.338,9.45476958873e+14,11.4868639001,343.026580172,1.22429435923
MPA1_LAL,1.338,6.56408691191e+14,12.4368966741,651.240184153,1.45406138423
MS1B_LAL,1.338,4.38706753875e+14,14.5197478927,2024.8856829,1.89537390476
MS1B_PP,1.338,4.34372724934e+14,14.4941637554,2001.94790539,1.88044265128
MS1_LAL,1.338,4.29036638541e+14,14.8773782808,2068.68948386,1.94942343124
MS1_PP,1.338,4.19723830319e+14,14.9118600006,2147.33363899,1.94735463412
RS_LAL,1.338,6.66742023465e+14,12.9837930063,805.918604557,1.54606415703
SK255_LAL,1.338,6.64675719877e+14,13.2168453976,805.857490515,1.54133406797
SK272_LAL,1.338,6.28508856797e+14,13.3719948579,873.754028464,1.57649827016
SKA_LAL,1.338,6.60897256788e+14,12.9621924,768.014187972,1.52195967158
SKB_LAL,1.338,7.06504235642e+14,12.2150823564,658.343698093,1.44838436005
SKI2_LAL,1.338,5.96598899001e+14,13.5414580912,1059.40887438,1.66159663705
SKI3_LAL,1.338,5.77445788194e+14,13.5940960728,1070.73128266,1.66562125516
SKI4_LAL,1.338,7.06071729777e+14,12.3983142146,653.129749808,1.44626425546
SKI5_LAL,1.338,5.31313018501e+14,14.1420122126,1379.7034879,1.79217075212
SKI6_LAL,1.338,6.90910913597e+14,12.5101024838,661.307612446,1.46313442295
SKMP_LAL,1.338,7.19727396013e+14,12.5502475204,646.971410446,1.45843578404
SKOP_LAL,1.338,8.21705856386e+14,12.2074973872,507.34219381,1.35918576692
SLY230A_LAL,1.338,8.117121236e+14,11.862489441,466.578576396,1.31906733813
SLY2_LAL,1.338,8.44958995296e+14,11.8294746364,444.285927896,1.30078423639
SLY9_LAL,1.338,7.1975441324e+14,12.5077044802,612.090138732,1.43091021629
SLY_LAL,1.338,8.57714019698e+14,11.7667674716,405.499051656,1.28714998286
WFF1_LAL,1.338,1.07021680267e+15,10.41004795,202.216014829,1.08377710651
