rhoc,R,M,Lambda
1205979797979798.0,12.960035199999949,1.506447706599528,348.7354637544995
1237656565656565.5,12.640036799999951,1.518037464169231,262.2962012604182
1269333333333333.2,12.340038299999952,1.5470591674028782,188.7383373209974
1301010101010101.0,12.100039499999953,1.5858053702277137,134.93792397132825
1332686868686868.5,11.880040599999955,1.628837907479772,97.76972875045698
1364363636363636.2,11.720041399999955,1.672757024238659,72.38509798829993
1396040404040404.0,11.560042199999955,1.7156055966968409,54.893493684245136
1427717171717171.8,11.440042799999956,1.7562775719030135,42.627415513848945
1459393939393939.2,11.320043399999957,1.794199713340485,33.84883889923745
1491070707070707.0,11.220043899999958,1.8291170001532555,27.433505004174496
1522747474747474.8,11.140044299999957,1.8611148510743518,22.63244769866461
1554424242424242.5,11.060044699999958,1.89020884766485,18.977633813878917
1586101010101010.0,10.980045099999959,1.9165416804517115,16.145300494595375
1617777777777777.8,10.900045499999958,1.9402978461367575,13.913572050483653
1649454545454545.5,10.84004579999996,1.961668471479133,12.129063851502737
1681131313131313.0,10.780046099999959,1.9808407203701164,10.683045293495804
1712808080808080.8,10.72004639999996,1.9979915323669812,9.497938991654818
1744484848484848.5,10.66004669999996,2.013300852606111,8.514308077005651
1776161616161616.0,10.60004699999996,2.0269804815979193,7.687604667216368
1807838383838383.8,10.56004719999996,2.039109117708055,6.989498695425455
1839515151515151.5,10.50004749999996,2.049823271334264,6.395074812322836
1871191919191919.2,10.46004769999996,2.0592430421187222,5.885087528313697
1902868686868686.8,10.42004789999996,2.0675500711209334,5.442039182789552
1934545454545454.5,10.36004819999996,2.074784912886342,5.0560025695028
1966222222222222.2,10.32004839999996,2.081028317101483,4.719859686631724
1997898989898989.8,10.28004859999996,2.08642551410813,4.421879958464235
2029575757575757.5,10.240048799999961,2.091007114479133,4.158510097683714
2061252525252525.2,10.20004899999996,2.0948389434180053,3.9252411039422457
2092929292929292.8,10.16004919999996,2.0980286061498674,3.7158682711805384
2124606060606060.5,10.120049399999962,2.100582596247054,3.528430588215759
2156282828282828.2,10.080049599999962,2.1025909833191725,3.359112531345492
2187959595959596.0,10.040021000602318,2.1040795293043932,3.2066168015602856
2219636363636363.5,10.020049899999961,2.1051019264347564,3.068380464628527
2251313131313131.2,9.980050099999962,2.1056927851121774,2.9424736231331168
2282989898989899.0,9.940050299999962,2.10589187439117,2.8275329848119215
