rhoc,R,M,Lambda
224000000000000.0,19.999999999999915,0.16370838004194,22647406.723573066
255676767676767.7,18.160009199999926,0.204450310608433,6806825.164267407
287353535353535.4,15.600021999999937,0.26254527285725604,1995006.2751273813
319030303030303.0,14.240028799999942,0.3409772137504368,591053.6855084111
350707070707070.7,13.540032299999947,0.4404264181463118,184702.66771122266
382383838383838.4,13.220033899999947,0.5591670374703702,62615.16447474426
414060606060606.06,13.100034499999948,0.6934963385271069,23327.364157305965
445737373737373.75,13.100034499999948,0.8384697742791383,9574.939177157901
477414141414141.4,13.160034199999949,0.9887342803441511,4314.279114585939
509090909090909.06,13.220033899999947,1.1392547368324124,2119.1848762024974
540767676767676.75,13.280033599999948,1.285802502046772,1125.6874117263483
572444444444444.5,13.320033399999947,1.425175348910946,641.2570118641349
604121212121212.1,13.360033199999947,1.5339675890833748,421.1794318480023
