rhoc,R,M,Lambda
2.240000000000000000e+14,1.999999999999991473e+01,8.466551737115468601e-02,9.078562080943317413e+08
2.556767676767676875e+14,1.999999999999991473e+01,1.002510826987350750e-01,1.715037495124484301e+08
2.873535353535353750e+14,1.924000379999991850e+01,1.449088342061657098e-01,1.673649067544641346e+07
3.190303030303030000e+14,1.406002969999994434e+01,2.252948420201640600e-01,2.271465185944913886e+06
3.507070707070706875e+14,1.266003669999995118e+01,3.394020257284903197e-01,4.128118115566669730e+05
3.823838383838383750e+14,1.232003839999995165e+01,4.887093527098922419e-01,9.085545516747489455e+04
4.140606060606060625e+14,1.240003799999995238e+01,6.732243706642664360e-01,2.327721510382930137e+04
4.457373737373737500e+14,1.262003689999995082e+01,8.893490167977382566e-01,6.811394663514352033e+03
4.774141414141413750e+14,1.292003539999994999e+01,1.129161512470844730e+00,2.255768973063030444e+03
5.090909090909090625e+14,1.310003449999994807e+01,1.278340259829460424e+00,1.240161191068033531e+03
5.407676767676767500e+14,1.312003439999994825e+01,1.294777330223009226e+00,1.163989748372115628e+03
5.724444444444445000e+14,1.312003439999994825e+01,1.307929409346151095e+00,1.105487539712583384e+03
6.041212121212121250e+14,1.314003429999994843e+01,1.318425376133245619e+00,1.059467745360668232e+03
6.357979797979797500e+14,1.314003429999994843e+01,1.326808762916011020e+00,1.022665004989138311e+03
6.674747474747475000e+14,1.314003429999994843e+01,1.333453371971687451e+00,9.928495448614303314e+02
6.991515151515151250e+14,1.314003429999994843e+01,1.338668885825295751e+00,9.683568914730918777e+02
7.308282828282827500e+14,1.314003429999994843e+01,1.342700107005289745e+00,9.481260235955976441e+02
7.625050505050505000e+14,1.312003439999994825e+01,1.345759603842740626e+00,9.312537148346119693e+02
7.941818181818181250e+14,1.312003439999994825e+01,1.347990273363901093e+00,9.171892708811940338e+02
8.258585858585858750e+14,1.312003439999994825e+01,1.349536498853407984e+00,9.053631496307341422e+02
8.575353535353535000e+14,1.310003449999994807e+01,1.350492305546168170e+00,8.954007780421991356e+02
8.892121212121212500e+14,1.310003449999994807e+01,1.350966240664132956e+00,8.870657911890558580e+02
9.208888888888888750e+14,1.308003459999994789e+01,1.351013137466894332e+00,8.800769822141506893e+02
9.525656565656565000e+14,1.308003459999994789e+01,1.350713109458804739e+00,8.741816046756003971e+02
9.842424242424242500e+14,1.306003469999994770e+01,1.350084890442409202e+00,8.693475657722201504e+02
1.015919191919191875e+15,1.304003479999994930e+01,1.349224009538981139e+00,8.652757820411691227e+02
1.047595959595959625e+15,1.304003479999994930e+01,1.348133400176329211e+00,8.619810250482244101e+02
1.079272727272727250e+15,1.302003489999994912e+01,1.346866323075522232e+00,8.593001937442288636e+02
1.110949494949494875e+15,1.294003529999994839e+01,1.335764620049450846e+00,8.434319979150005793e+02
1.142626262626262500e+15,1.280003599999994890e+01,1.322476609939320591e+00,8.132249068673083912e+02
1.174303030303030250e+15,1.268003659999994959e+01,1.311886190688328124e+00,7.719881933215852996e+02
1.205979797979798000e+15,1.252003739999995169e+01,1.303290762044544637e+00,7.164201833871577492e+02
1.237656565656565500e+15,1.236003819999995201e+01,1.297685266462015985e+00,6.468706041616165976e+02
