rhoc,R,M,Lambda
2.240000000000000000e+14,1.999999999999991473e+01,9.140060217774674534e-02,4.179506255856359005e+08
2.556767676767676875e+14,1.999999999999991473e+01,1.186154940889043163e-01,6.089121175093588233e+07
2.873535353535353750e+14,1.708001459999993088e+01,1.700379400425695575e-01,8.699312378494553268e+06
3.190303030303030000e+14,1.400002999999994380e+01,2.426456446063626760e-01,1.802598858385886531e+06
3.507070707070706875e+14,1.288003559999994962e+01,3.360326171047729460e-01,4.529334574536101427e+05
3.823838383838383750e+14,1.248003759999995133e+01,4.496550369532795188e-01,1.315592716786459205e+05
4.140606060606060625e+14,1.240003799999995238e+01,5.813186469884084051e-01,4.338458437667312683e+04
4.457373737373737500e+14,1.246003769999995114e+01,7.265343074861954076e-01,1.613519029774275987e+04
4.774141414141413750e+14,1.258003709999995046e+01,8.905991014775881398e-01,6.341844575507566333e+03
5.090909090909090625e+14,1.270003649999994977e+01,1.020231603832597367e+00,3.321761222099840325e+03
5.407676767676767500e+14,1.278003609999995049e+01,1.126027101045063761e+00,2.035879120909369249e+03
5.724444444444445000e+14,1.284003579999994926e+01,1.219222610385783057e+00,1.347673955679709934e+03
6.041212121212121250e+14,1.288003559999994962e+01,1.300710268509781109e+00,9.482625711510497695e+02
6.357979797979797500e+14,1.290003549999994981e+01,1.369998422118996917e+00,7.058507312680521864e+02
6.674747474747475000e+14,1.290003549999994981e+01,1.438363224193530909e+00,5.276773792568861836e+02
6.991515151515151250e+14,1.290003549999994981e+01,1.501529512196335014e+00,4.030762409087277547e+02
7.308282828282827500e+14,1.288003559999994962e+01,1.555939623859684540e+00,3.190509789493176527e+02
7.625050505050505000e+14,1.286003569999994944e+01,1.605635165419014854e+00,2.569272983758476698e+02
7.941818181818181250e+14,1.284003579999994926e+01,1.656207208986927748e+00,2.053045490480016610e+02
8.258585858585858750e+14,1.280003599999994890e+01,1.700086070049254605e+00,1.683572514852735367e+02
8.575353535353535000e+14,1.276003619999995031e+01,1.738249211849745457e+00,1.411042339498690126e+02
8.892121212121212500e+14,1.270003649999994977e+01,1.773076244922991096e+00,1.195734233167377312e+02
9.208888888888888750e+14,1.266003669999995118e+01,1.807196677308417598e+00,1.011398302124714093e+02
9.525656565656565000e+14,1.260003699999995064e+01,1.836908681012100697e+00,8.699655876984508041e+01
9.842424242424242500e+14,1.256003719999995027e+01,1.862790414009282136e+00,7.592423736817264057e+01
1.015919191919191875e+15,1.250003749999995151e+01,1.885410540321451833e+00,6.709511470866172544e+01
1.047595959595959625e+15,1.246003769999995114e+01,1.905107163899819156e+00,5.995652131462605894e+01
1.079272727272727250e+15,1.240003799999995238e+01,1.922170740902220398e+00,5.413322224765315838e+01
1.110949494949494875e+15,1.236003819999995201e+01,1.936915996737478718e+00,4.931621800460789018e+01
1.142626262626262500e+15,1.230003849999995147e+01,1.949649889794646151e+00,4.527532553246542335e+01
1.174303030303030250e+15,1.226003869999995288e+01,1.960630690189277603e+00,4.185152882491720305e+01
1.205979797979798000e+15,1.220003899999995234e+01,1.970080161558928511e+00,3.892157244416176098e+01
1.237656565656565500e+15,1.216003919999995198e+01,1.978201105790715619e+00,3.639361056265150296e+01
1.269333333333333250e+15,1.212003939999995339e+01,1.985439547341487199e+00,3.408328128295417514e+01
1.301010101010101000e+15,1.206003969999995284e+01,1.992379017605207858e+00,3.181050655174465902e+01
1.332686868686868500e+15,1.202003989999995248e+01,1.998151896231210367e+00,2.983322108387864802e+01
1.364363636363636250e+15,1.196004019999995371e+01,2.002942384986558633e+00,2.810096247044027251e+01
1.396040404040404000e+15,1.192004039999995335e+01,2.006861831527096740e+00,2.657234418747194837e+01
1.427717171717171750e+15,1.186004069999995458e+01,2.010040650244317106e+00,2.521840875631548329e+01
1.459393939393939250e+15,1.182004089999995422e+01,2.012541818653892367e+00,2.400982442073846812e+01
1.491070707070707000e+15,1.178004109999995386e+01,2.014452834848771356e+00,2.292843146613216021e+01
1.522747474747474750e+15,1.174004129999995527e+01,2.015843279016448442e+00,2.195384235133164808e+01
1.554424242424242500e+15,1.168004159999995473e+01,2.016855600088406586e+00,2.097523155289080066e+01
1.586101010101010000e+15,1.164004179999995436e+01,2.017413872436903954e+00,2.003531977594542468e+01
1.617777777777777750e+15,1.158004209999995560e+01,2.017524333873085496e+00,1.918849206929243678e+01
1.649454545454545500e+15,1.154004229999995523e+01,2.017239538316534908e+00,1.842110810827055190e+01
1.681131313131313000e+15,1.150004249999995665e+01,2.016604124380067198e+00,1.772422390677274251e+01
1.712808080808080750e+15,1.146004269999995628e+01,2.015680655540639687e+00,1.708966416680528866e+01
1.744484848484848500e+15,1.140004299999995574e+01,2.014491645032983058e+00,1.650870509496117933e+01
1.776161616161616000e+15,1.136004319999995715e+01,2.013067933187512981e+00,1.597651919429489809e+01
1.807838383838383750e+15,1.132004339999995679e+01,2.011437362627515046e+00,1.548615052611246767e+01
1.839515151515151500e+15,1.128004359999995643e+01,2.009620013959314111e+00,1.503418594827387444e+01
1.871191919191919250e+15,1.124004379999995784e+01,2.007635650353580381e+00,1.461207772968738006e+01
1.902868686868686750e+15,1.120004399999995748e+01,2.005105760565155215e+00,1.415283546454778474e+01
1.934545454545454500e+15,1.116004419999995712e+01,2.002406066669460749e+00,1.373116385000732009e+01
1.966222222222222250e+15,1.112004439999995675e+01,1.999589854099813380e+00,1.334110695397962232e+01
1.997898989898989750e+15,1.108004459999995817e+01,1.996657891600105872e+00,1.297999837732660211e+01
2.029575757575757500e+15,1.104004479999995780e+01,1.993632198445800752e+00,1.264525955291869863e+01
2.061252525252525250e+15,1.100004499999995744e+01,1.990537209698515220e+00,1.233397460808070889e+01
2.092929292929292750e+15,1.096004519999995885e+01,1.987382732022994647e+00,1.204395521869939856e+01
2.124606060606060500e+15,1.092004539999995849e+01,1.984156453547361254e+00,1.177289719321263028e+01
2.156282828282828250e+15,1.088004559999995813e+01,1.980886423215473036e+00,1.151956268749662726e+01
2.187959595959596000e+15,1.086004569999995795e+01,1.977594584314466442e+00,1.128312118368384098e+01
2.219636363636363500e+15,1.082004589999995936e+01,1.974271388097975866e+00,1.106085232346471869e+01
2.251313131313131250e+15,1.078004609999995900e+01,1.970917706970231720e+00,1.085216566296827523e+01
2.282989898989899000e+15,1.076004619999995882e+01,1.967406897295496337e+00,1.064793632501013043e+01
2.314666666666666500e+15,1.072004639999996023e+01,1.963379285440130628e+00,1.042866176994710514e+01
2.346343434343434000e+15,1.068004659999995987e+01,1.959326415685059386e+00,1.022382173398822403e+01
2.378020202020202000e+15,1.064004679999995950e+01,1.955287844714401757e+00,1.003128363341043183e+01
2.409696969696970000e+15,1.060004699999995914e+01,1.951261757428057519e+00,9.850272057314606755e+00
2.441373737373737000e+15,1.058004709999996074e+01,1.947233452669831610e+00,9.679935884927015621e+00
2.473050505050505000e+15,1.054004729999996037e+01,1.943223160339170974e+00,9.519898343165641208e+00
2.504727272727272500e+15,1.050004749999996001e+01,1.939245142228573471e+00,9.368369293508845175e+00
2.536404040404040500e+15,1.048004759999995983e+01,1.935280255650031256e+00,9.225583309470492210e+00
2.568080808080808000e+15,1.044004779999995947e+01,1.931334131242454122e+00,9.090431685786414917e+00
2.599757575757575500e+15,1.042004789999995928e+01,1.927425981283168221e+00,8.962310507128664838e+00
2.631434343434343500e+15,1.038004809999996070e+01,1.923539471639456044e+00,8.841275525312294548e+00
2.663111111111111000e+15,1.036004819999996052e+01,1.919692521714749356e+00,8.726239879359534157e+00
2.694787878787878500e+15,1.034004829999996034e+01,1.915870199183623113e+00,8.617437552997589734e+00
2.726464646464646500e+15,1.030004849999995997e+01,1.912084599904792848e+00,8.513920543373814098e+00
2.758141414141414000e+15,1.028004859999995979e+01,1.908326966271669090e+00,8.415512135536035387e+00
2.789818181818181500e+15,1.026004869999995961e+01,1.904177094031525685e+00,8.311293190914639695e+00
2.821494949494949500e+15,1.022004889999996102e+01,1.899788284834122765e+00,8.205581868855723826e+00
2.853171717171717000e+15,1.020004899999996084e+01,1.895438942320555542e+00,8.105695778587652001e+00
2.884848484848485000e+15,1.016004919999996048e+01,1.891132225931097421e+00,8.011100915792386701e+00
2.916525252525252500e+15,1.014004929999996030e+01,1.886876018666136190e+00,7.920517038158411793e+00
2.948202020202020000e+15,1.012004939999996189e+01,1.882683837050135534e+00,7.835479911216328475e+00
2.979878787878788000e+15,1.008004959999996153e+01,1.878534101258666933e+00,7.754007911000130093e+00
3.011555555555555500e+15,1.006004969999996135e+01,1.874418169170313897e+00,7.676760262676634028e+00
3.043232323232323000e+15,1.004004979999996117e+01,1.870370662056288324e+00,7.603080242488641005e+00
3.074909090909091000e+15,1.000004999999996080e+01,1.866369770011395923e+00,7.532713876662937125e+00
3.106585858585858500e+15,9.980050099999962399e+00,1.862419540607554547e+00,7.465852594596026570e+00
3.138262626262626000e+15,9.960050199999962217e+00,1.858507327242228335e+00,7.401908351215375603e+00
3.169939393939394000e+15,9.940050299999962036e+00,1.854649700111186794e+00,7.340979411350556205e+00
3.201616161616161500e+15,9.920050399999961854e+00,1.850837301874137752e+00,7.282949017168766304e+00
3.233292929292929000e+15,9.900050499999961673e+00,1.847072347344292487e+00,7.227129238634195652e+00
3.264969696969697000e+15,9.880050599999961491e+00,1.843362195175172413e+00,7.173981083862182473e+00
3.296646464646464500e+15,9.840050799999962905e+00,1.839688614677877254e+00,7.123344425452458495e+00
3.328323232323232000e+15,9.820050899999962724e+00,1.836058183828891632e+00,7.074715149513690626e+00
3.360000000000000000e+15,9.800050999999962542e+00,1.832482788666306872e+00,7.028436704163722126e+00
