rhoc,R,M,Lambda
2.240000000000000000e+14,1.999999999999991473e+01,9.376044201683060575e-02,3.503873803794730902e+08
2.556767676767676875e+14,1.999999999999991473e+01,1.170587524688181946e-01,6.873674544394607842e+07
2.873535353535353750e+14,1.882000589999992002e+01,1.537619595989497823e-01,1.423433678928716667e+07
3.190303030303030000e+14,1.512002439999993975e+01,2.028641987251010581e-01,3.836300333735771943e+06
3.507070707070706875e+14,1.348003259999994619e+01,2.636544827330892793e-01,1.199958403017743491e+06
3.823838383838383750e+14,1.270003649999994977e+01,3.351505594087432205e-01,4.209743709992163349e+05
4.140606060606060625e+14,1.232003839999995165e+01,4.153701580530186344e-01,1.644037891000460368e+05
4.457373737373737500e+14,1.214003929999995357e+01,5.009805104495052008e-01,7.157563549981529650e+04
4.774141414141413750e+14,1.206003969999995284e+01,5.965208147761417168e-01,3.251904577757827428e+04
5.090909090909090625e+14,1.204003979999995266e+01,6.919751972360902448e-01,1.636567468527110395e+04
5.407676767676767500e+14,1.206003969999995284e+01,7.817830434253452143e-01,9.169389099933850957e+03
5.724444444444445000e+14,1.208003959999995303e+01,8.760097997185171126e-01,5.254262315208922701e+03
6.041212121212121250e+14,1.210003949999995321e+01,9.637027228905237219e-01,3.247060475686794234e+03
6.357979797979797500e+14,1.214003929999995357e+01,1.052994573792852551e+00,2.045410437634357550e+03
6.674747474747475000e+14,1.216003919999995198e+01,1.140304895742565217e+00,1.331300594698188888e+03
6.991515151515151250e+14,1.216003919999995198e+01,1.219078565992850693e+00,9.172781833787580581e+02
7.308282828282827500e+14,1.218003909999995216e+01,1.305520114189437919e+00,6.172807371423210725e+02
7.625050505050505000e+14,1.218003909999995216e+01,1.381198340206267305e+00,4.403820395875293912e+02
7.941818181818181250e+14,1.216003919999995198e+01,1.453420457639312824e+00,3.207058412082843688e+02
8.258585858585858750e+14,1.214003929999995357e+01,1.527752220336949351e+00,2.322761796532950314e+02
8.575353535353535000e+14,1.212003939999995339e+01,1.592561480889108427e+00,1.756693820500215679e+02
8.892121212121212500e+14,1.210003949999995321e+01,1.652308834224931466e+00,1.357591651095484906e+02
9.208888888888888750e+14,1.206003969999995284e+01,1.715500264665503316e+00,1.032153426423882365e+02
9.525656565656565000e+14,1.204003979999995266e+01,1.770346656129260232e+00,8.119642722420124414e+01
9.842424242424242500e+14,1.200003999999995408e+01,1.818009891552426094e+00,6.572551238168721000e+01
1.015919191919191875e+15,1.194004029999995353e+01,1.867860510126071460e+00,5.244879707471873331e+01
1.047595959595959625e+15,1.190004049999995317e+01,1.914325839945600682e+00,4.229974721607919008e+01
1.079272727272727250e+15,1.184004079999995440e+01,1.954446917328284572e+00,3.495819586207171881e+01
1.110949494949494875e+15,1.180004099999995404e+01,1.989179078903346776e+00,2.949396000440339094e+01
1.142626262626262500e+15,1.174004129999995527e+01,2.025799999674866569e+00,2.449446253521004735e+01
1.174303030303030250e+15,1.168004159999995473e+01,2.058824438655893818e+00,2.057532042842475661e+01
1.205979797979798000e+15,1.162004189999995596e+01,2.087147570428929733e+00,1.760504233204305535e+01
1.237656565656565500e+15,1.156004219999995541e+01,2.111455382400059477e+00,1.530322975802049612e+01
1.269333333333333250e+15,1.150004249999995665e+01,2.134485320286827026e+00,1.330525624088157954e+01
1.301010101010101000e+15,1.144004279999995610e+01,2.157215595654245366e+00,1.149451140626926282e+01
1.332686868686868500e+15,1.136004319999995715e+01,2.176373216630180352e+00,1.007767659369954494e+01
1.364363636363636250e+15,1.130004349999995661e+01,2.192581733318538895e+00,8.948470748593507551e+00
1.396040404040404000e+15,1.124004379999995784e+01,2.206270248037473181e+00,8.033804247776267005e+00
1.427717171717171750e+15,1.118004409999995730e+01,2.219133750002060257e+00,7.196990628649022170e+00
1.459393939393939250e+15,1.112004439999995675e+01,2.231297769788003649e+00,6.419862325688031390e+00
1.491070707070707000e+15,1.106004469999995798e+01,2.241211007467573069e+00,5.788973485352402193e+00
1.522747474747474750e+15,1.098004509999995904e+01,2.249269285855993061e+00,5.269520081009352097e+00
1.554424242424242500e+15,1.094004529999995867e+01,2.255750548455839333e+00,4.836237484616130011e+00
1.586101010101010000e+15,1.088004559999995813e+01,2.260895230726679639e+00,4.470787019118029448e+00
1.617777777777777750e+15,1.080004599999995918e+01,2.265787891812255594e+00,4.087249551202195796e+00
1.649454545454545500e+15,1.074004629999995863e+01,2.269425621115402247e+00,3.757718256993522576e+00
1.681131313131313000e+15,1.068004659999995987e+01,2.271901076939923936e+00,3.480567343796300950e+00
1.712808080808080750e+15,1.062004689999995932e+01,2.273417753601383318e+00,3.244960839149618526e+00
1.744484848484848500e+15,1.058004709999996074e+01,2.274123910925226699e+00,3.042790687352811663e+00
1.776161616161616000e+15,1.052004739999996019e+01,2.274160545956353197e+00,2.867863194812188432e+00
1.807838383838383750e+15,1.046004769999995965e+01,2.273468726769467985e+00,2.690238036900473695e+00
1.839515151515151500e+15,1.040004799999995910e+01,2.272027907368173949e+00,2.523187919283453873e+00
1.871191919191919250e+15,1.034004829999996034e+01,2.270021616576393786e+00,2.379563878045935166e+00
1.902868686868686750e+15,1.027984650324774307e+01,2.267575289297402374e+00,2.255016421210301658e+00
1.934545454545454500e+15,1.024004879999996120e+01,2.264756658034354775e+00,2.146230655236176510e+00
