rhoc,R,M,Lambda
2.240000000000000000e+14,1.658001709999993167e+01,3.044070584805392277e-01,1.734558323682026239e+06
2.556767676767676875e+14,1.548002259999993768e+01,3.966371475836610316e-01,5.230401603559992509e+05
2.873535353535353750e+14,1.494002529999993989e+01,4.973426223068437291e-01,1.853226590807563916e+05
3.190303030303030000e+14,1.464002679999994072e+01,6.032619240794211413e-01,7.510212932429823559e+04
3.507070707070706875e+14,1.450002749999994123e+01,7.145678462941676967e-01,3.335297357916904730e+04
3.823838383838383750e+14,1.440002799999994210e+01,8.320352798398098493e-01,1.574201089661254991e+04
4.140606060606060625e+14,1.434002829999994333e+01,9.451043013522129055e-01,8.233552110621487373e+03
4.457373737373737500e+14,1.430002849999994297e+01,1.059973777675014217e+00,4.507306685487950745e+03
4.774141414141413750e+14,1.428002859999994278e+01,1.166293361725248223e+00,2.679695143249158718e+03
5.090909090909090625e+14,1.424002879999994242e+01,1.262761263309702287e+00,1.710888100793938520e+03
5.407676767676767500e+14,1.420002899999994384e+01,1.346109345257336720e+00,1.175330393113005584e+03
5.724444444444445000e+14,1.416002919999994347e+01,1.418953627986578647e+00,8.508697042130248747e+02
6.041212121212121250e+14,1.412002939999994311e+01,1.480683606908229422e+00,6.476682555291736207e+02
6.357979797979797500e+14,1.406002969999994434e+01,1.537406687431981611e+00,5.030162741000090136e+02
6.674747474747475000e+14,1.400002999999994380e+01,1.592564970304947147e+00,3.922289648715557178e+02
6.991515151515151250e+14,1.394003029999994503e+01,1.639914950891683265e+00,3.157392464440933395e+02
7.308282828282827500e+14,1.386003069999994430e+01,1.680660791497052831e+00,2.609330387733759835e+02
7.625050505050505000e+14,1.378003109999994535e+01,1.722296141172951378e+00,2.136178801802419116e+02
7.941818181818181250e+14,1.372003139999994481e+01,1.759625631254516209e+00,1.776440958023135295e+02
8.258585858585858750e+14,1.364003179999994586e+01,1.791996514072108804e+00,1.506632213636634958e+02
8.575353535353535000e+14,1.356003219999994691e+01,1.820084944071517219e+00,1.299516539973040210e+02
8.892121212121212500e+14,1.348003259999994619e+01,1.847747704998940366e+00,1.116868860788119093e+02
