rhoc,R,M,Lambda
2.240000000000000000e+14,1.999999999999991473e+01,9.179977788559968988e-02,4.124458862953057289e+08
2.556767676767676875e+14,1.999999999999991473e+01,1.121218927724392106e-01,8.891502592478777468e+07
2.873535353535353750e+14,1.996000019999991792e+01,1.447821647598128425e-01,1.873242761542162299e+07
3.190303030303030000e+14,1.564002179999993736e+01,1.886130992385707250e-01,5.128528912066928111e+06
3.507070707070706875e+14,1.374003129999994499e+01,2.425758683733776899e-01,1.651047588702091016e+06
3.823838383838383750e+14,1.280003599999994890e+01,3.054039728519853947e-01,5.993896018770039082e+05
4.140606060606060625e+14,1.232003839999995165e+01,3.749590730909762026e-01,2.433909168352083361e+05
4.457373737373737500e+14,1.208003959999995303e+01,4.513833336616372427e-01,1.069987069112118916e+05
4.774141414141413750e+14,1.194004029999995353e+01,5.382387062835357616e-01,4.844602253369425307e+04
5.090909090909090625e+14,1.190004049999995317e+01,6.258032054143063405e-01,2.425134715329615938e+04
5.407676767676767500e+14,1.188004059999995476e+01,7.252791783870955467e-01,1.213383284342128172e+04
5.724444444444445000e+14,1.190004049999995317e+01,8.267379505892543667e-01,6.458750285813826849e+03
6.041212121212121250e+14,1.194004029999995353e+01,9.301667342671212646e-01,3.605252207013768384e+03
6.357979797979797500e+14,1.198004009999995390e+01,1.036236464818966585e+00,2.078369239081968772e+03
6.674747474747475000e+14,1.202003989999995248e+01,1.141134014571524746e+00,1.251006843613399269e+03
6.991515151515151250e+14,1.206003969999995284e+01,1.243573592138627504e+00,7.829377909176374715e+02
7.308282828282827500e+14,1.208003959999995303e+01,1.347732193672713352e+00,4.968260146064097285e+02
7.625050505050505000e+14,1.210003949999995321e+01,1.438515476463114062e+00,3.388405572297231174e+02
7.941818181818181250e+14,1.212003939999995339e+01,1.540152568204298911e+00,2.231204126793267051e+02
8.258585858585858750e+14,1.212003939999995339e+01,1.627414152040219664e+00,1.569341539017216860e+02
8.575353535353535000e+14,1.212003939999995339e+01,1.710583856909742906e+00,1.124958397918657198e+02
8.892121212121212500e+14,1.210003949999995321e+01,1.793803193194879908e+00,8.067665575419367485e+01
9.208888888888888750e+14,1.208003959999995303e+01,1.864572013110417315e+00,6.071861885420463523e+01
9.525656565656565000e+14,1.204003979999995266e+01,1.929752371119509924e+00,4.657166205036922690e+01
9.842424242424242500e+14,1.202003989999995248e+01,1.990258696019595375e+00,3.622027178482901633e+01
