rhoc,R,M,Lambda
2.240000000000000000e+14,1.620001899999993356e+01,2.833958536799643380e-01,2.033030425726241432e+06
2.556767676767676875e+14,1.494002529999993989e+01,4.051650651957300342e-01,4.340971070324039320e+05
2.873535353535353750e+14,1.452002739999994141e+01,5.492264940127125072e-01,1.147691937069169653e+05
3.190303030303030000e+14,1.444002779999994246e+01,7.127091266624357990e-01,3.562065575114308012e+04
3.507070707070706875e+14,1.448002759999994105e+01,8.905856250605399538e-01,1.264900267998109121e+04
3.823838383838383750e+14,1.456002719999994177e+01,1.075666792493700452e+00,5.074966823791442948e+03
4.140606060606060625e+14,1.466002669999994090e+01,1.259141502346481589e+00,2.289809526475242819e+03
4.457373737373737500e+14,1.476002619999994003e+01,1.451698224459291753e+00,1.075864004048505876e+03
4.774141414141413750e+14,1.482002589999994058e+01,1.632507104271211817e+00,5.571963684456840156e+02
5.090909090909090625e+14,1.486002569999994094e+01,1.793017627242278200e+00,3.195946161404530130e+02
5.407676767676767500e+14,1.486002569999994094e+01,1.939482414654808862e+00,1.948962476574494076e+02
5.724444444444445000e+14,1.486002569999994094e+01,2.058211965539546551e+00,1.308001481410642555e+02
6.041212121212121250e+14,1.482002589999994058e+01,2.173653681696587014e+00,8.832652201470587272e+01
6.357979797979797500e+14,1.476002619999994003e+01,2.270833793263166367e+00,6.300688573770219136e+01
6.674747474747475000e+14,1.470002649999994127e+01,2.356323605063816551e+00,4.632158657793081602e+01
6.991515151515151250e+14,1.462002689999994054e+01,2.435538605366144971e+00,3.439725924843080662e+01
7.308282828282827500e+14,1.454002729999994159e+01,2.498621183519582178e+00,2.680155820443044234e+01
7.625050505050505000e+14,1.444002779999994246e+01,2.557661777147010707e+00,2.089800712384020898e+01
7.941818181818181250e+14,1.432002839999994315e+01,2.608167351163246828e+00,1.662757974074178335e+01
8.258585858585858750e+14,1.422002889999994224e+01,2.647988726794921810e+00,1.368134865978760395e+01
8.575353535353535000e+14,1.412002939999994311e+01,2.683971221751066949e+00,1.127096781191440478e+01
8.892121212121212500e+14,1.400002999999994380e+01,2.714681135642731391e+00,9.376982316294958153e+00
9.208888888888888750e+14,1.388003059999994449e+01,2.738199672960570208e+00,8.000948956225405695e+00
9.525656565656565000e+14,1.378003109999994535e+01,2.755769176993798197e+00,6.988752373950379848e+00
9.842424242424242500e+14,1.372003139999994481e+01,2.765809241500059024e+00,6.386716432997762816e+00
1.015919191919191875e+15,1.364003179999994586e+01,2.772929196615419922e+00,5.901840615147762037e+00
1.047595959595959625e+15,1.358003209999994532e+01,2.777623411173339996e+00,5.504579970856114279e+00
1.079272727272727250e+15,1.352003239999994655e+01,2.780297133365515094e+00,5.174669387295914191e+00
1.110949494949494875e+15,1.346003269999994600e+01,2.781294974311681489e+00,4.896689842700831186e+00
1.142626262626262500e+15,1.340003299999994724e+01,2.780906331244927365e+00,4.660389279407410434e+00
1.174303030303030250e+15,1.334003329999994669e+01,2.779474350564656859e+00,4.463282652721280996e+00
1.205979797979798000e+15,1.330003349999994811e+01,2.777287691313731877e+00,4.306086037585085791e+00
1.237656565656565500e+15,1.324003379999994756e+01,2.774371459541721485e+00,4.169906860730955067e+00
