rhoc,R,M,Lambda
2.240000000000000000e+14,1.600001999999993529e+01,3.709426287300751635e-01,7.935849890541683417e+05
2.556767676767676875e+14,1.530002349999993783e+01,5.053016953273257172e-01,2.027279937040859950e+05
2.873535353535353750e+14,1.506002469999993920e+01,6.583412605999019451e-01,6.135868977964091027e+04
3.190303030303030000e+14,1.502002489999993884e+01,8.245811591776828209e-01,2.148162805088235109e+04
3.507070707070706875e+14,1.504002479999993902e+01,1.001305682778083517e+00,8.393856003402286660e+03
3.823838383838383750e+14,1.508002459999993938e+01,1.180029744484772047e+00,3.663194633749611057e+03
4.140606060606060625e+14,1.512002439999993975e+01,1.352410984212771394e+00,1.782513923543385317e+03
4.457373737373737500e+14,1.516002419999993833e+01,1.522092749104139608e+00,9.257011400630814251e+02
4.774141414141413750e+14,1.518002409999993851e+01,1.687300577609852414e+00,5.066226950395443964e+02
5.090909090909090625e+14,1.516002419999993833e+01,1.830620197524643666e+00,3.061921792154295190e+02
5.407676767676767500e+14,1.514002429999993815e+01,1.970403725009797880e+00,1.889884209902572820e+02
5.724444444444445000e+14,1.510002449999993956e+01,2.083987280192010072e+00,1.278303243634395869e+02
6.041212121212121250e+14,1.504002479999993902e+01,2.196571065446259574e+00,8.631601179460363937e+01
6.357979797979797500e+14,1.496002519999994007e+01,2.290197782649058489e+00,6.181756028959822657e+01
6.674747474747475000e+14,1.486002569999994094e+01,2.374522402316419978e+00,4.528006821214496114e+01
6.991515151515151250e+14,1.476002619999994003e+01,2.451081608635634623e+00,3.371091162153649634e+01
7.308282828282827500e+14,1.468002659999994108e+01,2.512101535064818592e+00,2.631756940062299321e+01
7.625050505050505000e+14,1.456002719999994177e+01,2.570876667720138897e+00,2.041133377252634062e+01
7.941818181818181250e+14,1.444002779999994246e+01,2.619652876647975859e+00,1.626934590224985300e+01
8.258585858585858750e+14,1.432002839999994315e+01,2.658090017185163578e+00,1.340591940389419889e+01
8.575353535353535000e+14,1.420002899999994384e+01,2.694105265671143279e+00,1.097864473205540392e+01
8.892121212121212500e+14,1.408002959999994452e+01,2.723569933044880820e+00,9.149436781953456332e+00
9.208888888888888750e+14,1.396003019999994343e+01,2.746056464375632444e+00,7.817980794076724749e+00
9.525656565656565000e+14,1.386003069999994430e+01,2.761937758513596464e+00,6.887682372865033820e+00
9.842424242424242500e+14,1.380003099999994554e+01,2.771290592292594113e+00,6.309460678106664666e+00
1.015919191919191875e+15,1.372003139999994481e+01,2.777793175551763749e+00,5.842562900093082767e+00
1.047595959595959625e+15,1.366003169999994604e+01,2.781974063559385257e+00,5.459407939561547352e+00
1.079272727272727250e+15,1.360003199999994550e+01,2.784189663522327773e+00,5.140150645373880778e+00
1.110949494949494875e+15,1.354003229999994673e+01,2.784788384267360417e+00,4.871161663296785349e+00
1.142626262626262500e+15,1.348003259999994619e+01,2.784073096430914607e+00,4.642011576775948889e+00
1.174303030303030250e+15,1.342003289999994742e+01,2.782455599622474018e+00,4.460573848692362731e+00
1.205979797979798000e+15,1.338003309999994705e+01,2.780239720618740140e+00,4.318782723727867534e+00
1.237656565656565500e+15,1.334003329999994669e+01,2.777362579092912398e+00,4.195710844540409212e+00
1.269333333333333250e+15,1.330003349999994811e+01,2.773927838000647128e+00,4.087883243280160173e+00
1.301010101010101000e+15,1.326003369999994774e+01,2.769999633384705451e+00,3.993568144306712142e+00
1.332686868686868500e+15,1.322003389999994738e+01,2.765637748442523858e+00,3.910447869925616438e+00
1.364363636363636250e+15,1.318003409999994879e+01,2.760942832330955721e+00,3.837108701078511430e+00
1.396040404040404000e+15,1.314003429999994843e+01,2.755965682934478078e+00,3.771855369827451732e+00
1.427717171717171750e+15,1.310003449999994807e+01,2.750748239898785918e+00,3.714104087505618601e+00
1.459393939393939250e+15,1.306003469999994770e+01,2.745336448213729685e+00,3.662473930012600576e+00
1.491070707070707000e+15,1.304003479999994930e+01,2.739756674874119557e+00,3.616526670618593897e+00
1.522747474747474750e+15,1.300003499999994894e+01,2.734043907555530062e+00,3.575546978340876869e+00
1.554424242424242500e+15,1.296003519999994857e+01,2.727904373590809062e+00,3.536749298777530193e+00
1.586101010101010000e+15,1.294003529999994839e+01,2.721448544935408886e+00,3.501284870782785053e+00
1.617777777777777750e+15,1.290003549999994981e+01,2.714953869310415602e+00,3.470066224372738706e+00
1.649454545454545500e+15,1.288003559999994962e+01,2.708423882124727289e+00,3.442445923103477856e+00
1.681131313131313000e+15,1.284003579999994926e+01,2.701857708584684659e+00,3.418112962887870587e+00
1.712808080808080750e+15,1.282003589999994908e+01,2.695299989594623025e+00,3.397066488851237409e+00
1.744484848484848500e+15,1.278003609999995049e+01,2.688767111215989214e+00,3.378322266128245488e+00
1.776161616161616000e+15,1.276003619999995031e+01,2.682230563123135347e+00,3.362079159575257936e+00
1.807838383838383750e+15,1.272003639999994995e+01,2.675723560777325538e+00,3.348192082328641739e+00
1.839515151515151500e+15,1.270003649999994977e+01,2.669280538485151677e+00,3.336016965575521187e+00
1.871191919191919250e+15,1.268003659999994959e+01,2.662878909548937578e+00,3.325727786230327609e+00
1.902868686868686750e+15,1.264003679999995100e+01,2.656515663758857837e+00,3.316948509809423573e+00
1.934545454545454500e+15,1.262003689999995082e+01,2.650222781850374520e+00,3.309854913560084544e+00
1.966222222222222250e+15,1.260003699999995064e+01,2.643994711561652000e+00,3.303976166145381477e+00
1.997898989898989750e+15,1.258003709999995046e+01,2.637792713142972811e+00,3.299611756238416849e+00
2.029575757575757500e+15,1.256003719999995027e+01,2.631709730629413713e+00,3.296027731228407198e+00
2.061252525252525250e+15,1.254003729999995009e+01,2.625134353911130702e+00,3.293573830596130847e+00
2.092929292929292750e+15,1.249890100856424802e+01,2.618654217213084223e+00,3.292119794888693107e+00
2.124606060606060500e+15,1.248003759999995133e+01,2.612222983930543752e+00,3.291955216447675525e+00
2.156282828282828250e+15,1.246003769999995114e+01,2.605889967743360014e+00,3.292651524699289567e+00
2.187959595959596000e+15,1.244003779999995096e+01,2.599653858229443504e+00,3.294309374826850600e+00
2.219636363636363500e+15,1.242003789999995078e+01,2.593500853351672131e+00,3.296780087677677162e+00
2.251313131313131250e+15,1.240003799999995238e+01,2.587448795008539193e+00,3.300257381501256582e+00
2.282989898989899000e+15,1.238003809999995219e+01,2.581488958804174505e+00,3.304281986680973837e+00
2.314666666666666500e+15,1.236003819999995201e+01,2.575607935327491216e+00,3.309115617782204755e+00
2.346343434343434000e+15,1.234003829999995183e+01,2.569824678178533883e+00,3.314337448159629496e+00
2.378020202020202000e+15,1.232003839999995165e+01,2.564138427587267621e+00,3.320370082597634109e+00
2.409696969696970000e+15,1.230003849999995147e+01,2.558527578609976150e+00,3.326937918019622575e+00
2.441373737373737000e+15,1.228003859999995129e+01,2.553008575228507215e+00,3.333864002435952933e+00
2.473050505050505000e+15,1.228003859999995129e+01,2.547558915278616443e+00,3.341568796829037957e+00
2.504727272727272500e+15,1.226003869999995288e+01,2.542214107603456341e+00,3.349355138686661792e+00
2.536404040404040500e+15,1.224003879999995270e+01,2.536941216860361337e+00,3.357851129078134100e+00
2.568080808080808000e+15,1.222003889999995252e+01,2.531759182740297653e+00,3.366672476913925127e+00
2.599757575757575500e+15,1.220003899999995234e+01,2.526638902709756884e+00,3.375673797711359114e+00
2.631434343434343500e+15,1.220003899999995234e+01,2.521617019642170110e+00,3.385135581295815488e+00
2.663111111111111000e+15,1.218003909999995216e+01,2.516654951152559327e+00,3.395107704421022721e+00
2.694787878787878500e+15,1.216003919999995198e+01,2.511751663832396453e+00,3.405300275801502075e+00
2.726464646464646500e+15,1.214003929999995357e+01,2.506476471418590979e+00,3.416638549133399483e+00
2.758141414141414000e+15,1.214003929999995357e+01,2.501324916595021097e+00,3.428378330368156313e+00
2.789818181818181500e+15,1.212003939999995339e+01,2.496248040904211152e+00,3.440571709623478469e+00
2.821494949494949500e+15,1.210003949999995321e+01,2.491264735224417937e+00,3.452679850073220980e+00
