rhoc,R,M,Lambda
2.240000000000000000e+14,1.999999999999991473e+01,1.212060701088009951e-01,7.497501048216527700e+07
2.556767676767676875e+14,1.999999999999991473e+01,1.552461304228426320e-01,1.803308301357787102e+07
2.873535353535353750e+14,1.648001759999993254e+01,1.971882664687769626e-01,5.553849186655481346e+06
3.190303030303030000e+14,1.464002679999994072e+01,2.453863544933873320e-01,2.019172735190716805e+06
3.507070707070706875e+14,1.366003169999994604e+01,2.979452226230590028e-01,8.357458383670487674e+05
3.823838383838383750e+14,1.306003469999994770e+01,3.586111766358293096e-01,3.601005703595611849e+05
4.140606060606060625e+14,1.270003649999994977e+01,4.223304948515622104e-01,1.702262479264793219e+05
4.457373737373737500e+14,1.248003759999995133e+01,4.859975607084869864e-01,8.877778403659795003e+04
4.774141414141413750e+14,1.234003829999995183e+01,5.585210129340155705e-01,4.607887245502638689e+04
5.090909090909090625e+14,1.224003879999995270e+01,6.260019805076367794e-01,2.665152898281737725e+04
5.407676767676767500e+14,1.218003909999995216e+01,7.018629666833005043e-01,1.521417166532850024e+04
5.724444444444445000e+14,1.214003929999995357e+01,7.698653982675277563e-01,9.575862332459142635e+03
6.041212121212121250e+14,1.212003939999995339e+01,8.470734001740340968e-01,5.865047847228757746e+03
6.357979797979797500e+14,1.210003949999995321e+01,9.169557583890991515e-01,3.867120067122251385e+03
6.674747474747475000e+14,1.206003969999995284e+01,9.886927623741400550e-01,2.575752907978535404e+03
6.991515151515151250e+14,1.204003979999995266e+01,1.060082071376021062e+00,1.750468761506466990e+03
7.308282828282827500e+14,1.202003989999995248e+01,1.123674723177151780e+00,1.256521469711286954e+03
7.625050505050505000e+14,1.200003999999995408e+01,1.193358729695305431e+00,8.830246578409596623e+02
7.941818181818181250e+14,1.198004009999995390e+01,1.257940721371112236e+00,6.423988555490386716e+02
8.258585858585858750e+14,1.196004019999995371e+01,1.315313427860169027e+00,4.867932953690054774e+02
8.575353535353535000e+14,1.192004039999995335e+01,1.376810488498942053e+00,3.629393462204481011e+02
8.892121212121212500e+14,1.188004059999995476e+01,1.434698792616824647e+00,2.761200001100754093e+02
9.208888888888888750e+14,1.186004069999995458e+01,1.486032726603706777e+00,2.169779367169603574e+02
9.525656565656565000e+14,1.182004089999995422e+01,1.534296880380890515e+00,1.729409283693943848e+02
9.842424242424242500e+14,1.178004109999995386e+01,1.584456881519104243e+00,1.365062793250696700e+02
1.015919191919191875e+15,1.174004129999995527e+01,1.628788387018498929e+00,1.105959181555047053e+02
1.047595959595959625e+15,1.168004159999995473e+01,1.667990790692955638e+00,9.161999394951894260e+01
1.079272727272727250e+15,1.164004179999995436e+01,1.704301836724733565e+00,7.675549882040293426e+01
1.110949494949494875e+15,1.160004199999995578e+01,1.742480638482975852e+00,6.348792175856588926e+01
1.142626262626262500e+15,1.154004229999995523e+01,1.776123825946925860e+00,5.352376328607282119e+01
1.174303030303030250e+15,1.150004249999995665e+01,1.805798616345434482e+00,4.586592367481486576e+01
1.205979797979798000e+15,1.144004279999995610e+01,1.832012139805518913e+00,3.986970262103167784e+01
1.237656565656565500e+15,1.140004299999995574e+01,1.858036790666222515e+00,3.453868043433298851e+01
1.269333333333333250e+15,1.134004329999995697e+01,1.883866722196147148e+00,2.980370449863652738e+01
1.301010101010101000e+15,1.128004359999995643e+01,1.906513572733903539e+00,2.606102438007143007e+01
1.332686868686868500e+15,1.122004389999995766e+01,1.926419243701319894e+00,2.305559926202096577e+01
1.364363636363636250e+15,1.118004409999995730e+01,1.943928808658996532e+00,2.060624891301483785e+01
1.396040404040404000e+15,1.112004439999995675e+01,1.959676883672188952e+00,1.853988712170988151e+01
1.427717171717171750e+15,1.106004469999995798e+01,1.976738798269596531e+00,1.643474391550649472e+01
1.459393939393939250e+15,1.100004499999995744e+01,1.991529702012798886e+00,1.471528809996315346e+01
1.491070707070707000e+15,1.094004529999995867e+01,2.004391473535899859e+00,1.329374085267956218e+01
1.522747474747474750e+15,1.090004549999995831e+01,2.015563688142611110e+00,1.210545611163438373e+01
1.554424242424242500e+15,1.084004579999995954e+01,2.025231310317960887e+00,1.110140652102603021e+01
1.586101010101010000e+15,1.080004599999995918e+01,2.033605848605852806e+00,1.024561233203531430e+01
1.617777777777777750e+15,1.074004629999995863e+01,2.042603700591581362e+00,9.330762730555461459e+00
1.649454545454545500e+15,1.068004659999995987e+01,2.050264917765023842e+00,8.551891896841221197e+00
1.681131313131313000e+15,1.062004689999995932e+01,2.056721955736517504e+00,7.889336835154608707e+00
1.712808080808080750e+15,1.056004719999996055e+01,2.062123731948150240e+00,7.320871040669203467e+00
1.744484848484848500e+15,1.052004739999996019e+01,2.066567726667431160e+00,6.829617923854091721e+00
1.776161616161616000e+15,1.046004769999995965e+01,2.070243790233329051e+00,6.401333321325216374e+00
1.807838383838383750e+15,1.042004789999995928e+01,2.073205007593796001e+00,6.025898617287904102e+00
1.839515151515151500e+15,1.036004819999996052e+01,2.076099276982989128e+00,5.612495271466588775e+00
1.871191919191919250e+15,1.030004849999995997e+01,2.078213823608877409e+00,5.251683972162316749e+00
1.902868686868686750e+15,1.026004869999995961e+01,2.079661932491231990e+00,4.937145980001149681e+00
1.934545454545454500e+15,1.020004899999996084e+01,2.080550558481391032e+00,4.660942902721020076e+00
1.966222222222222250e+15,1.016004919999996048e+01,2.080965131495480680e+00,4.416976076438338339e+00
1.997898989898989750e+15,1.012004939999996189e+01,2.080939141694199357e+00,4.200290073599974860e+00
2.029575757575757500e+15,1.008004959999996153e+01,2.080546182468940408e+00,4.006895881558703465e+00
