rhoc,R,M,Lambda
2.240000000000000000e+14,1.999999999999991473e+01,1.208126555624376153e-01,8.310310788765352964e+07
2.424329598921212188e+14,1.999999999999991473e+01,1.360565603740759022e-01,3.970271203099612147e+07
2.608659197842424375e+14,1.999999999999991473e+01,1.536977759456357451e-01,1.977878970415799692e+07
2.792988796763636250e+14,1.834000829999992277e+01,1.736916222501922735e-01,1.040852177418262139e+07
2.977318395684848750e+14,1.662001689999993204e+01,1.959264067272351306e-01,5.733587354303982109e+06
3.161647994606060625e+14,1.544002279999993732e+01,2.201334880326638321e-01,3.281975880821494851e+06
3.345977593527272500e+14,1.458002709999994195e+01,2.463593675615966261e-01,1.934144102564532310e+06
3.530307192448485000e+14,1.396003019999994343e+01,2.744516057342962778e-01,1.171016745362013811e+06
3.714636791369696875e+14,1.350003249999994637e+01,3.043357850414090682e-01,7.262907837766373996e+05
3.898966390290908750e+14,1.314003429999994843e+01,3.356242539070036224e-01,4.624115250310688862e+05
4.083295989212121250e+14,1.288003559999994962e+01,3.687942511090844255e-01,2.992134112335738027e+05
4.267625588133333125e+14,1.266003669999995118e+01,4.032226941984192736e-01,1.978578063464440638e+05
4.451955187054545000e+14,1.250003749999995151e+01,4.388016461563902237e-01,1.334518375490078470e+05
4.636284785975757500e+14,1.238003809999995219e+01,4.754333322331345535e-01,9.164550583642994752e+04
4.820614384896969375e+14,1.228003859999995129e+01,5.130204775534692452e-01,6.398267273403376748e+04
5.004943983818181250e+14,1.220003899999995234e+01,5.514408915095708741e-01,4.536027357480129285e+04
5.189273582739393750e+14,1.214003929999995357e+01,5.905778698582792030e-01,3.262141627266368596e+04
5.373603181660605625e+14,1.208003959999995303e+01,6.303006278687991459e-01,2.377895626710661236e+04
5.557932780581818125e+14,1.204003979999995266e+01,6.704689325933466115e-01,1.755679449727716565e+04
5.742262379503030000e+14,1.200003999999995408e+01,7.109368420796826626e-01,1.312340807153438982e+04
5.926591978424242500e+14,1.198004009999995390e+01,7.515553741087599438e-01,9.925365192548992127e+03
6.110921577345455000e+14,1.196004019999995371e+01,7.921665468601715165e-01,7.592703522841734411e+03
6.295251176266666250e+14,1.194004029999995353e+01,8.326152755505875636e-01,5.872938255579334509e+03
6.479580775187878750e+14,1.192004039999995335e+01,8.727428400608623349e-01,4.592004658963300244e+03
6.663910374109090000e+14,1.190004049999995317e+01,9.125507631476243997e-01,3.625126164792241070e+03
6.848239973030302500e+14,1.190004049999995317e+01,9.524893235042534156e-01,2.879429808129667890e+03
7.032569571951515000e+14,1.188004059999995476e+01,9.917590618979289507e-01,2.309733354557371058e+03
7.216899170872727500e+14,1.188004059999995476e+01,1.030216850601825440e+00,1.870802609544529332e+03
7.401228769793938750e+14,1.186004069999995458e+01,1.068261164802301932e+00,1.525559817658139309e+03
7.585558368715151250e+14,1.184004079999995440e+01,1.105949337780280928e+00,1.251333696481284960e+03
7.769887967636362500e+14,1.184004079999995440e+01,1.142514358462529467e+00,1.035881811260334416e+03
7.954217566557575000e+14,1.182004089999995422e+01,1.178468377590131233e+00,8.627262029359046664e+02
8.138547165478787500e+14,1.180004099999995404e+01,1.213910379506120574e+00,7.220900390020921122e+02
8.322876764400000000e+14,1.180004099999995404e+01,1.247990628732478013e+00,6.097694626518044743e+02
8.507206363321211250e+14,1.178004109999995386e+01,1.281838811550950474e+00,5.163432792949972736e+02
8.691535962242423750e+14,1.176004119999995368e+01,1.314513056489452048e+00,4.403421205850782485e+02
8.875865561163636250e+14,1.174004129999995527e+01,1.346242780599892663e+00,3.776452478375979354e+02
