rhoc,R,M,Lambda
2.240000000000000000e+14,1.999999999999991473e+01,9.858244451464137637e-02,2.406127915314098001e+08
2.398743986306060625e+14,1.999999999999991473e+01,1.079536097095400021e-01,1.252239065206775218e+08
2.557487972612121250e+14,1.999999999999991473e+01,1.196234321037939474e-01,6.312581846736755967e+07
2.716231958918181875e+14,1.999999999999991473e+01,1.338324188038059748e-01,3.174376437520764023e+07
2.874975945224242500e+14,1.942000289999991836e+01,1.504771731284130498e-01,1.659993901967790164e+07
3.033719931530303125e+14,1.720001399999992842e+01,1.696194550791526590e-01,9.073519888569682837e+06
3.192463917836363750e+14,1.568002159999993594e+01,1.914184802479618197e-01,5.095403902729643509e+06
3.351207904142424375e+14,1.464002679999994072e+01,2.155596058991126607e-01,2.943956106429892126e+06
3.509951890448485000e+14,1.388003059999994449e+01,2.423445292916559246e-01,1.732465281528154621e+06
3.668695876754545000e+14,1.332003339999994651e+01,2.714653721450989710e-01,1.042808751214428805e+06
3.827439863060606250e+14,1.292003539999994999e+01,3.026762606701203229e-01,6.428774527973891236e+05
3.986183849366666250e+14,1.262003689999995082e+01,3.364703946320334316e-01,4.020516130306345876e+05
4.144927835672727500e+14,1.240003799999995238e+01,3.721978192520688511e-01,2.569138664162299247e+05
4.303671821978787500e+14,1.224003879999995270e+01,4.097177927429027644e-01,1.675334189051020076e+05
4.462415808284848750e+14,1.212003939999995339e+01,4.488971355790326578e-01,1.113393832699413906e+05
4.621159794590908750e+14,1.204003979999995266e+01,4.895958208548906176e-01,7.531638584982756583e+04
4.779903780896970000e+14,1.198004009999995390e+01,5.316395190219284084e-01,5.181673491823391669e+04
4.938647767203030000e+14,1.194004029999995353e+01,5.748599666325818758e-01,3.622308043996905326e+04
5.097391753509090625e+14,1.192004039999995335e+01,6.190684166339557315e-01,2.570983358932693955e+04
5.256135739815151250e+14,1.190004049999995317e+01,6.640612436544059971e-01,1.851726060979629256e+04
5.414879726121211875e+14,1.190004049999995317e+01,7.096324030005789485e-01,1.352538834331222461e+04
5.573623712427272500e+14,1.190004049999995317e+01,7.555699667428461552e-01,1.001398542115465170e+04
5.732367698733332500e+14,1.190004049999995317e+01,8.016553530536582040e-01,7.512552363487191542e+03
5.891111685039393750e+14,1.192004039999995335e+01,8.476709877609854837e-01,5.708412698260292018e+03
6.049855671345455000e+14,1.192004039999995335e+01,8.934002808754463176e-01,4.391903404164797394e+03
6.208599657651515000e+14,1.194004029999995353e+01,9.392900589867176908e-01,3.408154504897335755e+03
6.367343643957575000e+14,1.194004029999995353e+01,9.849323690532472142e-01,2.670589255416227843e+03
6.526087630263636250e+14,1.196004019999995371e+01,1.029816013034680289e+00,2.116360668089319006e+03
6.684831616569697500e+14,1.198004009999995390e+01,1.073737050136502225e+00,1.695941742237209382e+03
6.843575602875757500e+14,1.198004009999995390e+01,1.117853739046279049e+00,1.365162240794506488e+03
7.002319589181817500e+14,1.198004009999995390e+01,1.160877444349582843e+00,1.109975367735155487e+03
7.161063575487878750e+14,1.200003999999995408e+01,1.202547187511923577e+00,9.119769638668414018e+02
7.319807561793940000e+14,1.200003999999995408e+01,1.244309915775606123e+00,7.515137145506483876e+02
7.478551548100000000e+14,1.200003999999995408e+01,1.284626659207036337e+00,6.252278683165241091e+02
7.637295534406060000e+14,1.200003999999995408e+01,1.323865726812378130e+00,5.239630069258279264e+02
7.796039520712121250e+14,1.200003999999995408e+01,1.362624206464119414e+00,4.409148738982863733e+02
7.954783507018181250e+14,1.200003999999995408e+01,1.399553550187651929e+00,3.746355537662088864e+02
8.113527493324242500e+14,1.200003999999995408e+01,1.436471924948992784e+00,3.187422254135436788e+02
