rhoc,R,M,Lambda
2.240000000000000000e+14,1.750001249999992936e+01,2.898521178497586170e-01,2.352903066454863176e+06
2.378711295627272812e+14,1.672001639999993117e+01,3.251908634068049753e-01,1.359613713171183597e+06
2.517422591254545625e+14,1.614001929999993479e+01,3.637610510795807328e-01,8.011826224156921962e+05
2.656133886881818125e+14,1.570002149999993613e+01,4.051818662371233781e-01,4.831138817741927342e+05
2.794845182509090938e+14,1.538002309999993855e+01,4.489498816949196169e-01,2.989373516491457121e+05
2.933556478136363750e+14,1.512002439999993975e+01,4.948918990143796326e-01,1.894115169507676328e+05
3.072267773763636250e+14,1.494002529999993989e+01,5.423900940146328953e-01,1.231239239199825679e+05
3.210979069390908750e+14,1.480002599999994040e+01,5.910552744824935090e-01,8.202654973174347833e+04
3.349690365018181875e+14,1.470002649999994127e+01,6.402611134035335327e-01,5.604806631366678630e+04
3.488401660645455000e+14,1.462002689999994054e+01,6.901580719141879872e-01,3.907468486373157066e+04
3.627112956272727500e+14,1.456002719999994177e+01,7.399035828056327313e-01,2.786623583569392940e+04
3.765824251900000000e+14,1.450002749999994123e+01,7.892673253358372110e-01,2.028763281988771632e+04
3.904535547527272500e+14,1.446002769999994264e+01,8.380596023336215339e-01,1.505183754070972645e+04
4.043246843154545625e+14,1.444002779999994246e+01,8.860887350511136296e-01,1.136393644415885683e+04
4.181958138781818125e+14,1.440002799999994210e+01,9.331938708229117196e-01,8.718452355012334010e+03
4.320669434409091250e+14,1.438002809999994192e+01,9.792407403594836079e-01,6.789777629879445158e+03
4.459380730036363750e+14,1.436002819999994173e+01,1.024101435876448196e+00,5.361888321374147381e+03
4.598092025663636250e+14,1.434002829999994333e+01,1.067670256771164450e+00,4.289711050519679702e+03
4.736803321290909375e+14,1.432002839999994315e+01,1.109855396954224860e+00,3.474153696480102553e+03
4.875514616918181875e+14,1.430002849999994297e+01,1.150585383841399523e+00,2.846261192799853234e+03
5.014225912545455000e+14,1.428002859999994278e+01,1.189796362336090318e+00,2.357238611798110014e+03
5.152937208172727500e+14,1.426002869999994260e+01,1.227797206050018186e+00,1.969076182130842881e+03
5.291648503800000000e+14,1.424002879999994242e+01,1.264435243200159098e+00,1.659353807799348942e+03
5.430359799427273125e+14,1.422002889999994224e+01,1.299498610464075776e+00,1.411092974091440965e+03
5.569071095054545625e+14,1.420002899999994384e+01,1.333108751348368370e+00,1.209623696205435408e+03
5.707782390681817500e+14,1.418002909999994365e+01,1.365688645087066888e+00,1.042941516765233700e+03
5.846493686309091250e+14,1.414002929999994329e+01,1.396677085444124611e+00,9.063948693560101901e+02
5.985204981936363750e+14,1.412002939999994311e+01,1.426456473649915901e+00,7.924204189597951427e+02
6.123916277563636250e+14,1.410002949999994293e+01,1.455087073160364008e+00,6.965432555195566238e+02
6.262627573190910000e+14,1.408002959999994452e+01,1.482211397558074628e+00,6.164590789952876548e+02
6.401338868818182500e+14,1.404002979999994416e+01,1.508605421604487962e+00,5.473167158627986737e+02
6.540050164445455000e+14,1.402002989999994398e+01,1.533492360007922217e+00,4.891418251747161889e+02
6.678761460072727500e+14,1.398003009999994362e+01,1.557627318066105993e+00,4.384734558548396421e+02
6.817472755700000000e+14,1.396003019999994343e+01,1.580426461283699124e+00,3.952292278764974185e+02
6.956184051327272500e+14,1.392003039999994485e+01,1.602496086432325439e+00,3.572765928722629383e+02
7.094895346954545000e+14,1.390003049999994467e+01,1.623340676738083133e+00,3.245747548398178424e+02
7.233606642581818750e+14,1.386003069999994430e+01,1.643536708026623661e+00,2.955312081620402864e+02
7.372317938209091250e+14,1.384003079999994412e+01,1.662537028576009490e+00,2.703902205780813688e+02
7.511029233836363750e+14,1.380003099999994554e+01,1.681051231558884584e+00,2.477493191109638815e+02
7.649740529463637500e+14,1.378003109999994535e+01,1.698426857160192149e+00,2.280387667956132987e+02
7.788451825090910000e+14,1.374003129999994499e+01,1.715319140534643738e+00,2.102148086186641081e+02
