rhoc,R,M,Lambda
2.240000000000000000e+14,1.999999999999991473e+01,1.130120684974546541e-01,1.166933389997487217e+08
2.371685488764646562e+14,1.999999999999991473e+01,1.232822647182672676e-01,6.584707376318530738e+07
2.503370977529292812e+14,1.999999999999991473e+01,1.352438737663403945e-01,3.723945431922033429e+07
2.635056466293939375e+14,1.999999999999991473e+01,1.489866069156261519e-01,2.141985003597712517e+07
2.766741955058585938e+14,1.886000569999992038e+01,1.645132490057282515e-01,1.268111461487809196e+07
2.898427443823232500e+14,1.722001389999993037e+01,1.817616820550372048e-01,7.722736375452658162e+06
3.030112932587878750e+14,1.602001989999993370e+01,2.010524988338016072e-01,4.767478916173486970e+06
3.161798421352525000e+14,1.512002439999993975e+01,2.220989616011827539e-01,2.998149459493171424e+06
3.293483910117171875e+14,1.444002779999994246e+01,2.449385216990713487e-01,1.915346691641871119e+06
3.425169398881818125e+14,1.390003049999994467e+01,2.700111567728071260e-01,1.232386757304109400e+06
3.556854887646465000e+14,1.350003249999994637e+01,2.969870573886138621e-01,8.035693545289379545e+05
3.688540376411111250e+14,1.318003409999994879e+01,3.258646929686422888e-01,5.306539085265293252e+05
3.820225865175757500e+14,1.294003529999994839e+01,3.566592908912415982e-01,3.546267592912120745e+05
3.951911353940403750e+14,1.274003629999995013e+01,3.893606216264476894e-01,2.396890501345906523e+05
4.083596842705050625e+14,1.260003699999995064e+01,4.239540766077312672e-01,1.637820355073700775e+05
4.215282331469696875e+14,1.248003759999995133e+01,4.604101017345091362e-01,1.130954925112391356e+05
4.346967820234343750e+14,1.240003799999995238e+01,4.986905715803753858e-01,7.888261827450463898e+04
4.478653308998990000e+14,1.234003829999995183e+01,5.386869105791108892e-01,5.558924852736670437e+04
4.610338797763636250e+14,1.230003849999995147e+01,5.802905438581502651e-01,3.957601739409645234e+04
4.742024286528282500e+14,1.228003859999995129e+01,6.234515773842935760e-01,2.844688955452240771e+04
4.873709775292929375e+14,1.226003869999995288e+01,6.680023779390583671e-01,2.064760163358144200e+04
5.005395264057575625e+14,1.226003869999995288e+01,7.137909152969974524e-01,1.513430188526884194e+04
5.137080752822222500e+14,1.226003869999995288e+01,7.606456580990337280e-01,1.120101803610821116e+04
5.268766241586868750e+14,1.226003869999995288e+01,8.083710229557907745e-01,8.371391865802555913e+03
5.400451730351515000e+14,1.228003859999995129e+01,8.567777360485488991e-01,6.317729848233201665e+03
5.532137219116161875e+14,1.230003849999995147e+01,9.056355021495028357e-01,4.814803474739649573e+03
5.663822707880807500e+14,1.232003839999995165e+01,9.548453189012646725e-01,3.703446863790599309e+03
5.795508196645455000e+14,1.234003829999995183e+01,1.005027511509607674e+00,2.862868302296069032e+03
5.927193685410101250e+14,1.236003819999995201e+01,1.055131768915370305e+00,2.234199740883695085e+03
6.058879174174747500e+14,1.238003809999995219e+01,1.104924809974424660e+00,1.760343753276674988e+03
6.190564662939393750e+14,1.240003799999995238e+01,1.154179152113037565e+00,1.400343745202936816e+03
6.322250151704040000e+14,1.242003789999995078e+01,1.204162134489115354e+00,1.117279217086843346e+03
6.453935640468687500e+14,1.244003779999995096e+01,1.253288792068509627e+00,8.999109810420318354e+02
6.585621129233332500e+14,1.246003769999995114e+01,1.301325732377247579e+00,7.317197335676692092e+02
6.717306617997980000e+14,1.246003769999995114e+01,1.349430161772957604e+00,5.973167447984831142e+02
6.848992106762626250e+14,1.248003759999995133e+01,1.396602319610016796e+00,4.912640875645791994e+02
6.980677595527272500e+14,1.250003749999995151e+01,1.442228767956738045e+00,4.078333247334194311e+02
7.112363084291920000e+14,1.250003749999995151e+01,1.487975607884166607e+00,3.392999690523474783e+02
7.244048573056565000e+14,1.252003739999995169e+01,1.532105921005527449e+00,2.847108131278084784e+02
7.375734061821212500e+14,1.252003739999995169e+01,1.575059815535036378e+00,2.404231677161271818e+02
7.507419550585858750e+14,1.252003739999995169e+01,1.617383252324281706e+00,2.038091106386249578e+02
7.639105039350505000e+14,1.252003739999995169e+01,1.657605866334677991e+00,1.743561320455886516e+02
7.770790528115151250e+14,1.252003739999995169e+01,1.697816732584065180e+00,1.492720445105344425e+02
7.902476016879797500e+14,1.252003739999995169e+01,1.735821079930082833e+00,1.289399373669252782e+02
8.034161505644445000e+14,1.252003739999995169e+01,1.773256151027599925e+00,1.116452898487295897e+02
8.165846994409091250e+14,1.252003739999995169e+01,1.808894095315778383e+00,9.733620584201489123e+01
8.297532483173737500e+14,1.252003739999995169e+01,1.843644357106311693e+00,8.513207841907080820e+01
8.429217971938383750e+14,1.250003749999995151e+01,1.876762686489171994e+00,7.489383008155574828e+01
8.560903460703030000e+14,1.250003749999995151e+01,1.908954316087996705e+00,6.609176209129283563e+01
8.692588949467676250e+14,1.248003759999995133e+01,1.939515509629268886e+00,5.865103560119226245e+01
8.824274438232323750e+14,1.248003759999995133e+01,1.969238378146356272e+00,5.217333390781078606e+01
8.955959926996970000e+14,1.246003769999995114e+01,1.997207677635082446e+00,4.668944348426362012e+01
9.087645415761616250e+14,1.244003779999995096e+01,2.024595017916116735e+00,4.183447921063626751e+01
9.219330904526262500e+14,1.242003789999995078e+01,2.050057647223739732e+00,3.773331691366659868e+01
9.351016393290908750e+14,1.240003799999995238e+01,2.075181780753102778e+00,3.403816051999325509e+01
9.482701882055555000e+14,1.240003799999995238e+01,2.098581689275768714e+00,3.088488126281965052e+01
9.614387370820202500e+14,1.238003809999995219e+01,2.121174645889659871e+00,2.807790594156929131e+01
9.746072859584848750e+14,1.236003819999995201e+01,2.142614905481235787e+00,2.561519693969674449e+01
9.877758348349495000e+14,1.234003829999995183e+01,2.162779013444598775e+00,2.346371779912401934e+01
1.000944383711414125e+15,1.232003839999995165e+01,2.182396975733672750e+00,2.151024895175870100e+01
1.014112932587878750e+15,1.230003849999995147e+01,2.200591028917530778e+00,1.981530645846570238e+01
1.027281481464343375e+15,1.226003869999995288e+01,2.218144746719266980e+00,1.827769103449864829e+01
1.040450030340808125e+15,1.224003879999995270e+01,2.234729802754745087e+00,1.690733900456394778e+01
1.053618579217272750e+15,1.222003889999995252e+01,2.250101968996531809e+00,1.570417720188728694e+01
1.066787128093737375e+15,1.220003899999995234e+01,2.265193090859582536e+00,1.458192459615563763e+01
1.079955676970202000e+15,1.218003909999995216e+01,2.279144852544139344e+00,1.359250951699240950e+01
1.093124225846666625e+15,1.214003929999995357e+01,2.292208675419010522e+00,1.270583169445272631e+01
1.106292774723131375e+15,1.212003939999995339e+01,2.304857776374516387e+00,1.188204487255344333e+01
1.119461323599596000e+15,1.210003949999995321e+01,2.316545131477862451e+00,1.114889612928120499e+01
