rhoc,R,M,Lambda
2.240000000000000000e+14,1.620001899999993356e+01,2.827554754050352614e-01,2.084590004423696548e+06
2.332810449929292812e+14,1.570002149999993613e+01,3.139314293503331355e-01,1.328904021631804295e+06
2.425620899858585938e+14,1.534002329999993819e+01,3.470795847833080816e-01,8.624179422569756862e+05
2.518431349787878750e+14,1.508002459999993938e+01,3.816326876496810572e-01,5.723363544570128433e+05
2.611241799717171875e+14,1.488002559999993935e+01,4.175837689075525549e-01,3.872172547751483507e+05
2.704052249646464688e+14,1.474002629999993985e+01,4.551967467182652660e-01,2.657273921342902468e+05
2.796862699575757500e+14,1.462002689999994054e+01,4.943521207378221427e-01,1.848948787445395137e+05
2.889673149505050625e+14,1.454002729999994159e+01,5.348484780322948495e-01,1.304614896499491442e+05
2.982483599434343750e+14,1.448002759999994105e+01,5.766611625986007850e-01,9.323415092499135062e+04
3.075294049363636250e+14,1.444002779999994246e+01,6.197445851154919083e-01,6.740334717107820325e+04
3.168104499292929375e+14,1.442002789999994228e+01,6.640474700639756866e-01,4.925557624702377507e+04
3.260914949222222500e+14,1.442002789999994228e+01,7.095088574778501966e-01,3.635450827932127140e+04
3.353725399151515000e+14,1.440002799999994210e+01,7.560566733646837401e-01,2.708703795500093111e+04
3.446535849080808125e+14,1.442002789999994228e+01,8.035934130654283081e-01,2.036365138911539179e+04
3.539346299010101250e+14,1.442002789999994228e+01,8.520280115719864877e-01,1.544104504790217106e+04
3.632156748939393750e+14,1.444002779999994246e+01,9.012417716952411118e-01,1.180620637883822201e+04
3.724967198868686875e+14,1.446002769999994264e+01,9.511059540931885437e-01,9.100275185406157107e+03
3.817777648797980000e+14,1.448002759999994105e+01,1.001487308877679894e+00,7.070166395348977858e+03
3.910588098727272500e+14,1.450002749999994123e+01,1.052244712744974997e+00,5.535611026148595556e+03
4.003398548656565625e+14,1.452002739999994141e+01,1.103407086140823168e+00,4.363935498562865178e+03
4.096208998585858750e+14,1.454002729999994159e+01,1.155231282442435559e+00,3.457549114925499907e+03
4.189019448515151250e+14,1.456002719999994177e+01,1.207052597574156838e+00,2.759327510344843631e+03
