rhoc,R,M,Lambda
2.240000000000000000e+14,1.792001039999992429e+01,4.723617871812426650e-01,4.524720932648394373e+05
2.332929174807070625e+14,1.764001179999992885e+01,5.003047675252018101e-01,3.372992329850256210e+05
2.425858349614141250e+14,1.740001299999992668e+01,5.292835089639275070e-01,2.529309134373282432e+05
2.518787524421212188e+14,1.720001399999992842e+01,5.593370015683525320e-01,1.906848014565143967e+05
2.611716699228282812e+14,1.700001499999993015e+01,5.905038995055341688e-01,1.444633875348955044e+05
2.704645874035353438e+14,1.684001579999993226e+01,6.228017863363369822e-01,1.099625607720122352e+05
2.797575048842424375e+14,1.670001649999993276e+01,6.562496376722773972e-01,8.406748084769534762e+04
2.890504223649495000e+14,1.656001719999993327e+01,6.908572562324282185e-01,6.453902421022259659e+04
2.983433398456565625e+14,1.644001779999993218e+01,7.266203722706719992e-01,4.975363933124996402e+04
3.076362573263636250e+14,1.634001829999993305e+01,7.635262437967278437e-01,3.851125078748559463e+04
3.169291748070706875e+14,1.624001879999993392e+01,8.015500519934926071e-01,2.992880211907977719e+04
3.262220922877777500e+14,1.616001919999993319e+01,8.406575877323819723e-01,2.335368580323789865e+04
3.355150097684848750e+14,1.608001959999993602e+01,8.808085676337529257e-01,1.829698130135628162e+04
3.448079272491918750e+14,1.602001989999993370e+01,9.219331616394422779e-01,1.439580270797432604e+04
3.541008447298990000e+14,1.596002019999993493e+01,9.639701847817593316e-01,1.137406773707167304e+04
3.633937622106060625e+14,1.590002049999993439e+01,1.006829195396450549e+00,9.025898920834053570e+03
3.726866796913131250e+14,1.584002079999993562e+01,1.050421532762236598e+00,7.195063869701672957e+03
3.819795971720201875e+14,1.580002099999993526e+01,1.094644382857837828e+00,5.761866324740869459e+03
3.912725146527272500e+14,1.576002119999993667e+01,1.139384777015583827e+00,4.636269541768410818e+03
4.005654321334343750e+14,1.572002139999993631e+01,1.184879716220997414e+00,3.742416887288626185e+03
4.098583496141413750e+14,1.570002149999993613e+01,1.231029453255575445e+00,3.031105886311039285e+03
4.191512670948485000e+14,1.566002169999993576e+01,1.277401758460777081e+00,2.467166671810830849e+03
4.284441845755555625e+14,1.564002179999993736e+01,1.323837799872913168e+00,2.018545871600050759e+03
4.377371020562626250e+14,1.560002199999993699e+01,1.370202213994534457e+00,1.660216524926152488e+03
4.470300195369696875e+14,1.558002209999993681e+01,1.417018594589260383e+00,1.369136640709126368e+03
4.563229370176767500e+14,1.556002219999993663e+01,1.463872014644159503e+00,1.133660640008436530e+03
4.656158544983838125e+14,1.552002239999993627e+01,1.510282264748289638e+00,9.438737648039648320e+02
4.749087719790908750e+14,1.550002249999993786e+01,1.556095032357959429e+00,7.903498648391943107e+02
