rhoc,R,M,Lambda
1.326300461040000000e+15,0.000000000000000000e+00,0.000000000000000000e+00,nan
1.346842880625454500e+15,2.660086699999995030e+00,5.203293522863244869e-02,2.163182392923876178e+05
1.367385300210909000e+15,3.620081899999990860e+00,1.338152858154196823e-01,1.562967187844249747e+04
1.387927719796363750e+15,4.300078499999987258e+00,2.246401649830788161e-01,3.543891019965713895e+03
1.408470139381818250e+15,4.820075899999984870e+00,3.178486574238423845e-01,1.274197979662692205e+03
1.429012558967272750e+15,5.220073899999983169e+00,4.084758904444558691e-01,5.958104378963557792e+02
1.449554978552727250e+15,5.560072199999982701e+00,4.975894107472576544e-01,3.222613373111244641e+02
1.470097398138181750e+15,5.860070699999980981e+00,5.813492025588186118e-01,1.958996816720620586e+02
1.490639817723636500e+15,6.100069499999979605e+00,6.595232197494392823e-01,1.294376601678789029e+02
1.511182237309091000e+15,6.300068499999978755e+00,7.359389672450988851e-01,8.943827247476617970e+01
1.531724656894545500e+15,6.480067599999977723e+00,8.066479972864930570e-01,6.510463920904734891e+01
1.552267076480000000e+15,6.640066799999977398e+00,8.719960315624967206e-01,4.937092496183678492e+01
1.572809496065454500e+15,6.780066099999976892e+00,9.323945956261102674e-01,3.868683868382339597e+01
1.593351915650909000e+15,6.900065499999976204e+00,9.897924655183438780e-01,3.095396935490232693e+01
1.613894335236363500e+15,7.020064899999975516e+00,1.045210497434836405e+00,2.512685450276173427e+01
1.634436754821818250e+15,7.120064399999974647e+00,1.096261410266248015e+00,2.083597990717635184e+01
1.654979174407272750e+15,7.200063999999974484e+00,1.143352909262054906e+00,1.759046286473520126e+01
1.675521593992727250e+15,7.280063599999974322e+00,1.186855042501841595e+00,1.507896838395571137e+01
1.696064013578182000e+15,7.340063299999973978e+00,1.227099765263755193e+00,1.309682283573515527e+01
1.716606433163636500e+15,7.400062999999973634e+00,1.264385149800079544e+00,1.150553500752511482e+01
1.737148852749091000e+15,7.460062699999973290e+00,1.300348224535872177e+00,1.016052184520303037e+01
1.757691272334545500e+15,7.520062399999972946e+00,1.335689365082488367e+00,8.994971277114183650e+00
1.778233691920000000e+15,7.560062199999973309e+00,1.368320767097122248e+00,8.037990948030675042e+00
1.798776111505454500e+15,7.600061999999972784e+00,1.398503971354783770e+00,7.242200191080018001e+00
1.819318531090909000e+15,7.640061799999972258e+00,1.426461942552822881e+00,6.573014604950346396e+00
1.839860950676363750e+15,7.660061699999972440e+00,1.452395166565899398e+00,6.004586104697314575e+00
1.860403370261818250e+15,7.700061499999971915e+00,1.476487086224242740e+00,5.517384298009599952e+00
1.880945789847272750e+15,7.720061399999972096e+00,1.498896502256410912e+00,5.096377292069337095e+00
1.901488209432727250e+15,7.740061299999972277e+00,1.519768309279199148e+00,4.729848741472126861e+00
1.922030629018182000e+15,7.760061199999971571e+00,1.539228349944777419e+00,4.408597472873899470e+00
1.942573048603636500e+15,7.780061099999971752e+00,1.557637349200478027e+00,4.121598394590943570e+00
1.963115468189091000e+15,7.800060999999971934e+00,1.576878982238467675e+00,3.837913276874744373e+00
1.983657887774545500e+15,7.820060899999972115e+00,1.594712779726597196e+00,3.588815349885138950e+00
2.004200307360000000e+15,7.840060799999971408e+00,1.611261674670444677e+00,3.368735328826780506e+00
2.024742726945454500e+15,7.840060799999971408e+00,1.626635425442778393e+00,3.173195945365890669e+00
2.045285146530909000e+15,7.860060699999971590e+00,1.640932475176781979e+00,2.998554047169363024e+00
2.065827566116363750e+15,7.860060699999971590e+00,1.654242022576247084e+00,2.841834526080925905e+00
2.086369985701818250e+15,7.860060699999971590e+00,1.666639305114780756e+00,2.700570039736002403e+00
2.106912405287272750e+15,7.880060599999971771e+00,1.678203986733828090e+00,2.572723663520666282e+00
2.127454824872727500e+15,7.880060599999971771e+00,1.688994585256300640e+00,2.456580122976375069e+00
2.147997244458182000e+15,7.880060599999971771e+00,1.699069669054706466e+00,2.350680296784108503e+00
2.168539664043636500e+15,7.880060599999971771e+00,1.708488251098110089e+00,2.253802702050486051e+00
2.189082083629091000e+15,7.880060599999971771e+00,1.717292337309949790e+00,2.164926851121554030e+00
2.209624503214545500e+15,7.880060599999971771e+00,1.725529276557979497e+00,2.083136047707549565e+00
2.230166922800000000e+15,7.880060599999971771e+00,1.733239416802749400e+00,2.007654485203192785e+00
2.250709342385454500e+15,7.880060599999971771e+00,1.740931193741649841e+00,1.933275520717820939e+00
2.271251761970909000e+15,7.880060599999971771e+00,1.748781788014274641e+00,1.858198310339397974e+00
2.291794181556364000e+15,7.880060599999971771e+00,1.756055244195072529e+00,1.789254610490903730e+00
2.312336601141818000e+15,7.880060599999971771e+00,1.762795826440583635e+00,1.725752369915649176e+00
2.332879020727273000e+15,7.880060599999971771e+00,1.769046459814917149e+00,1.667110057708357740e+00
2.353421440312727500e+15,7.880060599999971771e+00,1.774840212799298822e+00,1.612833220791144662e+00
2.373963859898182000e+15,7.880060599999971771e+00,1.780214840128999221e+00,1.562430474289479010e+00
2.394506279483636500e+15,7.860060699999971590e+00,1.785197041182359889e+00,1.515565764386413550e+00
2.415048699069091000e+15,7.860060699999971590e+00,1.789816508148766694e+00,1.471869905744201512e+00
2.435591118654545500e+15,7.860060699999971590e+00,1.794097833908725015e+00,1.431059611730841841e+00
2.456133538240000000e+15,7.860060699999971590e+00,1.798063010128039929e+00,1.392881514138180954e+00
2.476675957825454500e+15,7.860060699999971590e+00,1.801738650225981786e+00,1.357065085716083752e+00
2.497218377410909000e+15,7.840060799999971408e+00,1.805138743006723390e+00,1.323449066228801208e+00
2.517760796996364000e+15,7.840060799999971408e+00,1.808284166382742697e+00,1.291817076757350025e+00
2.538303216581818000e+15,7.840060799999971408e+00,1.811190997842393235e+00,1.262017500464922559e+00
2.558845636167273000e+15,7.820060899999972115e+00,1.813874499830208098e+00,1.233903750167812507e+00
2.579388055752727000e+15,7.820060899999972115e+00,1.816349015603768269e+00,1.207346886706301969e+00
2.599930475338182000e+15,7.820060899999972115e+00,1.818626790516941316e+00,1.182218158027536603e+00
2.620472894923636500e+15,7.800060999999971934e+00,1.820722800381759487e+00,1.158416891111397229e+00
2.641015314509091000e+15,7.800060999999971934e+00,1.822645518524515174e+00,1.135846161260863685e+00
2.661557734094545500e+15,7.800060999999971934e+00,1.824407036225177192e+00,1.114410357072953772e+00
2.682100153680000000e+15,7.780061099999971752e+00,1.826311173227738616e+00,1.090216651518538082e+00
