rhoc,R,M,Lambda
224000000000000.0,19.999999999999915,0.09179977788559969,412445886.2953057
255676767676767.7,19.999999999999915,0.11212189277243921,88915025.92478777
287353535353535.4,19.960000199999918,0.14478216475981284,18732427.615421623
319030303030303.0,15.640021799999937,0.18861309923857073,5128528.912066928
350707070707070.7,13.740031299999945,0.2425758683733777,1651047.588702091
382383838383838.4,12.800035999999949,0.3054039728519854,599389.6018770039
414060606060606.06,12.320038399999952,0.3749590730909762,243390.91683520834
445737373737373.75,12.080039599999953,0.45138333366163724,106998.70691121189
477414141414141.4,11.940040299999954,0.5382387062835358,48446.02253369425
509090909090909.06,11.900040499999953,0.6258032054143063,24251.34715329616
540767676767676.75,11.880040599999955,0.7252791783870955,12133.832843421282
572444444444444.5,11.900040499999953,0.8267379505892544,6458.750285813827
604121212121212.1,11.940040299999954,0.9301667342671213,3605.2522070137684
635797979797979.8,11.980040099999954,1.0362364648189666,2078.3692390819688
667474747474747.5,12.020039899999952,1.1411340145715247,1251.0068436133993
699151515151515.1,12.060039699999953,1.2435735921386275,782.9377909176375
730828282828282.8,12.080039599999953,1.3477321936727134,496.82601460640973
762505050505050.5,12.100039499999953,1.438515476463114,338.8405572297231
794181818181818.1,12.120039399999953,1.540152568204299,223.1204126793267
825858585858585.9,12.120039399999953,1.6274141520402197,156.9341539017217
857535353535353.5,12.120039399999953,1.710583856909743,112.49583979186572
889212121212121.2,12.100039499999953,1.79380319319488,80.67665575419367
920888888888888.9,12.080039599999953,1.8645720131104173,60.718618854204635
952565656565656.5,12.040039799999953,1.92975237111951,46.57166205036923
984242424242424.2,12.020039899999952,1.9902586960195954,36.220271784829016
1015919191919191.9,11.980040099999954,2.0413835172687147,29.12348313877893
1047595959595959.6,11.940040299999954,2.0847147305502536,24.06141866368217
1079272727272727.2,11.900040499999953,2.1256642697583037,19.9481052089902
1110949494949494.9,11.840040799999954,2.1605527247493157,16.872146762072628
1142626262626262.5,11.800040999999954,2.1899528637252845,14.545292568674485
1174303030303030.2,11.760041199999954,2.2147669798293763,12.74125419638282
1205979797979798.0,11.700041499999955,2.237422173037937,11.20177985152114
1237656565656565.5,11.640041799999954,2.2595792915582336,9.78343287438483
1269333333333333.2,11.580042099999956,2.2779161046982717,8.666273784419257
1301010101010101.0,11.540042299999955,2.293092942451177,7.769854568703478
1332686868686868.5,11.480042599999956,2.305621655033449,7.038939933655538
1364363636363636.2,11.420042899999956,2.316248077177188,6.4162248456963145
1396040404040404.0,11.360043199999957,2.326783647626603,5.784640002235229
1427717171717171.8,11.300043499999957,2.3350428953523408,5.267605581177406
1459393939393939.2,11.240043799999958,2.3414616169274676,4.838076757964886
1491070707070707.0,11.180044099999957,2.3463472989815704,4.477079619175928
1522747474747474.8,11.140044299999957,2.3499464039033486,4.170615713172301
1554424242424242.5,11.080044599999958,2.3525751852100485,3.893743241123563
1586101010101010.0,11.020044899999958,2.3544532016089477,3.609834180711287
1617777777777777.8,10.960045199999959,2.355230287954982,3.369355277655856
