rhoc,R,M,Lambda
224000000000000.0,19.999999999999915,0.12081265556243762,83103107.88765353
242432959892121.22,19.999999999999915,0.1360565603740759,39702712.03099612
260865919784242.44,19.999999999999915,0.15369777594563575,19778789.704157997
279298879676363.62,18.340008299999923,0.17369162225019227,10408521.774182621
297731839568484.9,16.620016899999932,0.19592640672723513,5733587.354303982
316164799460606.06,15.440022799999937,0.22013348803266383,3281975.880821495
334597759352727.25,14.580027099999942,0.24635936756159663,1934144.1025645323
353030719244848.5,13.960030199999943,0.2744516057342963,1171016.7453620138
371463679136969.7,13.500032499999946,0.30433578504140907,726290.7837766374
389896639029090.9,13.140034299999948,0.3356242539070036,462411.5250310689
408329598921212.1,12.88003559999995,0.3687942511090844,299213.4112335738
426762558813333.3,12.660036699999951,0.4032226941984193,197857.80634644406
445195518705454.5,12.500037499999952,0.4388016461563902,133451.83754900785
463628478597575.75,12.380038099999952,0.47543333223313455,91645.50583642995
482061438489696.94,12.280038599999951,0.5130204775534692,63982.67273403377
500494398381818.1,12.200038999999952,0.5514408915095709,45360.27357480129
518927358273939.4,12.140039299999954,0.5905778698582792,32621.416272663686
537360318166060.56,12.080039599999953,0.6303006278687991,23778.956267106612
555793278058181.8,12.040039799999953,0.6704689325933466,17556.794497277166
574226237950303.0,12.000039999999954,0.7109368420796827,13123.40807153439
592659197842424.2,11.980040099999954,0.7515553741087599,9925.365192548992
611092157734545.5,11.960040199999954,0.7921665468601715,7592.703522841734
629525117626666.6,11.940040299999954,0.8326152755505876,5872.9382555793345
647958077518787.9,11.920040399999953,0.8727428400608623,4592.0046589633
666391037410909.0,11.900040499999953,0.9125507631476244,3625.126164792241
684823997303030.2,11.900040499999953,0.9524893235042534,2879.429808129668
703256957195151.5,11.880040599999955,0.991759061897929,2309.733354557371
721689917087272.8,11.880040599999955,1.0302168506018254,1870.8026095445293
740122876979393.9,11.860040699999955,1.068261164802302,1525.5598176581393
758555836871515.1,11.840040799999954,1.105949337780281,1251.333696481285
776988796763636.2,11.840040799999954,1.1425143584625295,1035.8818112603344
795421756655757.5,11.820040899999954,1.1784683775901312,862.7262029359047
813854716547878.8,11.800040999999954,1.2139103795061206,722.0900390020921
832287676440000.0,11.800040999999954,1.247990628732478,609.7694626518045
850720636332121.1,11.780041099999954,1.2818388115509505,516.3432792949973
869153596224242.4,11.760041199999954,1.314513056489452,440.34212058507825
887586556116363.6,11.740041299999955,1.3462427805998927,377.64524783759794
906019516008484.8,11.720041399999955,1.3773895394746134,325.03106035129565
924452475900606.0,11.700041499999955,1.4071078415838234,281.83951259143566
942885435792727.2,11.680041599999955,1.4366269180914957,244.68341875644285
961318395684848.5,11.660041699999955,1.464429174715125,214.21360975610904
979751355576969.6,11.640041799999954,1.49224003671834,187.50887135541325
998184315469090.9,11.620041899999956,1.5182822549414843,165.50107293321514
1016617275361212.1,11.600041999999956,1.5442743937553094,146.05596063854557
1035050235253333.2,11.580042099999956,1.5685459028593405,129.907133372715
1053483195145454.5,11.560042199999955,1.5927900523111678,115.48646752915903
1071916155037575.8,11.520042399999955,1.6154447808912262,103.38802459304225
1090349114929696.9,11.500042499999957,1.6378675963876506,92.5905587668459
1108782074821818.1,11.480042599999956,1.6589920004300704,83.37613638860314
1127215034713939.5,11.440042799999956,1.6795910861586143,75.20297504787378
1145647994606060.5,11.420042899999956,1.6992825882318723,68.0682622143103
1164080954498181.8,11.400042999999956,1.718080111329762,61.8270361711471
1182513914390303.0,11.360043199999957,1.7364168277474583,56.21811458763279
1200946874282424.0,11.340043299999957,1.753530737038455,51.38958040313534
1219379834174545.5,11.300043499999957,1.7705081101459605,46.94541910313609
1237812794066666.5,11.280043599999956,1.7864243660055001,43.0744657383255
1256245753958787.8,11.260043699999956,1.801690779450158,39.6077808296211
1274678713850909.0,11.220043899999958,1.8164729900313417,36.466257807304814
1293111673743030.2,11.200043999999957,1.8302422725019787,33.71777920803633
1311544633635151.5,11.160044199999957,1.8438014864232013,31.167994609605493
1329977593527272.5,11.140044299999957,1.856581389199774,28.90008410291296
1348410553419394.0,11.100044499999958,1.8685582884093122,26.884397425443638
1366843513311515.0,11.080044599999958,1.8803951421014289,24.991162650462947
1385276473203636.2,11.040044799999958,1.8913841815241463,23.31585661365221
1403709433095757.5,11.000044999999957,1.9018172428638258,21.795929688838022
1422142392987878.8,10.980045099999959,1.9119752336932347,20.377307448430034
1440575352880000.0,10.940045299999959,1.9214231196278282,19.111613699213343
1459008312772121.2,10.920045399999958,1.9303815376162432,17.952614459970576
