energy_densityc2,pressurec2,baryon_density
7.8171630398,1.12005361920686E-21,7.8518001826
7.8569450199,1.13105919927587E-11,7.901599834
7.9762262104,5.86793572635505E-11,8.0251343404
8.105582142,1.13105926134817E-10,8.1506001992
8.286906446,1.59371929940802E-10,8.3325287457
8.4722006967,2.13954498179619E-10,8.518518097
8.6615534,2.75035363744074E-10,8.7086588938
8.8550551535,3.4024174110214E-10,8.9030437999
9.0527986999,4.07092397097626E-10,9.1017675477
9.2548789816,4.73455478252394E-10,9.3049269839
9.4613931974,5.37923434886036E-10,9.5126211168
9.6724408606,6.00055412530437E-10,9.7249511651
9.8881238585,6.60489979034767E-10,9.9420206063
10.1085465135,7.20973829214934E-10,10.1639352278
10.3338156465,7.84378298466439E-10,10.3908031783
10.5640406412,8.54788851235623E-10,10.6227350206
10.799333511,9.37764415200104E-10,10.859843785
11.0398089672,0.000000001,11.102245025
11.2855844894,1.17480570001228E-09,11.3500568734
11.5367803978,1.35504045105235E-09,11.6034000996
11.7896495072,1.58523257012298E-09,11.8585787874
12.0478617052,1.86716254300607E-09,12.1193692927
12.3115551488,2.21075095497094E-09,12.3858950289
12.5808726995,2.62715812654415E-09,12.6582821235
12.8559620996,3.12853807591708E-09,12.936659478
13.1369761569,3.72756871398233E-09,13.2211588284
13.4240729358,4.4366890794148E-09,13.5119148079
13.7174159571,5.26697912572749E-09,13.8090650106
14.0171744051,6.22663785344527E-09,14.1127500563
14.3235233439,7.31905764887185E-09,14.4231136575
14.6366439426,8.54056142311492E-09,14.7403026871
14.9567237093,9.87796555129378E-09,15.064467248
15.2839567356,1.13062496421981E-08,15.3957607441
15.6185439508,1.27867375760056E-08,15.7343399529
15.9606933875,1.42662948154375E-08,16.0803650998
16.3106204575,1.56780859025257E-08,16.4339999336
16.688663243,1.7147769213907E-08,16.8158586068
17.0755622564,1.87002828901998E-08,17.2065901074
17.4715247648,2.03356599454267E-08,17.6064006037
17.8767628281,2.20537021630102E-08,18.015501054
18.2914934077,2.38540140334352E-08,18.4341073189
18.7159384762,2.57360421111607E-08,18.8624402744
19.1503251309,2.76991193137269E-08,19.3007259289
19.5948857091,2.97425136431349E-08,19.7491955421
20.0498579056,3.18654807878937E-08,20.2080857476
20.5154848934,3.40673200640022E-08,20.677638677
20.9920154466,3.63474331741515E-08,21.1581020883
21.4797040658,3.87053853058177E-08,21.6497294963
21.9788111069,4.1140968149366E-08,22.1527803065
22.4896029117,4.36542644953419E-08,22.6675199517
23.012351942,4.62457141641079E-08,23.1942200325
23.5473369163,4.89161811291049E-08,23.7331584603
24.0948429494,5.16670218157501E-08,24.2846196041
24.6551616953,5.45001546897816E-08,24.8488944403
25.2285914923,5.74181313907157E-08,25.4262807065
25.8154375125,6.04242098171002E-08,26.0170830586
26.4160119132,6.35224297303818E-08,26.6216132312
27.0306339923,6.67176916136487E-08,27.2401902026
27.6596303464,0.00000007,27.8731403626
28.3033350333,7.34237502880827E-08,28.5207976852
28.9620897363,7.69494266311594E-08,29.1835039044
29.6362439336,8.06021019864465E-08,29.8616086948
30.3261550699,8.43923525644988E-08,30.5554698559
31.032188733,8.83322224696303E-08,31.265453501
31.7547188325,9.2435362995488E-08,31.9919342506
32.4941277837,9.67171890051561E-08,32.7352954296
33.2508066945,1.01195055532025E-07,33.4959292697
34.0251555563,1.05888458211626E-07,34.2742371169
34.8175834391,1.10819261709346E-07,35.0706296423
35.6285086906,0.000000116,35.8855270596
36.4583591393,1.21493980817725E-07,36.7193593467
37.3075723022,1.27296020593713E-07,37.5725664719
38.1765955957,1.33452451124696E-07,38.4455986272
39.0658865525,0.00000014,39.3389164646
39.9759130418,0.000000147,40.2529913403
40.9071534942,1.54457011472389E-07,41.1883055624
41.8600971314,1.62465787697979E-07,42.1453526463
42.8352442008,1.71074718406327E-07,43.1246375743
43.8331062146,1.80352829009704E-07,44.1266770627
44.8542061935,1.9037805600247E-07,45.151999834
45.9005627287,2.01106172889057E-07,46.2025100166
46.9715649723,2.12429988724773E-07,47.2774614566
48.067790418,2.24381852777629E-07,48.377422806
49.1898298282,0.000000237,49.5029759478
50.3382875271,2.50307720598132E-07,50.6547163025
51.5137817008,2.64355282303248E-07,51.833253144
52.7169447035,2.791781920362E-07,53.0392099217
53.9484233697,2.94818210632155E-07,54.2732245901
55.2088793332,3.11319272724313E-07,55.5359499464
56.4989893527,3.28727594679233E-07,56.8280539758
57.8194456438,3.47091787545091E-07,58.150220205
59.1709562181,3.6646297522275E-07,59.5031480637
60.5542452289,3.86894918078146E-07,60.8875532544
61.9700533249,4.08444142220889E-07,62.3041681313
63.4191380095,4.31170074682922E-07,63.7537420878
64.9022740092,4.55135184737871E-07,65.2370419525
66.420253648,4.80405131610963E-07,66.7548523952
67.9738872304,0.000000507,68.3079763419
69.5640034319,5.35139055529765E-07,69.8972353995
71.1914496967,5.6475172484625E-07,71.5234702904
72.8570926445,0.000000596,73.1875412975
74.5618184846,6.28868827529158E-07,74.8903287191
76.3065334388,6.63545619915784E-07,76.6327333344
78.0921641725,7.00090054862432E-07,78.4156768804
79.9196582345,7.38599484552434E-07,80.2401025392
81.7899845054,7.79176113417822E-07,82.106975437
83.704133655,8.21927225355272E-07,84.0172831549
85.6631186088,0.000000867,85.9720362511
87.6679750236,9.14408862973417E-07,87.9722687953
89.7197617728,9.64381536797292E-07,90.0190389162
91.8195614401,0.000001017,92.1134293609
93.9684808247,1.07244124149422E-06,94.2565480679
96.1676514545,1.13080781584841E-06,96.449528753
98.4182301107,1.19226330271096E-06,98.693531509
100.7213993616,0.000001257,100.9897434197
103.0783681073,1.32507798802306E-06,103.3393791876
105.4903721349,1.39677503059925E-06,105.7436817768
107.9586746838,1.47223737073211E-06,108.2039230698
110.4845670227,1.55165487982117E-06,110.7214045414
113.069369037,1.63522648575098E-06,113.2974579463
115.7144298276,1.72316057203615E-06,115.9334460238
118.4211283211,1.81567539254102E-06,118.6307632192
121.1908738917,0.000001913,121.3908364207
124.0251069943,2.01537220466335E-06,124.2151257148
126.9252998105,0.000002123,127.1051251585
129.8929569057,2.23627714765948E-06,130.0623635696
132.9296158992,2.3553460054406E-06,133.0884053354
136.0368481464,2.48053770896773E-06,136.1848512406
139.216259434,2.61215262908463E-06,139.3533393137
142.4694906878,2.75050494537023E-06,142.5955456938
145.7982186937,2.89592322377581E-06,145.9131855171
149.2041568321,3.04875101499891E-06,149.3080138244
152.6890558255,3.20934747413688E-06,152.7818264893
156.2547044999,3.37808800216248E-06,156.3364611687
159.9029305601,3.55536490976856E-06,159.973798274
163.6356013792,3.74158810412321E-06,163.6957619669
167.454624802,3.93718579908231E-06,167.5043211765
171.3619499629,4.14260524939745E-06,171.4014906414
175.3595681194,4.35831350945904E-06,175.3893319752
179.4495134988,4.58479821710526E-06,179.469954757
183.6338641619,4.82256840302523E-06,183.6455176478
187.9147428802,5.0721553262732E-06,187.918229532
192.2943180303,5.3341133364048E-06,192.2903506862
196.7748045025,0.000005609,196.7641939747
201.3584646266,5.89748083118726E-06,201.3421260732
206.0476091131,6.2001226092553E-06,206.0265687205
210.8445980109,6.51760197944972E-06,210.82
215.7369845623,6.84974904298097E-06,215.7100185128
220.7416260839,7.19841311126597E-06,220.7134621325
225.8610998065,7.56438970464716E-06,225.8329617807
231.0980429144,7.94851109210696E-06,231.0712094038
236.4551539742,8.35164789701345E-06,236.4309593884
241.9351943996,8.77471076780417E-06,241.9150300098
247.5409899508,9.21865211594876E-06,247.5263049138
253.2754322726,9.68446792359219E-06,253.2677346331
259.1414804687,1.01731996233553E-05,259.1423381386
265.1421627168,1.06859360528348E-05,265.1532044271
271.2805779218,1.12238154864215E-05,271.3034941452
277.5598974111,0.000011788,277.5964412515
283.9833666717,1.23798164011773E-05,284.0353547169
290.5543071299,1.30004810382148E-05,290.623620265
297.2761179757,1.36513796400188E-05,297.3647021516
304.1522780322,1.43339310407334E-05,304.2621449871
311.1863476718,1.5049617481666E-05,311.3195755995
318.3819707794,0.0000158,318.5407049424
325.7428767656,1.65866575012571E-05,325.9293300455
333.2728826289,1.74113169789586E-05,333.4893360116
340.9758950705,1.82757291179432E-05,341.2246980593
348.8559126606,1.91817350517203E-05,349.1394836134
356.9170280604,2.01312568172409E-05,357.2378544435
365.1634302986,2.11263006640865E-05,365.5240688524
373.5994071049,0.000022169,374.0024839153
382.229347303,2.32614213755136E-05,382.6775577705
