logpressurec2,pressurec2,energy_densityc2,baryon_density 
-9.87926604432,5.12258615871e-05,280.000087678,280.0 
-9.46180731947,7.77659160766e-05,364.41581136,364.415678256 
-9.04434859463,0.000118056339432,474.281582631,474.281380566 
-8.62688986978,0.000179221180477,617.270203122,617.269896368 
-8.20943114494,0.000272075448773,803.367708368,803.367242685 
-7.79197242009,0.000413037396741,1045.57077349,1045.57006654 
-7.37451369525,0.00062703155274,1360.79437666,1360.79330344 
-6.9570549704,0.000951895811939,1771.05311011,1771.05148085 
-6.53959624556,0.00144507183542,2304.99863988,2304.9961665 
-6.12213752071,0.00219376173668,2999.92068837,2999.91693354 
-5.70467879587,0.00333034693455,3904.35128609,3904.34558588 
-5.28722007102,0.00505579549458,5081.45417071,5081.44551723 
-4.86976134618,0.00767519678441,6613.43604641,6613.42290957 
-4.45230262133,0.0116517065895,8607.28778295,8607.26783994 
-4.03484389648,0.0176884411255,11202.2565177,11202.2262422 
-3.61738517164,0.0268528002355,14579.5705113,14579.5245501 
-3.19992644679,0.0407652022794,18975.0959435,18975.0261699 
-2.78246772195,0.0618856023322,24695.8096075,24695.7036844 
-2.3650089971,0.0939484551008,32141.2379737,32141.0771719 
-1.94755027226,0.142623031581,41831.3599611,41831.1158481 
-1.53009154741,0.216515844943,54442.9222091,54442.5516214 
-1.11263282257,0.328692432015,70856.703214,70856.1406253 
-0.695174097721,0.498987567824,92219.0274385,92218.1733734 
-0.277715372876,0.757512399409,120021.825832,120020.529276 
0.13974335197,1.14997862123,156206.834659,156204.86636 
0.557202076815,1.74578109919,203301.210649,203298.222577 
0.97466080166,2.65026809196,264594.035004,264589.498816 
1.39211952651,4.02336865861,344366.035204,344359.148822 
1.80957825135,6.10787090264,448188.571285,448178.117077 
2.2270369762,9.27235113876,583312.772356,583296.901836 
2.64449570104,14.076344607,759176.007684,759151.914668 
3.06195442589,21.3692810517,988061.075159,988024.499582 
3.47941315073,32.4406787001,1285954.16158,1285898.63624 
3.89687187558,49.2481535516,1673661.52043,1673577.22748 
4.31433060042,74.7635599942,2178262.89525,2178134.93024 
4.73178932527,113.498466438,2835003.25615,2834808.99262 
5.14924805011,172.301879214,3689755.0604,3689460.14919 
5.56670677496,261.571266225,4802223.14243,4801775.43808 
5.98416549981,397.09101042,6250116.27762,6249436.61821 
6.40162422465,602.823363714,8134577.08989,8133545.29979 
6.8190829495,915.145390611,10587250.0273,10585683.668 
7.23654167434,1389.28106701,13779481.794,13777103.906 
7.65400039919,2109.06584128,17934297.9556,17930688.0868 
8.07145912403,3201.77020223,23341993.9257,23336513.7884 
8.42396566243,4554.93100473,30387965.1131,30372112.5011 
8.76318430864,6394.44106705,39551090.3262,39528835.6327 
9.10240295485,8976.83774299,51477411.7134,51446169.4563 
9.44162160105,12602.1359833,67000254.9367,66956395.4859 
9.78084024726,17691.5118539,87204287.3676,87142715.2663 
10.1200588935,24836.233484,113501336.899,113414898.889 
10.4592775397,34866.352789,147729086.39,147607740.367 
10.7984961859,48947.1383652,192279547.437,192109195.792 
