logpressurec2,pressurec2,energy_densityc2,baryon_density 
-9.87926604432,5.12258615871e-05,280.000087678,280.0 
-9.44117938553,7.9386725762e-05,369.191761495,369.191625617 
-9.00309272673,0.000123028720883,486.794697811,486.794487235 
-8.56500606794,0.000190662431495,641.859069494,641.858743157 
-8.12691940914,0.00029547704408,846.317908604,846.317402867 
-7.68883275035,0.00045791235795,1115.90541859,1115.90463483 
-7.25074609156,0.000709644731339,1471.36780808,1471.36659345 
-6.81265943276,0.00109976425832,1940.05982705,1940.0579447 
-6.37457277397,0.00170434778203,2558.04986856,2558.04695141 
-5.93648611517,0.00264129456846,3372.89563653,3372.8911157 
-5.49839945638,0.00409331773184,4447.3039848,4447.2969787 
-5.06031279758,0.00634357494762,5863.95657609,5863.94571846 
-4.62222613879,0.0098308867653,7731.87272768,7731.85590117 
-4.18413948,0.0152353105922,10194.7991095,10194.7730328 
-3.7460528212,0.0236107580509,13442.2719435,13442.2315314 
-3.30796616241,0.0365905172964,17724.2030246,17724.1403964 
-2.86987950361,0.0567057590072,23370.1120774,23370.0150201 
-2.43179284482,0.0878791376067,30814.485542,30814.3351284 
-1.99370618603,0.136189744423,40630.2133817,40629.9802799 
-1.55561952723,0.211058585588,53572.6772054,53572.3159583 
-1.11753286844,0.32708576361,70637.8827556,70637.3229169 
-0.679446209643,0.506897629671,93139.1107359,93138.2431319 
-0.241359550849,0.785559127154,122807.985235,122806.640675 
0.196727107945,1.21741177337,161927.738386,161925.654669 
0.634813766739,1.88667074789,213508.928063,213505.698845 
1.07290042553,2.92384761575,281521.133142,281516.128696 
1.51098708433,4.53120126534,371198.459839,371190.704253 
1.94907374312,7.02218022458,489442.374554,489430.355418 
2.38716040192,10.8825479644,645352.871324,645334.244798 
2.82524706071,16.8651111778,850928.862341,850899.996083 
3.2633337195,26.1365239067,1121991.70943,1121946.97426 
3.7014203783,40.5047956534,1479402.99671,1479333.66886 
4.13950703709,62.7718696174,1950670.30451,1950562.86442 
4.57759369589,97.2800270116,2572064.62834,2571898.12423 
5.01568035468,150.75867125,3391412.50011,3391154.46216 
5.45376701347,233.636622595,4471777.85083,4471377.95931 
5.89185367227,362.075832622,5896317.2188,5895697.49123 
6.32994033106,561.123111235,7774682.34802,7773721.93191 
6.76802698986,869.59448158,10251463.5271,10249975.1326 
7.20611364865,1347.64465632,13517324.4153,13515017.792 
7.64420030745,2088.49775175,17823686.7676,17820112.1031 
8.08228696624,3236.62683527,23502097.4978,23496557.7001 
8.4495259997,4672.85727473,30997449.9391,30981186.9061 
8.80550649423,6670.87619755,40873198.0523,40849981.2764 
9.16148698877,9523.20745675,53895540.2046,53862396.4067 
9.5174674833,13595.1376669,71067121.4454,71019806.0323 
9.87344797783,19408.1425843,93710109.5237,93642563.0002 
10.2294284724,27706.6704144,123568035.407,123471607.361 
10.5854089669,39553.4803042,162940099.575,162802440.854 
10.9413894614,56465.745641,214858296.629,214661777.833 
11.297369956,80609.3523571,283321013.088,283040466.843 
11.6533504505,115076.275247,373601109.514,373200607.39 
12.009330945,164280.554769,492652244.859,492080496.156 
12.3653114396,234523.585485,649644782.238,648828565.395 
12.7212919341,334801.110369,856672617.473,855507402.875 
13.0772724286,477955.269499,1129685468.12,1128022031.41 
13.4332529232,682319.241384,1489718572.44,1487343883.96 
13.7892334177,974065.099547,1964514722.68,1961124665.61 
14.1452139122,1390555.56492,2590663874.29,2585824297.62 
14.5011944068,1985128.89951,3416425581.42,3409516700.0 
14.8571749013,2833929.72356,4505452311.18,4495589332.29 
15.2131553958,4045660.55134,5941701380.23,5927621191.77 
15.5691358904,5775502.88583,7835915247.8,7815814656.55 
15.9251163849,8244990.69088,10334171333.8,10305476137.8 
16.2810968794,11770381.3566,13629162851.1,13588198171.6 
16.637077374,16803157.5141,17975083817.1,17916603472.1 
16.9930578685,23987846.6031,23707270929.9,23623785576.5 
17.349038363,34244562.9145,31268124139.6,31148942143.6 
17.7050188576,48886842.9338,41241315320.7,41071173522.3 
18.0609993521,69789864.6859,54396938544.8,54154047566.9 
18.4169798467,99630594.2578,71751106426.3,71404360196.3 
18.7729603412,142230614.099,94644621512.0,94149613632.2 
19.1289408357,203045537.745,1.24846837874e+11,1.24140174672e+11 
19.4849213303,289863688.345,1.64692792656e+11,1.63683974612e+11 
19.8409018248,413803517.94,2.17264284857e+11,2.15824116695e+11 
20.1968823193,590737502.987,2.86629013729e+11,2.84573058893e+11 
20.5528628139,843324868.701,3.78156433034e+11,3.75221393642e+11 
20.7303467255,1007106017.37,4.92079062976e+11,4.94744986732e+11 
20.9024096334,1196192740.02,6.49175349109e+11,6.52341806848e+11 
21.0744725412,1420780976.99,8.56378789348e+11,8.60139757601e+11 
21.246535449,1687536228.1,1.12966288382e+12,1.13412998345e+12 
21.4185983568,2004375457.76,1.49009166335e+12,1.49539747233e+12 
21.5906612646,2380702060.67,1.96544166812e+12,1.97174365626e+12 
21.7627241724,2827684942.82,2.59234067521e+12,2.5998258777e+12 
22.130069408,4082883875.8,3.4394175776e+12,3.42797836467e+12 
22.5052933619,5941891547.27,4.53657948818e+12,4.5199318037e+12 
22.8805173159,8647337576.47,5.98394541429e+12,5.95971775102e+12 
23.2557412698,12584619992.9,7.89339424012e+12,7.85813530256e+12 
23.6309652238,18314615217.1,1.04125906086e+13,1.03612776667e+13 
24.0061891777,26653576408.4,1.37364514166e+13,1.36617748044e+13 
24.3814131317,38789410912.4,1.81222954831e+13,1.80136173174e+13 
24.7566370857,56450900842.5,2.39098635744e+13,2.37517023594e+13 
25.1318610396,82153972720.2,3.15477804857e+13,3.1317605733e+13 
25.5070849936,1.19560097943e+11,4.1628540768e+13,4.12935634679e+13 
25.8823089475,1.73997879188e+11,5.49347762044e+13,5.44472779438e+13 
26.2575329015,2.53222124127e+11,7.25004612767e+13,7.17909966232e+13 
26.6327568554,3.68518538538e+11,9.56919059998e+13,9.46594098143e+13 
27.0079808094,5.36311405312e+11,1.26314971668e+14,1.24812362105e+14 
27.3832047633,7.80503267512e+11,1.66757055348e+14,1.64570281652e+14 
27.7584374766,1.13588985925e+12,2.17293487969e+14,2.16992749326e+14 
27.9798976452,1.41747416293e+12,2.2828758545e+14,2.27912294436e+14 
28.3520326097,2.05651230835e+12,2.46921333552e+14,2.46376850548e+14 
28.7241675742,2.98364724028e+12,2.67127283858e+14,2.66337332246e+14 
29.0963025387,4.32876128108e+12,2.89061018058e+14,2.87914933526e+14 
29.4684375033,6.28029144183e+12,3.12903439467e+14,3.11240667045e+14 
29.8405724678,9.11162756115e+12,3.38868557672e+14,3.3645615959e+14 
30.2127074323,1.32194114847e+13,3.67214488554e+14,3.6371451199e+14 
30.5848423968,1.91791026167e+13,3.98259095426e+14,3.93181228703e+14 
30.9569773614,2.78255940221e+13,4.3240233788e+14,4.25035222704e+14 
31.3291123259,4.0370172586e+13,4.70158324505e+14,4.59469901794e+14 
31.7012472904,5.85702081806e+13,5.12201414176e+14,4.96694342909e+14 
32.0733822549,8.49753435909e+13,1.19309944773e+15,1.08575917704e+15 
32.4455172195,1.23284673944e+14,1.31943328408e+15,1.19161935642e+15 
32.817652184,1.78864952906e+14,1.46259645891e+15,1.30780077261e+15 
33.1897871485,2.5950242114e+14,1.62626392678e+15,1.43530973345e+15 
33.561922113,3.76493580679e+14,1.81538598329e+15,1.57525066056e+15 
33.9340570776,5.46227721768e+14,2.03672603614e+15,1.72883565531e+15 
34.3061920421,7.92482898354e+14,2.29963719299e+15,1.89739499744e+15 
34.6783270066,1.1497569954e+15,2.68507377032e+15,2.12088365511e+15 
35.0504619711,1.6681005372e+15,3.26391016653e+15,2.42235005184e+15 
35.4225969357,2.42012826479e+15,4.01391560184e+15,2.76666744991e+15 
35.7947319002,3.51119173422e+15,4.99949550235e+15,3.15992677135e+15 
36.1668668647,5.09413801482e+15,6.31227702759e+15,3.60908471332e+15 
36.5390018292,7.39072203353e+15,8.08312355369e+15,4.122086811e+15 
36.9111367938,1.07226722201e+16,1.0499528979e+16,4.70800799291e+15 
37.2832717583,1.55567614393e+16,1.38308120212e+16,5.37721311501e+15 
37.6554067228,2.25701971963e+16,1.84646210155e+16,6.1415403134e+15 
38.0275416873,3.27454916288e+16,2.49598415183e+16,7.01451041912e+15 
38.3996766518,4.7508101621e+16,3.41232938103e+16,8.01156613963e+15 
38.7718116164,6.89261210435e+16,4.71209366037e+16,9.15034523787e+15 
39.1439465809,1e+17,6.56391232203e+16,1.04509925417e+16 
