logpressurec2,pressurec2,energy_densityc2,baryon_density 
-9.87926604432,5.12258615871e-05,280.000087678,280.0 
-9.44291202893,7.92492959681e-05,368.788208939,368.788073296 
-9.00655801354,0.000122603128905,485.731077723,485.730867876 
-8.57020399815,0.00018967395273,639.756577875,639.75625323 
-8.13384998276,0.000293436298612,842.623630843,842.623128599 
-7.69749596737,0.000453962497769,1109.81992025,1109.81914325 
-7.26114195198,0.000702305578266,1461.74428616,1461.7430841 
-6.82478793659,0.00108650632527,1925.26405836,1925.2621987 
-6.3884339212,0.00168088654198,2535.76622289,2535.76334589 
-5.95207990581,0.00260042624812,3339.85901754,3339.85456666 
-5.51572589042,0.0040230060168,4398.93020979,4398.92332403 
-5.07937187503,0.00622381712339,5793.83371425,5793.82306159 
-4.64301785964,0.00962859598612,7631.06235135,7631.04587108 
-4.20666384424,0.0148959808468,10050.8780103,10050.8525144 
-3.77030982885,0.0230449221992,13238.0199213,13237.9804777 
-3.33395581346,0.0356517939053,17435.808574,17435.7475525 
-2.89760179807,0.0551553352048,22964.7220693,22964.6276656 
-2.46124778268,0.0853284131968,30246.8631576,30246.7171099 
-2.02489376729,0.132007865996,39838.1849672,39837.9590231 
-1.5885397519,0.204223611244,52470.9358061,52470.5862578 
-1.15218573651,0.315945440638,69109.5636664,69109.0228954 
-0.715831721122,0.488785409539,91024.3487494,91023.5121463 
-0.279477705731,0.756178586076,119888.385947,119887.091675 
0.156876309659,1.16985090569,157905.322141,157903.319828 
0.593230325049,1.80982530682,207977.60157,207974.50388 
1.02958434044,2.79990178685,273928.065804,273923.273503 
1.46593835583,4.33160592155,360791.829195,360784.415236 
1.90229237122,6.70123857479,475200.717563,475189.24775 
2.33864638661,10.3671938882,625889.62705,625871.882602 
2.775000402,16.0386334432,824363.472072,824336.02041 
3.21135441739,24.8126701881,1085775.65754,1085733.18827 
3.64770843278,38.3865997091,1430085.16884,1430019.46648 
4.08406244817,59.3862339705,1883580.65889,1883479.01364 
4.52041646356,91.8738521237,2480887.95283,2480730.70191 
4.95677047895,142.134029045,3267614.33291,3267371.05687 
5.39312449434,219.88935639,4303831.63606,4303455.27431 
5.82947850973,340.181231606,5668664.32117,5668082.06831 
6.26583252512,526.279544572,7466333.15391,7465432.37591 
6.70218654051,814.184126875,9834116.49089,9832722.93655 
7.13854055591,1259.58874764,12952837.8608,12950681.9536 
7.5748945713,1948.65480769,17060681.9012,17057346.5913 
8.01124858669,3014.67885184,22471395.5729,22466235.6605 
8.39039371566,4404.55149381,29605614.1128,29590284.8694 
8.74496629867,6279.00180558,38995224.8754,38973371.9474 
9.09953888168,8951.16420591,51362991.2991,51331838.394 
9.45411146469,12760.5219941,67653588.4705,67609177.786 
9.8086840477,18191.0327882,89111376.3534,89048065.76 
10.1632566307,25932.6126356,117375484.482,117285230.723 
10.5178292137,36968.7859912,154605071.248,154476408.087 
10.8724017967,52701.6370033,203644336.027,203460917.529 
11.2269743797,75129.9364682,268239903.867,267978427.737 
11.5815469627,107103.07449,353327210.165,352954457.322 
11.9361195458,152683.059569,465407793.854,464876408.132 
12.2906921288,217660.574082,613046367.029,612288838.841 
12.6452647118,310290.648114,807525700.293,806445789.918 
12.9998372948,442341.414898,1063709450.15,1062169961.0 
13.3544098778,630589.186375,1401178985.08,1398984333.68 
13.7089824608,898949.789869,1845731263.96,1842602632.11 
14.0635550438,1281516.94029,2431352496.59,2426892409.09 
14.4181276268,1826893.65609,3202818799.64,3196460627.31 
14.7727002098,2604367.00112,4219123156.39,4210059128.96 
15.1272727928,3712710.61887,5557991397.39,5545069980.83 
15.4818453758,5292733.37189,7321833522.74,7303413123.29 
15.8364179589,7545168.32083,9645586927.65,9619327336.51 
16.1909905419,10756174.738,12707053470.1,12669618553.0 
16.5455631249,15333693.0436,16740524052.8,16687157912.7 
16.9001357079,21859271.3566,22054737288.0,21978660055.0 
17.2547082909,31161947.9326,29056552425.0,28948098911.8 
17.6092808739,44423575.8417,38282156860.6,38127548654.5 
17.9638534569,63328970.7959,50438209321.0,50217804313.6 
18.3184260399,90279957.5693,66456086240.3,66141883207.0 
18.6729986229,128700508.413,87563410484.6,87115491686.0 
19.0275712059,183471739.595,1.15378377048e+11,1.14739836904e+11 
19.382143789,261552029.942,1.52034153668e+11,1.51123869222e+11 
19.736716372,372861043.983,2.00342963012e+11,1.99045287712e+11 
20.091288955,531539969.89,2.64012529098e+11,2.62162600549e+11 
20.445861538,757748078.407,3.47931634691e+11,3.4529442981e+11 
20.6779472253,955692938.401,4.52257556381e+11,4.54787383891e+11 
20.8493296201,1134354518.69,5.95997817414e+11,5.99000582373e+11 
21.0207120149,1346415906.58,7.85379708361e+11,7.88943823845e+11 
21.1920944097,1598121013.86,1.03488770948e+12,1.03911811691e+12 
21.3634768046,1896881017.57,1.36360148478e+12,1.36862274379e+12 
21.5348591994,2251492573.85,1.79665341813e+12,1.80261337411e+12 
21.7062415942,2672396825.71,2.36714840968e+12,2.37422254692e+12 
22.0054117385,3604366047.17,3.13718766446e+12,3.12708913805e+12 
22.3791516725,5237717624.41,4.13336468871e+12,4.11868992231e+12 
22.7528916066,7611237469.78,5.4460523464e+12,5.42472757482e+12 
23.1266315407,11060339631.8,7.1758983965e+12,7.14491010884e+12 
23.5003714748,16072434115.5,9.4555938895e+12,9.41056297468e+12 
23.8741114088,23355805246.3,1.24600920448e+13,1.23946549574e+13 
24.2478513429,33939702896.3,1.64200937935e+13,1.63250032889e+13 
24.621591277,49319790970.4,2.16398477453e+13,2.15016661052e+13 
24.9953312111,71669507207.9,2.85206499751e+13,2.83198500557e+13 
25.3690711452,1.04147202621e+11,3.75918761687e+13,3.73000819217e+13 
25.7428110792,1.5134246399e+11,4.9551971153e+13,4.91279476632e+13 
26.1165510133,2.19924691496e+11,6.5322606356e+13,6.47064327274e+13 
26.4902909474,3.19585585264e+11,8.61202578509e+13,8.52248594836e+13 
26.8640308815,4.64408728341e+11,1.13550841096e+14,1.12249684735e+14 
27.2377708155,6.74859808778e+11,1.49734876464e+14,1.47844089149e+14 
27.6115143479,9.80682257911e+11,1.95044928993e+14,1.94725488519e+14 
27.9798976452,1.41747416293e+12,2.13660831666e+14,2.131991137e+14 
28.3520326097,2.05651230835e+12,2.34281539152e+14,2.33611665438e+14 
28.7241675742,2.98364724028e+12,2.56950470105e+14,2.55978598042e+14 
29.0963025387,4.32876128108e+12,2.81897051857e+14,2.80487031899e+14 
29.4684375033,6.28029144183e+12,3.09387700598e+14,3.07342003062e+14 
29.8405724678,9.11162756115e+12,3.39736135432e+14,3.36768178575e+14 
30.2127074323,1.32194114847e+13,3.73317733239e+14,3.69011736016e+14 
30.5848423968,1.91791026167e+13,4.10589687702e+14,4.04342423009e+14 
30.9569773614,2.78255940221e+13,4.5211952532e+14,4.43055813916e+14 
31.3291123259,4.0370172586e+13,4.98625675936e+14,4.8547578259e+14 
31.7012472904,5.85702081806e+13,5.76266383542e+14,5.54220213722e+14 
32.0733822549,8.49753435909e+13,6.84229887147e+14,6.46718366677e+14 
32.4455172195,1.23284673944e+14,8.15525685196e+14,7.54654260963e+14 
32.817652184,1.78864952906e+14,9.76443329551e+14,8.80604422163e+14 
33.1897871485,2.5950242114e+14,1.18613884959e+15,1.03530968121e+15 
33.561922113,3.76493580679e+14,1.51226296594e+15,1.26061210105e+15 
33.9340570776,5.46227721768e+14,1.94001336466e+15,1.53494446943e+15 
34.3061920421,7.92482898354e+14,2.50532625551e+15,1.86897660451e+15 
34.6783270066,1.1497569954e+15,3.25818889029e+15,2.27570027305e+15 
35.0504619711,1.6681005372e+15,4.26850628979e+15,2.77093448911e+15 
