logpressurec2,pressurec2,energy_densityc2,baryon_density 
-9.87926604432,5.12258615871e-05,280.000087678,280.0 
-9.44380843396,7.91782883309e-05,368.57959908,368.579463558 
-9.0083508236,0.000122383521697,485.181712889,485.181503418 
-8.57289321325,0.000189164563907,638.671531838,638.671208065 
-8.13743560289,0.000292386031567,840.718683514,840.718183067 
-7.70197799253,0.00045193237935,1106.68454823,1106.68377471 
-7.26652038217,0.000698538416526,1456.79016708,1456.78897147 
-6.83106277182,0.00107971002225,1917.65362525,1917.65177722 
-6.39560516146,0.00166887561881,2524.31379694,2524.3109405 
-5.9601475511,0.00257953133126,3322.8943162,3322.88990108 
-5.52468994074,0.00398710473922,4374.11031433,4374.10349002 
-5.08923233039,0.00616274902689,5757.88454063,5757.8739925 
-4.65377472003,0.00952557759389,7579.42383034,7579.4075264 
-4.21831710967,0.0147234015374,9977.21791541,9977.19271489 
-3.78285949931,0.0227575231733,13133.5687327,13133.529781 
-3.34740188896,0.0351756256642,17288.4507825,17288.3905761 
-2.9119442786,0.0543699167719,22757.7563605,22757.6633011 
-2.47648666824,0.0840379607743,29957.3128797,29957.1690406 
-2.04102905788,0.129894972632,39434.4983803,39434.2760526 
-1.60557144753,0.200774789865,51909.8590498,51909.5154045 
-1.17011383717,0.310331611983,68331.8930958,68331.3619335 
-0.734656226811,0.479670328433,89949.1664506,89948.3454487 
-0.299198616453,0.741412138161,118405.243689,118403.974691 
0.136258993904,1.14597865665,155863.652434,155861.690981 
0.571716604262,1.77130507298,205172.38337,205169.351611 
1.00717421462,2.73785348739,270080.434512,270075.748413 
1.44263182498,4.23181857983,355522.866271,355515.623107 
1.87808943533,6.54099592074,467996.044298,467984.848755 
2.31354704569,10.1102225504,616051.60643,616034.301813 
2.74900465605,15.6270698313,810946.720431,810919.9732 
3.18446226641,24.1542963365,1067500.08779,1067458.7454 
3.61991987676,37.3345763352,1405218.80082,1405154.8991 
4.05537748712,57.7069425128,1849781.76714,1849682.99617 
