logpressurec2,pressurec2,energy_densityc2,baryon_density 
-9.87926604432,5.12258615871e-05,280.000087678,280.0 
-9.45553503254,7.82552191366e-05,365.861449206,365.861315265 
-9.03180402075,0.000119546633915,478.0519975,478.051792884 
-8.60807300897,0.000182625489239,624.645518686,624.645206105 
-8.18434199719,0.00027898794159,816.191608514,816.191130999 
-7.7606109854,0.000426196101523,1066.47487481,1066.47414534 
-7.33687997362,0.000651078738093,1393.50694835,1393.50583396 
-6.91314896184,0.000994620836938,1820.82269255,1820.82099016 
-6.48941795005,0.00151943313672,2379.17389466,2379.171294 
-6.06568693827,0.00232116297107,3108.74232598,3108.73835309 
-5.64195592648,0.00354592604839,4062.0314359,4062.0253667 
-5.2182249147,0.00541693612098,5307.6447834,5307.6355118 
-4.79449390292,0.00827518581557,6935.22312554,6935.20896176 
-4.37076289113,0.0126415927293,9061.89546726,9061.87382996 
-3.94703187935,0.0193119369518,11840.7083335,11840.6752793 
-3.52330086757,0.0295018924288,15471.6398928,15471.5893975 
-3.09956985578,0.0450685842156,20215.99159,20215.9144508 
-2.675838844,0.0688490505518,26415.1930212,26415.0751794 
-2.25210783222,0.105177294658,34515.3734067,34515.1933856 
-1.82837682043,0.160674159237,45099.4680403,45099.1930311 
-1.40464580865,0.245453978735,58929.1704029,58928.7502848 
-0.980914796865,0.374967922427,76999.7492441,76999.1074505 
-0.557183785082,0.572819978612,100611.675887,100610.69545 
-0.133452773298,0.875068794615,131464.216933,131462.719168 
0.290278238486,1.33679938532,171777.728572,171775.440512 
0.714009250269,2.04216240779,224453.454628,224449.959271 
1.13774026205,3.11971066534,293282.330078,293276.990393 
1.56147127384,4.76582792744,383217.819466,383209.662294 
1.98520228562,7.280519981,500732.429413,500719.968104 
2.4089332974,11.122090852,654283.558349,654264.521822 
2.83266430919,16.990668969,854922.218609,854893.137447 
3.25639532097,25.9558059592,1117088.45327,1117044.02742 
3.68012633275,39.6514030271,1459650.7139,1459582.84672 
4.10385734454,60.5734903587,1907264.03463,1907160.35728 
4.52758835632,92.535130011,2492144.79968,2491986.41691 
4.9513193681,141.361348594,3256389.91108,3256147.95755 
5.37505037989,215.950751611,4255007.38634,4254637.76589 
5.79878139167,329.897299264,5559876.68308,5559312.03216 
6.22251240346,503.967813261,7264924.06095,7264061.47162 
6.64624341524,769.886741632,9492885.89288,9491568.15777 
7.06997442702,1176.11795703,12404147.3608,12402134.3219 
7.49370543881,1796.69732448,16208293.7026,16205218.4825 
7.91743645059,2744.72577899,21179206.9624,21174509.1006 
8.30390664077,4039.62296366,27681679.7102,27667620.5344 
8.64822202244,5700.0032411,36171666.5391,36151828.7107 
8.9925374041,8042.83895819,47265690.2198,47237698.5761 
9.33685278576,11348.6353904,61762520.1947,61723023.3256 
9.68116816742,16013.1920947,80705968.4993,80650237.4859 
10.0254835491,22594.9915775,105460073.356,105381435.582 
10.3697989308,31882.0658223,137807354.848,137696395.095 
10.7141143124,44986.3465365,180077224.745,179920657.917 
11.0584296941,63476.7955747,235313807.16,235092887.675 
11.4027450757,89567.255104,307495269.366,307183546.765 
11.7470604574,126381.508616,401820478.109,401380630.169 
12.0913758391,178327.288267,525083654.654,524463018.841 
12.4356912207,251624.008042,686164052.769,685288321.004 
12.7800066024,355047.407711,896665986.946,895430308.779 
13.1243219841,500980.262986,1171755394.23,1170011823.21 
13.4686373657,706894.962335,1531253307.38,1528793087.55 
13.8129527474,997445.457825,2001065177.39,1997593749.22 
14.157268129,1407419.05707,2615049254.33,2610150987.33 
14.5015835107,1985901.47126,3417458974.74,3410547404.52 
14.8458988924,2802153.79616,4466135814.22,4456383425.69 
15.190214274,3953905.07081,5836683355.31,5822922505.17 
15.5345296557,5579053.27337,7627924335.51,7608507451.53 
15.8788450374,7872175.70218,9969035336.15,9941637655.08 
16.223160419,11107825.5126,13028875303.8,12990216529.9 
16.5674758007,15673403.6797,17028183102.9,16973634661.5 
16.9117911823,22115542.113,22255527358.6,22178558221.7 
17.256106564,31205551.3241,29088164130.0,28979558863.1 
17.6004219457,44031768.6298,38019314311.6,37866069719.6 
17.9447373273,62129863.643,49693839130.6,49477607398.3 
18.289052709,87666702.3927,64954902782.6,64649794710.4 
18.6333680907,123699783.933,84905010841.7,84474496158.4 
18.9776834723,174543311.513,1.10985860193e+11,1.10378393825e+11 
19.321998854,246284727.631,1.4508280773e+11,1.44225658363e+11 
19.6663142356,347513557.17,1.89661561764e+11,1.88452103798e+11 
20.0106296173,490349822.252,2.47947054275e+11,2.46240480572e+11 
20.354944999,691895159.833,3.24157537493e+11,3.21749521763e+11 
20.629044973,910081735.775,4.18004136291e+11,4.20413225779e+11 
20.7954695571,1074874295.36,5.46486599283e+11,5.49331913351e+11 
20.9618941413,1269506578.81,7.1442267342e+11,7.17783201199e+11 
21.1283187255,1499381798.05,9.33920630987e+11,9.37889664521e+11 
21.2947433096,1770881548.65,1.22080351241e+12,1.22549123655e+12 
21.4611678938,2091542970.2,1.59574857606e+12,1.60128512733e+12 
21.627592478,2470267985.76,2.08577621641e+12,2.09231529571e+12 
21.8230870173,3003628867.99,2.74233407647e+12,2.73391866442e+12 
22.1860152701,4317814766.26,3.58436556726e+12,3.57226813711e+12 
22.5489435229,6206999990.74,4.68508587706e+12,4.66769542544e+12 
22.9118717757,8922765558.65,6.12403215605e+12,6.09903281289e+12 
23.2748000285,12826767413.1,8.00522368357e+12,7.9692863099e+12 
23.6377282813,18438897804.7,1.04647096185e+13,1.04130484681e+13 
24.0006565341,26506518852.3,1.36804489098e+13,1.36061843159e+13 
24.3635847869,38103988053.5,1.78852452461e+13,1.77784874627e+13 
24.7265130397,54775729459.9,2.33836849726e+13,2.32302171662e+13 
25.0894412925,78741903174.5,3.05743214437e+13,3.03537064511e+13 
25.4523695453,1.13194061981e+11,3.99787375746e+13,3.96615963049e+13 
25.8152977981,1.62720167423e+11,5.22796287711e+13,5.18237278201e+13 
26.178226051,2.33915564322e+11,6.83707197547e+13,6.77153472222e+13 
26.541168396,3.36266015326e+11,8.86562405589e+13,8.84800928512e+13 
26.8634927516,4.64158883361e+11,9.92670686269e+13,9.90239262294e+13 
27.2356277161,6.73415065775e+11,1.12890302145e+14,1.12537544149e+14 
27.6077626806,9.77009957299e+11,1.28407132772e+14,1.27895341312e+14 
27.9798976452,1.41747416293e+12,1.46091511346e+14,1.45348989557e+14 
28.3520326097,2.05651230835e+12,1.6626177792e+14,1.65184505929e+14 
28.7241675742,2.98364724028e+12,1.89289876927e+14,1.87726939707e+14 
29.0963025387,4.32876128108e+12,2.15613253374e+14,2.13345699063e+14 
29.4684375033,6.28029144183e+12,2.45750437708e+14,2.42460604639e+14 
29.8405724678,9.11162756115e+12,2.80321753764e+14,2.75548769253e+14 
30.2127074323,1.32194114847e+13,3.2007719976e+14,3.13152416451e+14 
30.5848423968,1.91791026167e+13,3.6593444099e+14,3.55887766055e+14 
30.9569773614,2.78255940221e+13,4.19031137458e+14,4.04455132307e+14 
31.3291123259,4.0370172586e+13,4.80797687856e+14,4.59650400077e+14 
31.7012472904,5.85702081806e+13,5.60539507957e+14,5.28803027624e+14 
32.0733822549,8.49753435909e+13,6.74272461605e+14,6.24095803459e+14 
32.4455172195,1.23284673944e+14,8.14235669893e+14,7.36560782651e+14 
32.817652184,1.78864952906e+14,9.87741470615e+14,8.69292476464e+14 
33.1897871485,2.5950242114e+14,1.20636160848e+15,1.02719390717e+15 
33.561922113,3.76493580679e+14,1.49428990611e+15,1.22189280383e+15 
33.9340570776,5.46227721768e+14,1.86351365495e+15,1.45349579436e+15 
34.3061920421,7.92482898354e+14,2.34148821027e+15,1.72899784465e+15 
34.6783270066,1.1497569954e+15,2.96630373546e+15,2.05671977752e+15 
35.0504619711,1.6681005372e+15,3.79114933091e+15,2.44655958152e+15 
35.4225969357,2.42012826479e+15,4.89072710481e+15,2.9102913539e+15 
35.7947319002,3.51119173422e+15,6.37048340752e+15,3.46192090663e+15 
36.1668668647,5.09413801482e+15,8.37991316977e+15,4.11810877551e+15 
36.5390018292,7.39072203353e+15,1.11317568229e+16,4.89867340829e+15 
36.9111367938,1.07226722201e+16,1.49297263696e+16,5.82718972937e+15 
37.2832717583,1.55567614393e+16,2.02085820277e+16,6.93170115906e+15 
37.6554067228,2.25701971963e+16,2.7592099173e+16,8.24556659214e+15 
38.0275416873,3.27454916288e+16,3.79769574147e+16,9.80846791649e+15 
38.3996766518,4.7508101621e+16,5.26541982503e+16,1.16676085013e+16 
38.7718116164,6.89261210435e+16,7.34851407114e+16,1.38791388522e+16 
39.1439465809,1e+17,1.03156249632e+17,1.6509852491e+16 
