logpressurec2,pressurec2,energy_densityc2,baryon_density 
-9.87926604432,5.12258615871e-05,280.000087678,280.0 
-9.45154400281,7.85681621092e-05,366.784286507,366.78415203 
-9.02382196131,0.00012050468076,480.466685472,480.466479217 
-8.5960999198,0.000184825223033,629.384209769,629.383893423 
-8.16837787829,0.000283477478664,824.457762523,824.457277324 
-7.74065583678,0.000434786332683,1079.99311328,1079.9923691 
-7.31293379528,0.000666857755258,1414.73001746,1414.72887607 
-6.88521175377,0.00102279955077,1853.21650478,1853.21475416 
-6.45748971226,0.00156872873232,2427.60912122,2427.60643619 
-6.02976767075,0.00240605291015,3180.03114734,3180.02702915 
-5.60204562925,0.00369030699009,4165.66173531,4165.655419 
-5.17432358774,0.00566004414268,5456.78251095,5456.77282324 
-4.74660154623,0.00868114760727,7148.07840432,7148.0635457 
-4.31887950472,0.0133147943513,9363.5814548,9363.55866525 
-3.89115746322,0.0204216949922,12265.7668288,12265.7318751 
-3.46343542171,0.0313219727884,16067.4681278,16067.4145172 
-3.0357133802,0.0480403795929,21047.4858294,21047.4036037 
-2.60799133869,0.0736823982009,27571.0335546,27570.9074401 
-2.18026929719,0.113011092973,36116.5216654,36116.3282361 
-1.75254725568,0.173331860075,47310.6424832,47310.345809 
-1.32482521417,0.26584942174,61974.3302762,61973.8752494 
-0.897103172663,0.407749129381,81182.9667639,81182.2688621 
-0.469381131155,0.625389182427,106345.247715,106344.177302 
-0.0416590896475,0.959196724934,139306.494954,139304.853196 
0.38606295186,1.47117728125,182483.991109,182481.473048 
0.813784993367,2.25643242579,239044.263362,239040.401261 
1.24150703487,3.46082512086,313135.319526,313129.395991 
1.66922907638,5.30807409973,410190.870937,410181.785658 
2.09695111789,8.14131013973,537328.857602,537314.922968 
2.5246731594,12.486813399,703873.509503,703852.137122 
2.9523952009,19.151771175,922039.241771,922006.461675 
3.38011724241,29.3742148152,1207826.55612,1207776.27933 
3.80783928392,45.052986908,1582195.67843,1582118.56591 
4.23556132543,69.1004556921,2072604.04568,2072485.77361 
4.66328336693,105.983494204,2715020.46189,2714839.06096 
5.09100540844,162.553212295,3556563.7357,3556285.51026 
5.51872744995,249.317566152,4658959.46403,4658532.73306 
5.94644949146,382.393235511,6103068.71062,6102414.20787 
6.37417153297,586.499334247,7994821.06628,7993817.21632 
6.80189357447,899.54904305,10472987.7688,10471448.1042 
7.22961561598,1379.69207056,13719365.8092,13717004.3337 
7.65733765749,2116.11609649,17972121.2321,17968499.2962 
8.085059699,3245.61358969,23543272.2423,23537717.0629 
8.44335698552,4644.11908623,30849240.1351,30833077.1201 
8.79091539846,6574.24747783,40412466.3556,40389585.8785 
9.13847381139,9306.55073595,52940461.2182,52908071.4547 
