logpressurec2,pressurec2,energy_densityc2,baryon_density 
-9.87926604432,5.12258615871e-05,280.000087678,280.0 
-9.45462961158,7.83261051376e-05,366.070603929,366.070469867 
-9.02999317885,0.000119763310093,478.598736802,478.598531816 
-8.60535674611,0.000183122222395,625.717418501,625.71710507 
-8.18072031338,0.000280000179596,818.05960302,818.059123773 
-7.75608388064,0.000428129909896,1069.52676071,1069.52602792 
-7.33144744791,0.000654625364924,1398.29360466,1398.2924842 
-6.90681101517,0.00100094470977,1828.12166572,1828.11995251 
-6.48217458244,0.00153047890548,2390.07665524,2390.07403567 
-6.0575381497,0.00234015491291,3124.77373846,3124.76973306 
-5.63290171697,0.00357817739064,4085.31299727,4085.30687288 
-5.20826528423,0.00547115636159,5341.11724478,5341.10788037 
-4.7836288515,0.00836558634887,6982.94957342,6982.93525492 
-4.35899241876,0.0127912694018,9129.47328569,9129.4513922 
-3.93435598603,0.0195582910851,11935.8283358,11935.7948599 
-3.50971955329,0.029905300104,15604.8441593,15604.7929736 
-3.08508312056,0.0457262329523,20401.699322,20401.6210571 
-2.66044668782,0.0699169837032,26673.0875498,26672.9678801 
-2.23581025509,0.106905474047,34872.2754241,34872.0924451 
-1.81117382235,0.163462148621,45591.8628762,45591.583095 
-1.38653738962,0.249939250258,59606.6143863,59606.1865913 
-0.961900956882,0.382165714488,77929.4567292,77928.8026159 
-0.537264524146,0.584344528439,101884.690839,101883.690678 
-0.112628091411,0.893482892294,133203.709704,133202.180422 
0.312008341324,1.36616608862,174150.14109,174147.802766 
0.736644774059,2.08891496164,227683.461038,227679.885659 
1.16128120679,3.19402285954,297672.905172,297667.438295 
1.58591763953,4.88377086412,389177.141188,389168.782145 
2.01055407226,7.46745371028,508809.920327,508797.139062 
2.435190505,11.4179936911,665218.142148,665198.599155 
2.85982693773,17.4585052667,869706.895292,869677.013384 
3.28446337047,26.6946553302,1137056.66519,1137010.97472 
3.70909980321,40.8170466094,1486591.79715,1486521.93486 
4.13373623594,62.4106688512,1943577.476,1943470.65414 
4.55837266868,95.428060333,2541046.24691,2540882.91262 
4.98300910141,145.912788095,3322186.1784,3321936.43464 
5.40764553415,223.105674109,4343463.40786,4343081.54106 
5.83228196688,341.136253167,5678704.96035,5678121.07288 
6.25691839962,521.609070183,7424437.24514,7423544.46111 
6.68155483235,797.558217785,9706866.55806,9705501.46055 
7.10619126509,1219.49396036,12691006.8523,12688919.5713 
7.53082769782,1864.64823029,16592615.6301,16589424.1056 
7.95546413056,2851.1113099,21693802.3693,21688922.4184 
8.33554290324,4169.46455818,28370489.7109,28355978.645 
8.68059401193,5887.54282352,37092942.0478,37072451.5218 
9.02564512063,8313.5760036,48497254.4224,48468320.5275 
9.37069622933,11739.2854777,63408073.8458,63367217.3899 
9.71574733802,16576.5999454,82903645.5812,82845953.7288 
10.0607984467,23407.1883056,108393811.649,108312347.172 
10.4058495554,33052.4031574,141722003.691,141606970.791 
10.7509006641,46672.0453655,185298613.361,185136179.764 
11.0959517728,65903.8257589,242275396.022,242046029.698 
11.4410028815,93060.2937079,316773535.993,316449656.504 
11.7860539902,131406.912501,414181889.539,413724551.591 
12.1311050989,185554.719044,541547007.421,540901217.844 
12.4761562076,262014.783729,708083191.291,707171296.314 
12.8212073163,369981.1422,925839540.602,924551888.278 
13.166258425,522436.343612,1210572331.31,1208754086.28 
13.5113095337,737712.553412,1582885961.72,1580318486.85 
13.8563606424,1041695.92739,2069725187.56,2066099753.64 
14.2014117511,1470939.3247,2706326864.95,2701207527.17 
14.5464628598,2077057.65192,3538772782.36,3531543959.57 
14.8915139685,2932934.36171,4627328820.28,4617121273.69 
15.2365650772,4141485.41429,6050812811.3,6036399121.76 
15.5816161859,5848034.53522,7912308248.83,7891955224.31 
15.9266672946,8257787.84758,10346638866.9,10317899132.6 
16.2717184033,11660509.1377,13530147230.3,13489564941.1 
16.616769512,16465362.8624,17693488198.6,17636183486.8 
16.9618206207,23250114.6381,23138367724.1,23057449913.1 
17.3068717294,32830605.3867,30259444985.9,30145184012.9 
17.651922838,46358853.1426,39572992430.2,39411648842.2 
17.9969739467,65461578.8952,51754401484.5,51526574321.0 
18.3420250554,92435813.6788,67687267786.7,67365561686.9 
18.6870761641,130525107.928,88527636199.3,88073367212.7 
19.0321272728,184309556.239,1.15788095007e+11,1.15146638994e+11 
19.3771783815,260256536.541,1.51447862288e+11,1.50542086572e+11 
19.7222294902,367498388.007,1.98096912855e+11,1.96817901307e+11 
20.0672805989,518930540.545,2.59124692321e+11,2.57318648606e+11 
20.4123317076,732762141.819,3.38967240859e+11,3.36416995003e+11 
20.6571384091,936011582.774,4.37352012097e+11,4.39829740828e+11 
20.8239186064,1105892575.41,5.72103576624e+11,5.75030999594e+11 
20.9906988037,1306606040.83,7.48333652204e+11,7.51792386462e+11 
21.157479001,1543747904.55,9.78802782049e+11,9.82889257695e+11 
21.3242591982,1823929721.99,1.28019589559e+12,1.28502404425e+12 
21.4910393955,2154963009.79,1.67432898182e+12,1.68003341311e+12 
21.6578195928,2546077032.23,2.18972674888e+12,2.19646650332e+12 
21.8897799045,3210780543.52,2.88064410217e+12,2.87164830327e+12 
22.253483656,4619182858.77,3.7673190865e+12,3.75437729882e+12 
22.6171874075,6645377967.61,4.92707104007e+12,4.90845236371e+12 
22.980891159,9560359414.78,6.44406951744e+12,6.41728379679e+12 
23.3445949105,13753991508.9,8.4284569892e+12,8.38992176699e+12 
23.708298662,19787151739.7,1.10243764878e+13,1.09689378692e+13 
24.0720024135,28466745360.2,1.44204860828e+13,1.43407294276e+13 
24.435706165,40953624961.4,1.88637330338e+13,1.8748991285e+13 
24.7994099165,58917848748.0,2.46774017293e+13,2.45123287473e+13 
25.163113668,84762042538.7,3.2284766558e+13,3.20472846501e+13 
25.5268174195,1.21942739051e+11,4.22400976816e+13,4.18984448208e+13 
25.890521171,1.75432672007e+11,5.52693159827e+13,5.47777977938e+13 
26.2542249225,2.52385854598e+11,7.23233151247e+13,7.1616193488e+13 
26.6179360763,3.63097081013e+11,9.37938830681e+13,9.36306200007e+13 
26.8634927516,4.64158883361e+11,1.01582760159e+14,1.01374055635e+14 
27.2356277161,6.73415065775e+11,1.14080167991e+14,1.13777373457e+14 
27.6077626806,9.77009957299e+11,1.28137564971e+14,1.27698261944e+14 
27.9798976452,1.41747416293e+12,1.43959752371e+14,1.43322398893e+14 
28.3520326097,2.05651230835e+12,1.6178287092e+14,1.60858180148e+14 
28.7241675742,2.98364724028e+12,1.8188106719e+14,1.80539499202e+14 
29.0963025387,4.32876128108e+12,2.04575252332e+14,2.02628866882e+14 
29.4684375033,6.28029144183e+12,2.30244784769e+14,2.27420912739e+14 
