logpressurec2,pressurec2,energy_densityc2,baryon_density 
-9.87926604432,5.12258615871e-05,280.000087678,280.0 
-9.46376611807,7.76137374018e-05,363.965518651,363.965385807 
-9.04826619182,0.000117594747006,473.110208653,473.110007378 
-8.63276626557,0.000178171094271,614.984827688,614.984522731 
-8.21726633931,0.000269952014371,799.404315911,799.403853863 
-7.80176641306,0.000409011856615,1039.12688609,1039.12618603 
-7.38626648681,0.000619705317783,1350.73664354,1350.73558285 
-6.97076656056,0.000938932880985,1755.79088399,1755.78927692 
-6.55526663431,0.00142260350153,2282.31144053,2282.30900561 
-6.13976670806,0.00215542640326,2966.72325264,2966.71956342 
-5.72426678181,0.00326574690339,3856.37426994,3856.3686803 
-5.30876685555,0.00494802458617,5012.81102095,5012.80255193 
-4.8932669293,0.00749689061326,6516.03645589,6516.02362424 
-4.47776700305,0.0113587489085,8470.04462848,8470.02518689 
-4.0622670768,0.0172099585577,11010.015117,11009.9856605 
-3.64676715055,0.0260752901524,14311.6649113,14311.6202809 
-3.2312672243,0.0395074023132,18603.4047531,18603.3371324 
-2.81576729805,0.0598587715963,24182.1409423,24182.0384882 
-2.40026737179,0.0906937011098,31433.8158309,31433.6605999 
-1.98476744554,0.137412566306,40860.1080791,40859.8728843 
-1.56926751929,0.208197627264,53113.1399158,53112.7835656 
-1.15376759304,0.315446055362,69040.5926368,69040.0527206 
-0.738267666788,0.47794115212,89744.3517015,89743.5336593 
-0.322767740537,0.724142023675,116656.73891,116655.499472 
0.0927321857145,1.09716785869,151639.606021,151637.728113 
0.508232111966,1.66234974741,197113.146042,197110.30077 
0.923732038217,2.51867265416,256223.334759,256219.023809 
1.33923196447,3.81611147036,333059.588255,333053.056614 
1.75473189072,5.78189735379,432937.697147,432927.800874 
2.17023181697,8.76031459497,562767.615805,562752.621685 
2.58573174322,13.2729979636,731531.557532,731508.83952 
3.00123166947,20.1102909071,950905.4814,950871.060706 
3.41673159573,30.469664915,1236066.98198,1236014.83022 
3.83223152198,46.1654425746,1606745.49711,1606666.48052 
4.24773144823,69.9465548457,2088587.52542,2088467.80517 
4.66323137448,105.977984006,2714931.35741,2714749.96591 
5.07873130073,160.570211338,3529114.18389,3528839.35255 
5.49423122698,243.28442375,4587471.32038,4587054.91572 
5.90973115323,368.607043276,5963235.23536,5962604.329 
6.32523107949,558.48685361,7751604.42183,7750648.51793 
6.74073100574,846.179071576,10076333.2385,10074884.9217 
7.15623093199,1282.06960745,13098299.305,13096104.9197 
7.57173085824,1942.49956488,17026642.202,17023317.4274 
7.98723078449,2943.13548783,22133245.6561,22128208.197 
8.35393171038,4246.84532736,28778715.4958,28763935.1202 
8.69155867586,5952.45296055,37410276.2317,37389559.7977 
9.02918564134,8343.0625597,48630842.078,48601805.5605 
9.36681260682,11693.782939,63217037.0632,63176338.9706 
9.7044395723,16390.2114416,82178473.8301,82121430.6691 
10.0420665378,22972.8080726,106827660.541,106747707.845 
10.3796935033,32199.0910624,138870886.923,138758823.821 
10.7173204687,45130.8112604,180526386.918,180369317.307 
11.0549474342,63256.1372952,234677966.386,234457814.863 
11.3925743997,88660.9124401,305074743.39,304766175.15 
11.7302013652,124268.691242,396590846.518,396158351.856 
12.0678283307,174177.179075,515563075.589,514956883.479 
12.4054552961,244129.791722,670229937.966,669380288.463 
12.7430822616,342176.601566,871302508.452,870111624.793 
13.0807092271,479600.731372,1132706710.63,1131037547.19 
13.4183361926,672216.804069,1472548518.87,1470208990.09 
13.7559631581,942190.872771,1914369061.38,1911089936.77 
14.0935901235,1320591.26663,2488776743.43,2484180664.82 
14.431217089,1850963.90115,3235569709.06,3229127764.6 
14.7688440545,2594343.49593,4206496044.8,4197466902.37 
15.10647102,3636277.38537,5468843477.87,5456188073.34 
15.4440979855,5096670.21505,7110108026.97,7092369989.82 
15.7817249509,7143582.44108,9244066157.23,9219204212.98 
16.1193519164,10012570.5489,12018672716.8,11983825779.3 
16.4569788819,14033794.6434,15626334126.5,15577492047.2 
16.7946058474,19670012.9233,20317271854.6,20248813938.9 
17.1322328129,27569835.4035,26416906735.7,26320954919.3 
17.4698597783,38642365.2664,34348475293.1,34213987542.9 
17.8074867438,54161817.4908,44662454591.8,44473954200.3 
18.1451137093,75914154.1593,58074847953.7,57810642496.0 
18.4827406748,106402611.077,75517003578.2,75146688570.8 
18.8203676403,149135767.492,98200445364.3,97681405349.4 
19.1579946057,209031309.668,1.27701246968e+11,1.26973751372e+11 
19.4956215712,292981952.995,1.66069850618e+11,1.6505018002e+11 
19.8332485367,410648648.364,2.15974018383e+11,2.14544830173e+11 
20.1708755022,575572354.131,2.80884932022e+11,2.78881756739e+11 
20.5085024677,806732315.228,3.65319493449e+11,3.62511807808e+11 
20.7000340205,977035964.501,4.68634210755e+11,4.71220535674e+11 
20.8632257637,1150227704.52,6.09483660015e+11,6.12528443096e+11 
21.0264175068,1354119828.05,7.92626745324e+11,7.96211253962e+11 
21.18960925,1594154358.75,1.03075629359e+12,1.03497620083e+12 
21.3528009932,1876737986.47,1.340373177e+12,1.34534111513e+12 
21.5159927363,2209413066.25,1.74292856899e+12,1.74877713575e+12 
21.6791844795,2601058929.11,2.2663087912e+12,2.27319408895e+12 
21.9285456292,3337692808.05,2.96422267369e+12,2.95487129857e+12 
22.2844239059,4764335480.82,3.85431586949e+12,3.8409674007e+12 
22.6403021827,6800773432.2,5.01183684773e+12,4.99278279239e+12 
22.9961804594,9707653766.69,6.51719881408e+12,6.49000041173e+12 
23.3520587362,13857032967.4,8.47502214609e+12,8.43619822766e+12 
23.7079370129,19779997028.6,1.10214333681e+13,1.09660147953e+13 
24.0638152897,28234636041.6,1.43335699352e+13,1.42544635919e+13 
24.4196935664,40303073415.5,1.86419595696e+13,1.85290405025e+13 
24.7755718431,57529968664.8,2.42466465455e+13,2.40854620541e+13 
25.1314501199,82120220968.0,3.15382033632e+13,3.13081231745e+13 
25.4873283966,1.17221177907e+11,4.10251139853e+13,4.06966897504e+13 
25.843201318,1.67324573661e+11,5.26114417639e+13,5.29006656646e+13 
25.9085177492,1.78618440289e+11,5.65142022271e+13,5.68123344185e+13 
26.0194268401,1.99569191971e+11,6.32258083091e+13,6.35369093369e+13 
26.130335931,2.22977327086e+11,7.01379471415e+13,7.04599874046e+13 
