logpressurec2,pressurec2,energy_densityc2,baryon_density 
-9.87926604432,5.12258615871e-05,280.000087678,280.0 
-9.45357625338,7.84086540523e-05,366.314083038,366.313948834 
-9.02788646244,0.00012001588338,479.235595099,479.235389681 
-8.6021966715,0.000183701817582,626.96677162,626.966457197 
-8.17650688056,0.000281182430461,820.238190993,820.237709723 
-7.75081708962,0.000430390729068,1073.0882882,1073.08755154 
-7.32512729868,0.000658775796781,1403.88305059,1403.88192303 
-6.89943750774,0.00100835246002,1836.65005062,1836.64832473 
-6.4737477168,0.00154343053978,2402.82371477,2402.82107304 
-6.04805792586,0.00236244559873,3143.52859929,3143.52455574 
-5.62236813491,0.00361606762539,4112.56652236,4112.56033311 
-5.19667834397,0.00553491901716,5380.32452869,5380.31505515 
-4.77098855303,0.00847200099672,7038.88755001,7038.87304937 
-4.34529876209,0.0129676334317,9208.72713127,9208.70493592 
-3.91960897115,0.0198488547019,12047.4520758,12047.4181026 
-3.49391918021,0.0303815676971,15761.2566382,15761.2046372 
-3.06822938927,0.0465034214618,20619.8978417,20619.8182466 
-2.64253959833,0.071180270525,26976.2898538,26976.168022 
-2.21684980739,0.108951787906,35292.1387405,35291.9522591 
-1.79116001645,0.166766605414,46171.4797017,46171.1942646 
-1.36547022551,0.255260617709,60404.5529512,60404.1160481 
-0.939780434569,0.390713613144,79025.2054418,79024.536698 
-0.514090643629,0.598044182711,103385.988227,103384.964617 
-0.0884008526883,0.915393865078,135256.40478,135254.837996 
0.337288938252,1.40114384931,176951.447496,176949.049304 
0.762978729193,2.144655062,231499.760044,231496.089261 
1.18866852013,3.28270743737,302863.642229,302858.02356 
1.61435831107,5.0246626184,396226.880716,396218.280523 
2.04004810201,7.69097914157,518371.317202,518358.153353 
2.46573789295,11.7721655459,678169.51371,678149.364518 
2.8914276839,18.0190167063,887229.311335,887198.470057 
3.31711747484,27.5807337059,1160737.11767,1160689.91059 
3.74280726578,42.2163364491,1518561.20204,1518488.94472 
4.16849705672,64.6182615076,1986695.17751,1986584.57715 
4.59418684766,98.9076758308,2599146.57981,2598977.28982 
5.0198766386,151.392626635,3400407.81575,3400148.69273 
5.44556642954,231.728500412,4448689.10508,4448292.47949 
5.87125622048,354.694274727,5820148.4638,5819541.37047 
6.29694601142,542.911330717,7614426.31569,7613497.07079 
6.72263580236,831.004992251,9961887.26073,9960464.91586 
7.1483255933,1271.9743687,13033095.8047,13030918.6984 
7.57401538424,1946.94232851,17051215.5408,17047883.162 
7.99970517518,2980.07925619,22308234.2645,22303133.5726 
8.37234823295,4325.78208944,29193444.1377,29178389.037 
8.71825527954,6113.50342331,38194315.9007,38173038.9599 
9.06416232614,8640.03857201,49970486.6615,49940416.5728 
9.41006937274,12210.7180379,65377751.4816,65335254.2901 
9.75597641934,17257.0566391,85535827.9054,85475767.8468 
10.1018834659,24388.9018582,111909759.902,111824878.749 
10.4477905125,34468.1336041,146416434.78,146296474.687 
10.7936975591,48712.8219653,191563962.375,191394426.225 
11.1396046057,68844.4303682,250634057.906,250394457.341 
11.4855116523,97295.8535658,327920700.712,327582080.124 
11.8314186989,137505.431746,429042438.944,428563876.206 
12.1773257455,194332.472215,561351074.029,560674735.074 
12.5232327921,274644.49424,734466479.74,733510629.344 
