logpressurec2,pressurec2,energy_densityc2,baryon_density 
-9.87926604432,5.12258615871e-05,280.000087678,280.0 
-9.44868376926,7.87932070897e-05,367.447083755,367.446948893 
-9.0181014942,0.000121195999269,482.204708333,482.204500895 
-8.58751921915,0.000186417976643,632.802364059,632.802044986 
-8.15693694409,0.000286739349691,830.433278936,830.432788154 
-7.72635466903,0.000441048959665,1089.78644871,1089.78569381 
-7.29577239397,0.000678400732343,1430.1384045,1430.13724335 
-6.86519011891,0.00104348404765,1876.78595234,1876.78416631 
-6.43460784386,0.00160503800451,2462.92637447,2462.92362729 
-6.0040255688,0.00246879384667,3232.12484059,3232.12061502 
-5.57344329374,0.00379738239231,4241.55242259,4241.545923 
-5.14286101868,0.00584095470463,5566.23538305,5566.2253857 
-4.71227874362,0.00898428136462,7304.63157326,7304.6161958 
-4.28169646857,0.0138191983537,9585.9484171,9585.92476421 
-3.85111419351,0.0212560398979,12579.7464065,12579.7100247 
-3.42053191845,0.0326950392183,16508.5419126,16508.4859519 
-2.98994964339,0.0502899690921,21664.3460542,21664.2599781 
-2.55936736833,0.0773536613429,28430.3689303,28430.2365321 
-2.12878509328,0.118981757817,37309.5024702,37309.2988215 
-1.69820281822,0.183012134752,48961.6990188,48961.385776 
-1.26762054316,0.281500644141,64253.0240188,64252.5422034 
-0.837038268102,0.432991029579,84320.0289316,84319.2878258 
-0.406455993044,0.666006403886,110654.229378,110653.089444 
0.024126282014,1.0244196755,145212.968042,145211.21465 
0.454708557072,1.57571408538,190564.9033,190562.206314 
0.88529083213,2.42368917568,250080.938678,250076.790301 
1.31587310719,3.72800451224,328184.786499,328178.405661 
1.74645538225,5.73424091784,430681.79275,430671.978045 
2.1770376573,8.82013924496,565190.469038,565175.372523 
2.60761993236,13.5667226779,741708.814402,741685.593653 
3.03820220742,20.8676937072,973357.532867,973321.815805 
3.46878448248,32.0977034023,1277355.40798,1277300.46967 
3.89936675754,49.3711752799,1676299.36208,1676214.85857 
4.32994903259,75.9404159845,2199844.39171,2199714.4124 
4.76053130765,116.807970384,2886908.31831,2886708.39025 
5.19111358271,179.668517327,3788565.34257,3788257.82265 
5.62169585777,276.357649333,4971843.65034,4971370.63768 
6.05227813283,425.080317246,6524709.61091,6523982.04511 
6.48286040788,653.838518842,8562609.45424,8561490.34681 
6.91344268294,1005.70360795,11237055.308,11235333.9497 
7.344024958,1546.92591196,14746894.7823,14744247.07 
7.77460723306,2379.40856351,19353103.2991,19349030.7128 
8.19341366312,3617.04858084,25404525.2659,25391936.7838 
8.54329624487,5132.23360953,33339967.8722,33322106.0631 
8.89317882663,7282.13106186,43754294.8647,43728950.727 
9.24306140839,10332.6225649,57421923.4024,57385962.5819 
9.59294399015,14660.9678076,75359227.9132,75308203.0714 
9.94282657191,20802.4609149,98900147.2142,98827748.0185 
10.2927091537,29516.6312208,129795421.841,129692694.555 
10.6425917354,41881.1756065,170342848.799,170197088.956 
10.9924743172,59425.2391833,223558251.089,223351432.312 
11.3423568989,84318.5273779,293399892.263,293106436.907 
11.6922394807,119639.637247,385063048.158,384646664.08 
12.0421220625,169756.793028,505366676.036,504775868.278 
12.3920046442,240868.072173,663260985.799,662422688.12 
12.741887226,341767.932567,870493731.456,869304270.096 
13.0917698077,484934.838716,1142484876.79,1140797148.95 
13.4416523895,688074.495563,1499474831.77,1497080113.17 
13.7915349712,976309.544388,1968031867.86,1964633999.4 
14.141417553,1385286.52436,2583031127.2,2578209888.47 
14.4913001348,1965584.34322,3390252849.86,3383411989.72 
14.8411827165,2788969.46037,4449793690.23,4440087187.39 
15.1910652983,3957271.3721,5840545743.89,5826773177.95 
15.54094788,5614976.0458,7666077714.27,7646535807.59 
15.8908304618,7967094.75555,10062357501.4,10034629471.8 
16.2407130436,11304518.1896,13207893265.3,13168549938.1 
16.5905956253,16039991.4172,17337051055.4,17281226771.8 
16.9404782071,22759158.8025,22757545022.6,22678335894.4 
17.2903607888,32292991.681,29873408942.9,29761019037.0 
17.6402433706,45820556.0564,39215168860.6,39055698718.1 
17.9901259523,65014829.783,51479477087.2,51253204753.0 
18.3400085341,92249602.7002,67581178410.1,67260120383.8 
18.6898911159,130893047.429,88721713880.5,88266164347.1 
19.0397736976,185724267.245,1.16478996729e+11,1.15832617071e+11 
19.3896562794,263524336.253,1.52925512004e+11,1.52008363303e+11 
19.7395388611,373914926.83,2.00783519227e+11,1.99482176078e+11 
20.0894214429,530548238.901,2.63629037575e+11,2.61782560566e+11 
20.4393040247,752795391.686,3.46159979214e+11,3.43540011262e+11 
20.6725107475,950511432.269,4.48315063384e+11,4.50831174859e+11 
20.8416262337,1125649718.73,5.88650776446e+11,5.91630498814e+11 
21.0107417199,1333058442.28,7.72874177741e+11,7.76402934503e+11 
21.1798572061,1578683653.51,1.01470279331e+12,1.01888174784e+12 
21.3489726922,1869567003.83,1.33214029258e+12,1.33708924831e+12 
21.5180881784,2214047617.49,1.74881546751e+12,1.75467630245e+12 
21.6872036646,2622001159.86,2.29573945734e+12,2.30268019154e+12 
21.958951489,3440736860.31,3.03147154525e+12,3.02183146663e+12 
22.3277478915,4975282010.5,3.97952074673e+12,3.96558125886e+12 
22.696544294,7194223821.52,5.22423045485e+12,5.20407405056e+12 
23.0653406965,10402798531.8,6.85850720761e+12,6.8293611846e+12 
23.434137099,15042375658.3,9.00438755803e+12,8.96224260774e+12 
23.8029335015,21751172509.4,1.18221866727e+13,1.17612453623e+13 
24.171729904,31452046955.9,1.55225268744e+13,1.54344061556e+13 
24.5405263065,45479445178.8,2.03821557072e+13,2.02547337494e+13 
24.909322709,65762967245.8,2.67647516985e+13,2.65805004174e+13 
25.2781191115,95092801681.4,3.51482967318e+13,3.48818706372e+13 
25.646915514,1.37503542044e+11,4.61610965185e+13,4.57758462046e+13 
26.0157119165,1.98829183075e+11,6.06291943984e+13,6.00721250745e+13 
26.3845083191,2.87505641343e+11,7.96388008398e+13,7.88332824005e+13 
26.7533047216,4.15731194616e+11,1.04618520911e+14,1.03453746747e+14 
27.1221006602,6.01144190416e+11,1.35430277009e+14,1.35763441407e+14 
27.1562795558,6.22045797134e+11,1.37529600763e+14,1.37858809742e+14 
27.2636532932,6.92554860759e+11,1.44047940424e+14,1.44361721792e+14 
27.3710270306,7.710561463e+11,1.50724462885e+14,1.51019019479e+14 
27.4784007679,8.58455574329e+11,1.57560039138e+14,1.57831187343e+14 
27.5857745053,9.55761751764e+11,1.64555768335e+14,1.64798902367e+14 
27.6931482427,1.0640976114e+12,1.7171299476e+14,1.71923047061e+14 
27.8005219801,1.18471337077e+12,1.79033325e+14,1.79204722303e+14 
27.9078957174,1.31900095992e+12,1.86518645459e+14,1.8664526003e+14 
28.0152694548,1.46851008454e+12,1.94171140372e+14,1.94246235859e+14 
28.1226431922,1.6349661099e+12,2.01993310467e+14,2.02009481744e+14 
28.2300169295,1.8202899719e+12,2.09987992473e+14,2.09937098762e+14 
28.3373906669,2.02662034506e+12,2.18158379626e+14,2.18031470129e+14 
28.4447644043,2.25633832323e+12,2.26508043401e+14,2.26295274543e+14 
28.5521381417,2.51209489795e+12,2.35040956672e+14,2.34731499968e+14 
28.659511879,2.79684155134e+12,2.43761518529e+14,2.43343457959e+14 
