logpressurec2,pressurec2,energy_densityc2,baryon_density 
-9.87926604432,5.12258615871e-05,280.000087678,280.0 
-9.45005950763,7.86848827816e-05,367.128136787,367.12800211 
-9.02085297094,0.000120862989641,481.367956631,481.367749762 
-8.59164643425,0.000185650175085,631.15596151,631.155643752 
-8.16243989756,0.000285165770031,827.553739915,827.553251826 
-7.73323336087,0.000438025530328,1085.06493538,1085.06418565 
-7.30402682417,0.000672823969015,1422.70631818,1422.70516657 
-6.87482028748,0.00103348335185,1865.41214532,1865.41037641 
-6.44561375079,0.00158746995908,2445.87551928,2445.87280217 
-6.0164072141,0.0024384145777,3206.96272814,3206.95855456 
-5.58720067741,0.00374549806045,4204.8788643,4204.87245353 
-5.15799414072,0.00575322828576,5513.31850074,5513.30865354 
-4.72878760403,0.0088371787073,7228.90795065,7228.89282497 
-4.29958106734,0.0135742445156,9478.34102041,9478.31778679 
-3.87037453065,0.0208505587894,12427.7352321,12427.6995444 
-3.44116799396,0.0320272558321,16294.8994769,16294.8446591 
-3.01196145727,0.0491950899973,21365.419075,21365.3348729 
-2.58275492057,0.075565539943,28013.7461459,28013.6168082 
-2.15354838388,0.116071559726,36730.8528486,36730.654181 
-1.72434184719,0.178290355465,48160.4897528,48160.1845917 
-1.2951353105,0.273860805581,63146.7271334,63146.2583943 
-0.865928773811,0.42066067252,82796.2903049,82795.5703038 
-0.436722237121,0.646150883217,108560.292768,108559.186819 
-0.00751570042964,0.992512471825,142341.403664,142339.704884 
0.421690836261,1.52453712022,186634.364659,186631.755268 
0.850897372952,2.34174733004,244710.234703,244706.226577 
1.28010390964,3.59701347054,320857.97116,320851.814526 
1.70931044633,5.52515027613,420701.191256,420691.73443 
2.13851698302,8.48684216056,551613.511637,551598.985592 
2.56772351972,13.0361141794,723263.146656,723240.834094 
2.99693005641,20.0239700096,948326.996039,948292.723091 
3.4261365931,30.7575838495,1243426.97615,1243374.33159 
3.85534312979,47.2448252672,1630357.77202,1630276.90797 
4.28454966648,72.5698587201,2137696.72496,2137572.51467 
4.71375620317,111.470078784,2802914.8156,2802724.02385 
5.14296273986,171.22230473,3675144.74679,3674851.68336 
5.57216927655,263.004009301,4818810.71579,4818360.55916 
6.00137581324,403.984218162,6318388.19184,6317696.73404 
6.43058234993,620.535211451,8284645.60529,8283583.49967 
6.85978888662,953.165820195,10862829.5082,10861198.0734 
7.28899542332,1464.09915831,14243398.6221,14240892.6757 
7.71820196001,2248.91230881,18676100.9306,18672251.7011 
8.14646196393,3451.14715666,24494534.1706,24482523.0783 
8.49522664809,4891.36482132,32117808.4531,32100784.9441 
8.84399133225,6932.60783422,42113759.9808,42089632.2954 
9.19275601641,9825.69346975,55220920.1677,55186723.622 
9.54152070057,13926.1089723,72407722.9644,72359255.6656 
9.89028538473,19737.6919711,94944082.6271,94875389.1668 
10.2390500689,27974.5394151,124495260.58,124397900.265 
10.587814753,39648.7520748,163244963.837,163106973.539 
10.9365794372,56194.7961951,214056780.54,213861204.735 
11.2853441214,79645.7632124,280685895.587,280408702.94 
11.6341088055,112883.185405,368056751.203,367663881.731 
11.9828734897,159991.103521,482627199.86,482070379.815 
12.3316381738,226757.892366,632866101.962,632076912.207 
12.680402858,321387.506046,829879723.687,828761192.709 
13.0291675422,455507.53698,1088233314.68,1086648003.23 
13.3779322263,645597.953693,1427028709.64,1424781822.95 
13.7266969105,915016.073226,1871317776.57,1868133228.93 
14.0754615946,1296866.5862,2453956437.78,2449442928.62 
14.4242262788,1838069.28819,3218036669.48,3211639602.38 
14.7729909629,2605124.33904,4220076772.93,4211010109.72 
15.1217556471,3692283.45495,5534206496.54,5521356173.03 
15.4705203313,5233131.06689,7257657467.07,7239444502.65 
15.8192850154,7416998.47732,9517966364.39,9492152845.17 
16.1680496996,10512227.9013,12482425582.1,12445839677.8 
16.5168143837,14899144.9556,16370483258.1,16318629483.9 
16.8655790679,21116791.083,21470014020.6,21396520855.7 
17.2143437521,29929158.1476,28158669989.7,28054506978.0 
17.5631084362,42419063.7634,36931900068.7,36784268203.7 
17.9118731204,60121202.2632,48439722717.2,48230481766.8 
18.2606378045,85210719.9192,63534990512.7,63238430042.4 
18.6094024887,120770485.55,83336742927.0,82916423136.0 
18.9581671729,171169897.329,1.09313371411e+11,1.087176456e+11 
19.306931857,242601771.601,1.43391803018e+11,1.42547471512e+11 
19.6556965412,343843283.794,1.8810085718e+11,1.86904172936e+11 
20.0044612253,487334461.862,2.46759492131e+11,2.45063412843e+11 
20.3532259095,690706751.919,3.23724026647e+11,3.21320146955e+11 
20.6303646194,911283514.677,4.188935278e+11,4.21305798533e+11 
20.7989397706,1078610818.16,5.49548923836e+11,5.52404128903e+11 
20.9675149219,1276662288.19,7.20917045254e+11,7.24296515006e+11 
21.1360900731,1511079409.43,9.45676903312e+11,9.49676901749e+11 
21.3046652243,1788539539.94,1.24045476026e+12,1.2451892271e+12 
21.4732403755,2116946115.46,1.62705275086e+12,1.63265654713e+12 
21.6418155267,2505653778.23,2.13405988007e+12,2.14069262957e+12 
21.8587935676,3112815837.86,2.81553635583e+12,2.80681502938e+12 
22.2264116416,4495809787.62,3.69281182035e+12,3.68021569296e+12 
22.5940297156,6493254564.14,4.84358616021e+12,4.82539369533e+12 
22.9616477897,9378144722.85,6.35319358224e+12,6.32691838129e+12 
23.3292658637,13544763658.0,8.33362367857e+12,8.29567466014e+12 
23.6968839377,19562571060.0,1.09318610577e+13,1.08770516576e+13 
24.0645020117,28254032048.1,1.43408401285e+13,1.42616794425e+13 
24.4321200857,40807025034.0,1.88138377286e+13,1.8699506716e+13 
24.7997381598,58937191311.0,2.46833862503e+13,2.45182590753e+13 
25.1673562338,85122414994.4,3.23861325434e+13,3.21476409627e+13 
25.5349743078,1.2294148013e+11,4.24955196503e+13,4.21510685685e+13 
25.9025923818,1.77563189878e+11,5.57647644722e+13,5.52672771085e+13 
26.2702104558,2.56452796618e+11,7.31833912807e+13,7.24648750961e+13 
26.6378285299,3.7039229211e+11,9.60516203185e+13,9.50138743471e+13 
27.0054393444,5.34950119201e+11,1.23976588758e+14,1.24579478078e+14 
27.0789862269,5.75776975248e+11,1.25854104356e+14,1.26457800684e+14 
27.1739357219,6.33126272527e+11,1.28390362707e+14,1.28994051547e+14 
27.2688852168,6.96187750112e+11,1.31068743058e+14,1.31671175586e+14 
27.3638347118,7.65530360115e+11,1.33893517671e+14,1.34493208271e+14 
27.4587842067,8.41779724168e+11,1.36868915903e+14,1.37464113337e+14 
27.5537337017,9.2562377789e+11,1.39999117359e+14,1.40587773324e+14 
27.6486831966,1.01781897758e+12,1.43288245385e+14,1.43867980262e+14 
27.7436326916,1.11919712507e+12,1.46740361013e+14,1.47308426624e+14 
27.8385821865,1.23067287245e+12,1.50359457573e+14,1.50912696728e+14 
27.9335316815,1.35325197417e+12,1.54149456133e+14,1.54684258752e+14 
28.0284811764,1.48804036116e+12,1.58114201988e+14,1.58626457555e+14 
28.1234306714,1.63625411875e+12,1.6225746241e+14,1.62742508498e+14 
28.2183801663,1.7992304584e+12,1.66582925879e+14,1.67035492456e+14 
28.3133296613,1.97843978227e+12,1.71094203034e+14,1.71508352245e+14 
28.4082791562,2.17549894945e+12,1.7579482956e+14,1.76163890633e+14 
28.5032286512,2.39218586356e+12,1.80688271253e+14,1.81004770147e+14 
28.5981781461,2.63045551333e+12,1.85777931489e+14,1.86033514853e+14 
28.6931276411,2.89245761084e+12,1.91067161304e+14,1.91252514274e+14 
28.788077136,3.18055598664e+12,1.96559272321e+14,1.96664029607e+14 
28.883026631,3.49734991664e+12,2.02257552702e+14,2.02270202366e+14 
28.9779761259,3.84569757325e+12,2.08165286347e+14,2.08073065579e+14 
29.0729256209,4.22874181235e+12,2.1428577551e+14,2.1407455763e+14 
29.1678751158,4.64993852868e+12,2.20622367022e+14,2.20276538827e+14 
29.2628246108,5.11308783557e+12,2.27178482292e+14,2.26680810759e+14 
29.3577741057,5.62236835026e+12,2.33957651276e+14,2.33289138472e+14 
29.4527236006,6.1823748941e+12,2.40963550581e+14,2.40103275507e+14 
29.5476730956,6.79815994792e+12,2.48200045896e+14,2.47124991811e+14 
29.6426225905,7.47527923641e+12,2.55671238972e+14,2.54356104516e+14 
29.7375720855,8.21984185285e+12,2.63381519357e+14,2.61798511613e+14 
29.8325215804,9.03856537649e+12,2.71335621178e+14,2.69454228506e+14 
29.9274710754,9.93883647978e+12,2.7953868525e+14,2.77325427464e+14 
30.0224205703,1.09287775722e+13,2.87996326899e+14,2.85414480013e+14 
30.1173700653,1.20173200823e+13,2.96714709916e+14,2.93724002286e+14 
30.2123195602,1.32142850384e+13,3.05700627156e+14,3.02256903427e+14 
30.3072690552,1.45304716759e+13,3.14961588398e+14,3.11016437146e+14 
30.4022185501,1.59777548699e+13,3.24505916199e+14,3.20006256576e+14 
30.4971680451,1.75691922724e+13,3.34342850598e+14,3.29230472635e+14 
30.59211754,1.93191421208e+13,3.44482663705e+14,3.38693716148e+14 
