logpressurec2,pressurec2,energy_densityc2,baryon_density 
-9.87926604432,5.12258615871e-05,280.000087678,280.0 
-9.4688513378,7.72200563187e-05,362.799113266,362.798981097 
-9.05843663128,0.000116404818057,470.082701684,470.082502446 
-8.64802192476,0.000175473605082,609.091203621,609.090903281 
-8.23760721824,0.000264516422898,789.20602098,789.205568235 
-7.82719251172,0.000398743377672,1022.58273974,1022.58205725 
-7.4167778052,0.000601082834462,1324.9714876,1324.97045879 
-7.00636309868,0.000906097992133,1716.77988098,1716.77833011 
-6.59594839216,0.00136589089602,2224.45029833,2224.44796047 
-6.18553368564,0.00205900239934,2882.24442976,2882.24090558 
-5.77511897912,0.0031038283459,3734.55554043,3734.55022793 
-5.3647042726,0.00467884369825,4838.90449953,4838.89649124 
-4.95428956608,0.00705308925396,6269.82177437,6269.80970233 
-4.54387485957,0.0106321286268,8123.87738247,8123.85918456 
-4.13346015305,0.0160273257669,10526.1982706,10526.1708383 
-3.72304544653,0.0241602768604,13638.9129776,13638.871625 
-3.31263074001,0.0364202354443,17672.0935112,17672.0311745 
-2.90221603349,0.0549014217626,22897.9329119,22897.8389429 
-2.49180132697,0.0827607530481,29669.1153594,29668.9737064 
-2.08138662045,0.124757101459,38442.618644,38442.4051103 
-1.67097191393,0.188064194576,49810.5554789,49810.233589 
-1.26055720741,0.283496016401,64540.1352102,64539.6499795 
-0.850142500889,0.427354029281,83625.443075,83624.7116175 
-0.439727794369,0.644211755286,108354.531807,108353.429176 
-0.0293130878495,0.971112373381,140396.35395,140394.691798 
0.38110161867,1.46389635705,181913.402513,181910.896913 
0.79151632519,2.20674002611,235707.662942,235703.885895 
1.20193103171,3.32653436794,305409.728123,305404.03444 
1.61234573823,5.01456028811,395723.841893,395715.258992 
2.02276044475,7.55916281081,512745.4124,512732.474166 
2.43317515127,11.3950055673,664372.429371,664352.925724 
2.84358985779,17.1773191196,860838.559708,860809.159076 
3.25400456431,25.8938260621,1115403.91203,1115359.59226 
3.66441927083,39.0334617099,1445250.10819,1445183.29867 
4.07483397735,58.8407108864,1872640.09815,1872539.38662 
4.48524868387,88.6990060822,2426421.03662,2426269.21975 
4.89566339039,133.708678251,3143971.71522,3143742.85997 
5.30607809691,201.558184576,4073726.08058,4073381.09438 
5.71649280343,303.837434496,5278443.29932,5277923.25236 
6.12690750994,458.017553567,6839445.29198,6838661.35094 
6.53732221646,690.435264251,8862108.06838,8860926.3221 
6.94773692298,1040.79166925,11482977.9907,11481196.5758 
7.3581516295,1568.93391004,14878994.0221,14876308.641 
7.76856633602,2365.0781293,19279439.5492,19275391.4908 
8.17211718593,3540.83263439,24987653.2018,24975329.9754 
8.50561200312,4942.42807765,32378002.1812,32360800.9558 
8.83910682032,6898.82799472,41954244.4574,41930234.3366 
9.17260163752,9629.64497468,54362965.2861,54329451.0517 
9.50609645471,13441.4225734,70442028.5967,70395248.161 
9.83959127191,18762.0458774,91277170.4255,91211872.5245 
10.1730860891,26188.7730693,118275339.621,118184194.342 
10.5065809063,36555.2797044,153259742.917,153132518.89 
10.8400757235,51025.2416459,198593019.2,198415435.093 
11.1735705407,71222.9616645,257336870.346,257088991.734 
11.5070653579,99415.702986,333458942.098,333112943.758 
11.8405601751,138768.197351,432100945.371,431617987.805 
12.1740549923,193697.89699,559926152.57,559252022.139 
12.5075498095,270370.848756,725569776.062,724628799.315 
12.8410446267,377393.854002,940222701.155,938909250.231 
13.1745394439,526780.611497,1218388076.34,1216554711.88 
13.5080342611,735300.296245,1578861972.01,1576302892.56 
13.8415290783,1026359.9568,2046004500.29,2042432440.44 
14.1750238955,1432632.0366,2651387474.6,2646401458.39 
14.5085187127,1999721.96761,3435930215.23,3428970545.28 
14.8420135299,2791287.53621,4452668213.47,4442953642.99 
15.1755083471,3896184.68769,5770342303.15,5756782338.34 
15.5090031643,5438441.91027,7478051678.56,7459124166.95 
15.8424979815,7591182.85764,9691286335.12,9664866598.73 
16.1759927986,10596060.0718,12559748218.7,12522870551.6 
16.5094876158,14790381.3082,16277491944.0,16226016701.9 
16.842982433,20644973.4864,21096073684.7,21024222595.4 
17.1764772502,28817034.6236,27341601524.3,27241309057.0 
17.5099720674,40223906.5623,35436846195.3,35296854177.2 
17.8434668846,56146049.7328,45929915907.3,45734509755.0 
18.1769617018,78370779.221,59531446510.7,59258691214.6 
18.510456519,109392897.006,77162839276.4,76782117120.6 
18.8439513362,152694742.024,1.00018833016e+11,99487406635.1 
19.1774461534,213137094.636,1.29648677034e+11,1.28906891997e+11 
19.5109409706,297504815.869,1.68061444006e+11,1.67026032403e+11 
19.8444357878,415268471.293,2.1786267514e+11,2.16417408473e+11 
20.177930605,579647434.433,2.82431698168e+11,2.80414340306e+11 
20.5114254222,809093806.709,3.66151750626e+11,3.63335846242e+11 
20.6994495576,976465090.08,4.68193310581e+11,4.70778124331e+11 
20.86064403,1147261952.94,6.06955295563e+11,6.09992227964e+11 
21.0218385023,1347933481.73,7.86805291544e+11,7.90373424222e+11 
21.1830329747,1583705156.88,1.01990301367e+12,1.02409526069e+12 
21.344227447,1860716465.56,1.32200560524e+12,1.32693113259e+12 
21.5054219194,2186180773.72,1.71353172778e+12,1.71931879603e+12 
21.6666163918,2568573161.91,2.22094036498e+12,2.22773966922e+12 
21.8967824126,3233342964.7,2.89556502077e+12,2.88650600764e+12 
22.2483051669,4595324299.64,3.75295150808e+12,3.74007656608e+12 
22.5998279212,6531013149.38,4.86435528135e+12,4.84605702642e+12 
