logpressurec2,pressurec2,energy_densityc2,baryon_density 
-9.87926604432,5.12258615871e-05,280.000087678,280.0 
-9.45004639408,7.86859146262e-05,367.131175684,367.131041006 
-9.02082674385,0.000120866159567,481.375925695,481.375718821 
-8.59160709361,0.000185657478825,631.17163479,631.171317019 
-8.16238744337,0.000285180728561,827.581140508,827.580652393 
-7.73316779314,0.000438054251609,1085.10984416,1085.10909439 
-7.3039481429,0.000672876909745,1422.77697822,1422.77582653 
-6.87472849266,0.00103357822463,1865.52023446,1865.5184654 
-6.44550884243,0.00158763650669,2446.03748959,2446.0347722 
-6.01628919219,0.00243870238103,3207.20164641,3207.19747233 
-5.58706954195,0.00374598926026,4205.22693565,4205.22052403 
-5.15784989172,0.00575405824307,5513.82052235,5513.81067373 
-4.72863024148,0.0088385694577,7229.62603004,7229.61090198 
-4.29941059124,0.013576558797,9479.36101083,9479.33777324 
-3.87019094101,0.0208543870874,12429.1754969,12429.1398026 
-3.44097129077,0.0320335563151,16296.922809,16296.8679805 
-3.01175164053,0.0492054130333,21368.248887,21368.1646672 
-2.5825319903,0.0755823876677,28017.6884331,28017.5590666 
-2.15331234006,0.116098960935,36736.3259522,36736.1272377 
-1.72409268982,0.178334783355,48168.0646488,48167.7594117 
-1.29487303959,0.273932640725,63157.1819182,63156.7130561 
-0.86565338935,0.420776531885,82810.6838094,82809.9636099 
-0.436433739114,0.646337323351,108580.063932,108578.957663 
-0.00721408887693,0.992811870201,142368.505572,142366.806279 
0.42200556136,1.52501700583,186671.445192,186668.834979 
0.851225211596,2.34251517117,244760.879829,244756.870389 
1.28044486183,3.59824008925,320927.032374,320920.87364 
1.70966451207,5.52710688889,420795.22596,420785.765785 
2.13888416231,8.48995892534,551741.37507,551726.84369 
2.56810381254,13.0410726629,723436.787029,723414.46598 
2.99732346278,20.0318491168,948562.522055,948528.235621 
3.42654311302,30.7700899618,1243746.08942,1243693.42345 
3.85576276325,47.2646549373,1630789.68815,1630708.79016 
4.28498241349,72.6012699055,2138280.74872,2138156.48467 
4.71420206373,111.519789976,2803703.79129,2803512.91446 
5.14342171396,171.300909371,3676209.67924,3675916.48128 
5.5726413642,263.128199557,4820246.95641,4819796.58722 
6.00186101444,404.180279348,6320323.71659,6319631.92321 
6.43108066467,620.844510351,8287252.08767,8286189.45265 
6.86030031491,953.653420832,10866337.1256,10864704.8561 
7.28951996515,1464.86734102,14248115.8471,14245608.5859 
7.71873961538,2250.12177371,18682440.9778,18678589.6782 
8.14690950779,3452.69204205,24503052.4443,24491035.9753 
8.49568484776,4893.60655658,32129243.9284,32112212.6175 
8.84446018772,6935.85898742,42129103.4549,42104964.4545 
9.19323552769,9830.40613036,55241496.6318,55207283.6846 
9.54201086765,13932.9367657,72435303.6696,72386812.6079 
9.89078620761,19747.5795347,94981034.543,94912306.6708 
10.2395615476,27988.8514559,124544745.67,124447335.544 
10.5883368875,39669.4594617,163311204.682,163173142.316 
10.9371122275,56224.7442152,214145414.33,213949734.295 
11.2858875675,79689.058156,280804445.737,280527102.41 
11.6346629074,112945.751527,368215255.572,367822168.35 
11.9834382474,160081.485252,482839047.357,482281912.754 
12.3322135874,226888.409473,633149146.452,632359502.456 
12.6809889273,321575.916614,830257766.801,829138580.094 
13.0297642673,455779.430896,1088738079.32,1087151821.6 
13.3785396073,645990.1967,1427702466.09,1425454214.27 
13.7273149472,915581.761582,1872216836.38,1869030319.96 
14.0760902872,1297682.17293,2455155801.37,2450639453.71 
14.4248656272,1839244.83054,3219636207.53,3213235049.18 
14.7736409671,2606818.23119,4222209446.35,4213136887.86 
15.1224163071,3694723.60483,5537049285.79,5524190469.78 
15.4711916471,5236645.32984,7261445901.9,7243220706.72 
15.819966987,7422058.38475,9523013837.5,9497182708.19 
16.168742327,10519511.4805,12489149018.8,12452537765.3 
16.5175176669,14909626.9595,16379437229.7,16327546974.7 
16.8662930069,21131872.5669,21481936074.4,21408390421.1 
17.2150683469,29950852.5194,28174540877.7,28070302362.6 
17.5638436868,42450263.875,36953023764.7,36805283313.3 
17.9126190268,60166063.7837,48467832716.1,48258435633.3 
18.2613943668,85275211.5249,63572391033.6,63275606112.0 
18.6101697067,120863178.398,83386496470.8,82965854079.1 
18.9589450467,171303097.715,1.09379547877e+11,1.08783358486e+11 
19.3077203867,242793145.735,1.43479810566e+11,1.42634813018e+11 
19.6564957266,344118188.182,1.88217881666e+11,1.87020240667e+11 
20.0052710666,487729285.271,2.46915080704e+11,2.45217627304e+11 
20.3540464066,691273707.348,3.23930862825e+11,3.21525009947e+11 
20.6307663565,911649684.645,4.19164658585e+11,4.21577898611e+11 
20.7993466582,1079049780.82,5.4990910717e+11,5.52765474221e+11 
20.9679269599,1277188430.06,7.2139543743e+11,7.24776299939e+11 
21.1365072616,1511709945.98,9.46312180649e+11,9.50313848188e+11 
21.3050875633,1789295069.53,1.24129822021e+12,1.24603468703e+12 
21.473667865,2117851281.17,1.62817242115e+12,1.63377861349e+12 
21.6422481667,2506738058.77,2.13554596294e+12,2.14218158265e+12 
21.8597482735,3115789080.45,2.81752020838e+12,2.80879055165e+12 
22.2273775793,4500154557.83,3.69544472603e+12,3.68283642569e+12 
22.5950068852,6499602675.74,4.84708014646e+12,4.82886989578e+12 
22.962636191,9387418676.33,6.35782986893e+12,6.3315286847e+12 
23.3302654969,13558310223.1,8.3397752481e+12,8.30178827561e+12 
23.6978948027,19582356177.4,1.09400225895e+13,1.08851577565e+13 
24.0655241086,28282925169.0,1.43516677039e+13,1.42724260667e+13 
24.4331534144,40849213897.9,1.88282014993e+13,1.8713752284e+13 
24.8007827203,58998786939.6,2.47024403118e+13,2.45371405613e+13 
25.1684120261,85212334050.0,3.24114076454e+13,3.21726641342e+13 
25.536041332,1.23072731676e+11,4.25290462281e+13,4.21842274125e+13 
25.9036706379,1.77754751717e+11,5.58092359431e+13,5.53112118713e+13 
26.2712999437,2.56732351087e+11,7.32423808315e+13,7.25230814056e+13 
26.6389292496,3.70800214666e+11,9.61298687726e+13,9.50909799049e+13 
27.0065569456,5.35548314302e+11,1.24298031183e+14,1.24681608724e+14 
27.047837415,5.58118652157e+11,1.26680791708e+14,1.27061600924e+14 
27.1562212534,6.22009531412e+11,1.329046324e+14,1.33275254415e+14 
27.2646050918,6.93214347293e+11,1.39304648577e+14,1.39661568179e+14 
27.3729889301,7.72570365927e+11,1.45885745139e+14,1.46225049384e+14 
27.4813727685,8.6101069985e+11,1.52653246507e+14,1.52970581946e+14 
27.5897566069,9.59575280067e+11,1.5961291129e+14,1.59903436134e+14 
27.6981404453,1.06942308415e+12,1.6677094823e+14,1.67029278856e+14 
27.8065242837,1.19184576412e+12,1.74134033575e+14,1.74354184693e+14 
27.9149081221,1.32828283447e+12,1.81709330008e+14,1.81884647751e+14 
28.0232919604,1.48033859871e+12,1.89504507317e+14,1.89627594402e+14 
28.1316757988,1.64980101374e+12,1.97527764944e+14,1.97590396964e+14 
