EoS,rhoc,M,R,Lambda
./dat/css_ACSiacr.csv/branch-css_ACSiacr-0.csv,1.55442424242e+15,2.470229293230544,11.8800406,4.42026700851
./dat/css_ACSibcr.csv/branch-css_ACSibcr-0.csv,1.77616161616e+15,2.3044816362795655,11.4800426,5.40788392758
./dat/css_ACSiccr.csv/branch-css_ACSiccr-0.csv,1.96622222222e+15,2.172593957027824,11.1800441,6.5778645437
./dat/css_ACSidcr.csv/branch-css_ACSidcr-0.csv,1.33268686869e+15,2.0277403009207933,13.3200334,66.6622264468
./dat/css_ACSidcr.csv/branch-css_ACSidcr-1.csv,2.15628282828e+15,2.0522684470048853,10.9200454,8.07952672361
./dat/css_ACSiiacr.csv/branch-css_ACSiiacr-0.csv,6.04121212121e+14,1.533968916587889,13.3600332,421.182724853
./dat/css_ACSiiacr.csv/branch-css_ACSiiacr-1.csv,2.28298989899e+15,2.10589187439117,9.9400503,2.82753298481
./dat/css_ACSiibcr.csv/branch-css_ACSiibcr-0.csv,6.04121212121e+14,1.5339675890833748,13.3600332,421.179431848
./dat/css_ACSiibcr.csv/branch-css_ACSiibcr-1.csv,2.56808080808e+15,1.9899209317426432,9.4800526,2.83444832096
./dat/pwp_ACB4cr.csv/branch-pwp_ACB4cr-0.csv,8.25858585859e+14,1.9621956786669197,14.5400273,180.956081764
./dat/pwp_ACB4cr.csv/branch-pwp_ACB4cr-1.csv,2.18795959596e+15,1.9923071056197197,9.7200514,3.02059197204
./dat/pwp_ACB5cr.csv/branch-pwp_ACB5cr-0.csv,9.20888888889e+14,1.3510131374668943,13.0800346,880.076982214
./dat/pwp_ACB5cr.csv/branch-pwp_ACB5cr-1.csv,2.78981818182e+15,1.77932569550829,8.7000565,3.31839978006
./dat/pwp_ACB6cr.csv/branch-pwp_ACB6cr-0.csv,7.94181818182e+14,2.505716567121844,15.6800216,54.7769764713
./dat/pwp_ACB7cr.csv/branch-pwp_ACB7cr-0.csv,8.57535353535e+14,1.448575321274387,13.6400318,741.396855291
./dat/pwp_ACB7cr.csv/branch-pwp_ACB7cr-1.csv,2.59975757576e+15,1.8372607127590848,8.9400553,3.06957370962
./dat/pwp_ALF2cr.csv/branch-pwp_ALF2cr-0.csv,1.61777777778e+15,2.0175243338730855,11.5800421,19.1884920693
./dat/pwp_ENGcr.csv/branch-pwp_ENGcr-0.csv,1.77616161616e+15,2.274160545956353,10.5200474,2.86786319481
./dat/pwp_H4cr.csv/branch-pwp_H4cr-0.csv,1.5861010101e+15,2.048802576021287,11.9000405,17.0159610404
./dat/pwp_MPA1cr.csv/branch-pwp_MPA1cr-0.csv,1.61777777778e+15,2.355230287954982,10.9600452,3.36935527766
./dat/pwp_MS1bcr.csv/branch-pwp_MS1bcr-0.csv,1.11094949495e+15,2.7812949743116815,13.4600327,4.8966898427
./dat/pwp_MS1cr.csv/branch-pwp_MS1cr-0.csv,1.11094949495e+15,2.7847883842673604,13.5400323,4.8711616633
./dat/pwp_SLycr.csv/branch-pwp_SLycr-0.csv,1.96622222222e+15,2.0809651314954807,10.1600492,4.41697607644
./dat/spec_ALF2cr.csv/branch-spec_ALF2cr-0.csv,2.04886302932e+15,2.044536910975622,9.9800501,4.44526455165
./dat/spec_ENGcr.csv/branch-spec_ENGcr-0.csv,1.79556546443e+15,2.237998025155334,10.4400478,3.11494076054
./dat/spec_H4cr.csv/branch-spec_H4cr-0.csv,1.59724182671e+15,2.030875929574877,11.9000405,18.2769031903
./dat/spec_MPA1cr.csv/branch-spec_MPA1cr-0.csv,1.52768633877e+15,2.45022716560292,11.3200434,3.17083225435
./dat/spec_MS1bcr.csv/branch-spec_MS1bcr-0.csv,1.13354240931e+15,2.773988257579333,13.3400333,4.64219597323
./dat/spec_MS1cr.csv/branch-spec_MS1cr-0.csv,1.12541299563e+15,2.773103186060169,13.5400323,4.74941599091
./dat/spec_SLycr.csv/branch-spec_SLycr-0.csv,2.04886302932e+15,2.044536910975622,9.9800501,4.44526455165
./dat/sqm_causal.csv/branch-sqm_causal-0.csv,2.96969402788e+15,1.8369894919596035,7.6800616,0.85758366981
